Flow index,from_node_name,to_node_name,from_node_number,to_node_number,Score1,Score2,Score3,Score4
1,Bauxite mining,Bauxite,1,3,0.583333333,0.583333333,0,0
2,Import of bauxite,Bauxite,2,3,0.916666667,0.916666667,0,0
3,Bauxite,Export bauxite,3,85,0.916666667,0.916666667,0,0
4,Bauxite,Bauxite non-aluminum use,3,86,0.583333333,0.583333333,0,0
5,Bauxite,Bauxite refining (to alumina),3,5,0.5,0.5,0,0
6,Import alumina,Primary smelting (Hall-Hauroult to aluminum),4,6,0.916666667,0.916666667,0,0
7,Bauxite refining (to alumina),Waste bauxite,5,87,0.5,0.5,0,0
8,Bauxite refining (to alumina),Export alumina,5,88,0.916666667,0.916666667,0,0
9,Bauxite refining (to alumina),Alumina non-aluminum use,5,89,0.916666667,0,0,0
10,Bauxite refining (to alumina),Primary smelting (Hall-Hauroult to aluminum),5,6,0.916666667,0.916666667,305,0
11,Primary smelting (Hall-Hauroult to aluminum),Waste Alumina,6,90,0.5,0,0,0
12,Primary smelting (Hall-Hauroult to aluminum),Remelting,6,8,0.416666667,0,0,0
13,Primary smelting (Hall-Hauroult to aluminum),Refining,6,9,0.416666667,0,0,0
14,Import unwrought aluminum ingot,Remelting,7,8,0.916666667,0,0,0
15,Import unwrought aluminum ingot,Refining,7,9,0.916666667,0,0,0
16,Remelting,Loss remelting,8,91,0.416666667,0.416666667,0,0
17,Remelting,Wrought aluminum ingot,8,24,0.75,0,0,0
18,Refining,Loss refining,9,92,0.416666667,0.416666667,0,0
19,Refining,Cast aluminum ingot,9,25,0.75,0,0,0.25
20,Alloying element - Si,Remelting,10,8,0.833333333,0,0.416666667,0
21,Alloying element - Si,Refining,10,9,0.833333333,0,0.416666667,0
22,Alloying element - Cu,Remelting,11,8,0.833333333,0,0.416666667,0
23,Alloying element - Cu,Refining,11,9,0.833333333,0,0.416666667,0
24,Alloying element - Mg,Remelting,12,8,0.833333333,0,0.416666667,0
25,Alloying element - Mg,Refining,12,9,0.833333333,0,0.416666667,0
26,Alloying element - Mn,Remelting,13,8,0.833333333,0,0.416666667,0
27,Alloying element - Mn,Refining,13,9,0.833333333,0,0.416666667,0
28,Alloying element - Fe,Remelting,14,8,0.833333333,0,0.416666667,0
29,Alloying element - Fe,Refining,14,9,0.833333333,0,0.416666667,0
