Flow index,from_node_name,to_node_name,from_node_number,to_node_number,Indicator
1,Bauxite mining,Bauxite,1,3,1
2,Import of bauxite,Bauxite,2,3,1
3,Bauxite,Export bauxite,3,85,1
4,Bauxite,Bauxite non-aluminum use,3,86,1
5,Bauxite,Bauxite refining (to alumina),3,5,1
6,Import alumina,Primary smelting (Hall-Hauroult to aluminum),4,6,1
7,Bauxite refining (to alumina),Waste bauxite,5,87,1
8,Bauxite refining (to alumina),Export alumina,5,88,1
9,Bauxite refining (to alumina),Alumina non-aluminum use,5,89,1
10,Bauxite refining (to alumina),Primary smelting (Hall-Hauroult to aluminum),5,6,1
11,Primary smelting (Hall-Hauroult to aluminum),Waste Alumina,6,90,1
12,Primary smelting (Hall-Hauroult to aluminum),Remelting,6,8,1
13,Primary smelting (Hall-Hauroult to aluminum),Refining,6,9,1
14,Import unwrought aluminum ingot,Remelting,7,8,1
15,Import unwrought aluminum ingot,Refining,7,9,1
16,Remelting,Loss remelting,8,91,1
17,Remelting,Wrought aluminum ingot,8,24,1
18,Refining,Loss refining,9,92,1
19,Refining,Cast aluminum ingot,9,25,1
20,Alloying element - Si,Remelting,10,8,1
21,Alloying element - Si,Refining,10,9,1
22,Alloying element - Cu,Remelting,11,8,1
23,Alloying element - Cu,Refining,11,9,1
24,Alloying element - Mg,Remelting,12,8,1
25,Alloying element - Mg,Refining,12,9,1
26,Alloying element - Mn,Remelting,13,8,1
27,Alloying element - Mn,Refining,13,9,1
28,Alloying element - Fe,Remelting,14,8,0
29,Alloying element - Fe,Refining,14,9,0
30,Alloying element - Zn,Remelting,15,8,1
31,Alloying element - Zn,Refining,15,9,1
32,Alloying element - Other,Remelting,16,8,0
33,Alloying element - Other,Refining,16,9,0
34,Import scrap,EOL scrap (generated),17,18,1
35,EOL scrap (generated),Export EOL scrap,18,93,1
36,EOL scrap (generated),Loss EOL scrap,18,94,1
37,EOL scrap (generated),EOL scrap (recycled),18,19,1
38,EOL scrap (recycled),Remelting,19,8,1
39,EOL scrap (recycled),Refining,19,9,1
40,Forming scrap (generated),Loss forming scrap,20,95,1
41,Forming scrap (generated),Forming scrap (recycled),20,21,1
42,Forming scrap (recycled),Remelting,21,8,1
43,Forming scrap (recycled),Refining,21,9,1
44,Fabrication scrap (generated),Loss fabrication scrap,22,96,1
45,Fabrication scrap (generated),Fabrication scrap (recycled),22,23,1
46,Fabrication scrap (recycled),Remelting,23,8,1
47,Fabrication scrap (recycled),Refining,23,9,1
48,Wrought aluminum ingot,1xxx,24,42,1
49,Wrought aluminum ingot,2xxx,24,43,1
50,Wrought aluminum ingot,3xxx,24,44,1
51,Wrought aluminum ingot,4xxx,24,45,1
52,Wrought aluminum ingot,5xxx,24,46,1
53,Wrought aluminum ingot,6xxx,24,47,1
54,Wrought aluminum ingot,7xxx,24,48,1
55,Wrought aluminum ingot,8xxx,24,49,1
56,Cast aluminum ingot,36x,25,26,1
57,Cast aluminum ingot,38x,25,27,1
58,Cast aluminum ingot,2xx,25,28,1
59,Cast aluminum ingot,3xx,25,29,1
60,Cast aluminum ingot,4xx,25,30,1
61,Cast aluminum ingot,5xx,25,31,1
62,Cast aluminum ingot,7xx,25,32,1
63,Cast aluminum ingot,Other,25,33,1
64,36x,die cast,26,34,1
65,38x,die cast,27,34,1
66,2xx,sand cast,28,36,1
67,3xx,sand cast,29,36,1
68,4xx,sand cast,30,36,1
69,5xx,sand cast,31,36,1
70,7xx,sand cast,32,36,1
71,Other,sand cast,33,36,1
72,2xx,permanent- & semi-permanent mold cast,28,38,1
73,3xx,permanent- & semi-permanent mold cast,29,38,1
74,4xx,permanent- & semi-permanent mold cast,30,38,1
75,5xx,permanent- & semi-permanent mold cast,31,38,1
76,7xx,permanent- & semi-permanent mold cast,32,38,1
77,Other,permanent- & semi-permanent mold cast,33,38,1
78,Other,other cast,33,40,1
79,Cast aluminum ingot,Export cast aluminum ingot,25,97,1
80,die cast,Scrap - cast,34,35,1
81,Scrap - cast,die cast,35,34,1
82,sand cast,Scrap sand cast,36,37,1
83,Scrap sand cast,sand cast,37,36,1
84,permanent- & semi-permanent mold cast,Scrap semi-permanent mold cast,38,39,1
85,Scrap semi-permanent mold cast,permanent- & semi-permanent mold cast,39,38,1
86,other cast,Scrap other cast,40,41,1
87,Scrap other cast,other cast,41,40,1
88,die cast,Export cast semifinished products,34,98,1
89,1xxx,Rolling,42,51,1
90,1xxx,Extrusion,42,53,1
91,1xxx,Drawing,42,55,1
92,1xxx,Other milling processes,42,57,1
93,2xxx,Rolling,43,51,1
94,2xxx,Extrusion,43,53,1
95,2xxx,Drawing,43,55,1
96,2xxx,Other milling processes,43,57,1
97,3xxx,Rolling,44,51,1
98,3xxx,Extrusion,44,53,1
99,3xxx,Drawing,44,55,1
100,3xxx,Other milling processes,44,57,1
101,4xxx,Rolling,45,51,1
102,4xxx,Other milling processes,45,57,1
103,5xxx,Rolling,46,51,1
104,5xxx,Extrusion,46,53,1
105,5xxx,Drawing,46,55,1
106,5xxx,Other milling processes,46,57,1
107,6xxx,Rolling,47,51,1
108,6xxx,Extrusion,47,53,1
109,6xxx,Drawing,47,55,1
110,6xxx,Other milling processes,47,57,1
111,7xxx,Rolling,48,51,1
112,7xxx,Extrusion,48,53,1
113,7xxx,Drawing,48,55,1
114,7xxx,Other milling processes,48,57,1
115,8xxx,Rolling,49,51,1
116,8xxx,Extrusion,49,53,1
117,8xxx,Drawing,49,55,1
118,8xxx,Other milling processes,49,57,1
119,die cast,Building & construction,34,69,1
120,die cast,Transportation auto,34,70,1
121,die cast,Transportation other,34,71,1
122,die cast,Machine & industry,34,72,1
123,die cast,Electrical & equipment,34,73,1
124,die cast,Consumer durables,34,74,1
125,die cast,Other end uses,34,76,1
126,sand cast,Transportation auto,36,70,1
127,sand cast,Transportation other,36,71,1
128,sand cast,Machine & industry,36,72,1
129,sand cast,Electrical & equipment,36,73,1
130,sand cast,Consumer durables,36,74,1
131,sand cast,Other end uses,36,76,1
132,permanent- & semi-permanent mold cast,Transportation auto,38,70,1
133,permanent- & semi-permanent mold cast,Transportation other,38,71,1
134,permanent- & semi-permanent mold cast,Machine & industry,38,72,1
