node_number,total_inflow,total_outflow,imbalance,imbalance_percent
41,4.999999999523603,4.999999999476237,4.736655512260768e-11,9.473311025424147e-10
28,5.939794505137797,5.939794505142686,-4.888534022029489e-12,8.230139978406638e-11
40,57.652362578701826,57.65236257865592,4.590816615746007e-11,7.962928855654505e-11
32,8.013488245407899,8.013488245403721,4.177991286269389e-12,5.213698651974154e-11
67,63.175587573487626,63.17558757351145,-2.382449793003616e-11,3.771155733583617e-11
31,45.05382205629485,45.05382205628698,7.865708084864309e-12,1.7458470171600734e-11
62,31.252890377120465,31.252890377117843,2.6219026949547697e-12,8.389312678977703e-12
66,161.1916803637194,161.19168036373154,-1.2136069926782511e-11,7.528967933951232e-12
30,7.961771629813342,7.961771629813825,-4.831690603168681e-13,6.06861239912462e-12
45,112.01513510073116,112.01513510072613,5.030642569181509e-12,4.491038255372932e-12
56,127.42640765326736,127.42640765327187,-4.504840944719035e-12,3.5352491117671137e-12
49,90.19276005359345,90.19276005359119,2.2595258997171186e-12,2.5052187097661557e-12
37,196.99999235475215,196.99999235474897,3.183231456205249e-12,1.6158535937772898e-12
36,508.02611424197823,508.02611424197005,8.185452315956354e-12,1.6112266843151956e-12
65,647.9624347855474,647.9624347855575,-1.0118128557223827e-11,1.5615301156420296e-12
57,431.6964251237795,431.69642512378533,-5.8548721426632255e-12,1.3562475392249056e-12
55,624.9577015469645,624.9577015469724,-7.958078640513122e-12,1.273378761604874e-12
43,243.35935686001562,243.35935686001784,-2.2168933355715126e-12,9.109546327600983e-13
76,322.6346987684117,322.63469876841447,-2.7853275241795927e-12,8.633068714592557e-13
22,979.7468993556284,979.7468993556205,7.958078640513122e-12,8.122586196238115e-13
60,843.7363810731488,843.7363810731429,5.9117155615240335e-12,7.006590795581102e-13
54,711.7235708027475,711.7235708027426,4.888534022029489e-12,6.868585252158713e-13
58,221.7136213769275,221.7136213769289,-1.3926637620897964e-12,6.281363109044929e-13
61,694.8259859747862,694.8259859747906,-4.320099833421409e-12,6.217527727263427e-13
72,864.1852075508641,864.1852075508588,5.343281372915953e-12,6.18302804332769e-13
23,933.7514389369728,933.7514389369677,5.115907697472721e-12,5.478875302507609e-13
35,529.9998511181313,529.9998511181341,-2.7284841053187847e-12,5.148084663726859e-13
25,2773.03048209979,2773.0304820998012,-1.1368683772161603e-11,4.0997327095924956e-13
27,1367.2601204217885,1367.2601204217833,5.229594535194337e-12,3.8248716956514833e-13
33,311.93617046594716,311.9361704659461,1.0800249583553523e-12,3.462326785451302e-13
48,872.4317588587511,872.4317588587481,2.9558577807620168e-12,3.3880676061456604e-13
73,1546.3135013084357,1546.313501308441,-5.229594535194337e-12,3.3819756024695006e-13
38,823.5239977364429,823.5239977364456,-2.7284841053187847e-12,3.3131810521834827e-13
9,2886.7918466575647,2886.7918466575557,9.094947017729282e-12,3.150537863774193e-13
47,2828.7358513285635,2828.7358513285717,-8.185452315956354e-12,2.8936785709814137e-13
39,196.99999235450568,196.9999923545051,5.684341886080801e-13,2.885452846034485e-13
71,1473.040192500728,1473.0401925007318,-3.865352482534945e-12,2.6240645042908597e-13
74,1432.7932477592863,1432.7932477592826,3.637978807091713e-12,2.5390814849114256e-13
69,1559.9507016677999,1559.9507016678037,-3.865352482534945e-12,2.4778683572515125e-13
26,142.37363925164516,142.37363925164482,3.410605131648481e-13,2.3955313283944665e-13
18,5800.248187130491,5800.248187130504,-1.3642420526593924e-11,2.352040824194989e-13
64,104.75762790536795,104.75762790536771,2.4158453015843406e-13,2.3061282981385157e-13
75,1578.7933150630822,1578.7933150630786,3.637978807091713e-12,2.304278066281497e-13
21,2313.93767623223,2313.9376762322345,-4.547473508864641e-12,1.9652532371871202e-13
42,1178.7730737057545,1178.7730737057568,-2.2737367544323206e-12,1.9289011643982348e-13
24,9434.75524522662,9434.755245226603,1.8189894035458565e-11,1.9279667106003075e-13
52,1337.8024748925848,1337.8024748925823,2.5011104298755527e-12,1.8695663050528985e-13
20,2398.6660747255255,2398.6660747255296,-4.092726157978177e-12,1.706250903826408e-13
44,1919.3969255205238,1919.396925520521,2.7284841053187847e-12,1.4215319765497922e-13
29,611.2974429458001,611.2974429457993,7.958078640513122e-13,1.3018341124025796e-13
46,2189.850383798669,2189.8503837986664,2.7284841053187847e-12,1.2459682750498065e-13
51,6950.996847569542,6950.996847569535,7.275957614183426e-12,1.0467502393886868e-13
63,2154.9684101200137,2154.968410120012,1.8189894035458565e-12,8.440909829599562e-14
53,3084.3372401831757,3084.337240183178,-2.2737367544323206e-12,7.371881144544635e-14
19,1980.7630309451392,1980.7630309451383,9.094947017729282e-13,4.591638108971342e-14
34,2039.6336107915622,2039.6336107915613,9.094947017729282e-13,4.4591082288547014e-14
6,2068.3907560810694,2068.3907560810685,9.094947017729282e-13,4.39711258184177e-14
70,3381.439462085151,3381.43946208515,9.094947017729282e-13,2.6896672614451954e-14
8,9480.810927604192,9480.810927604194,-1.8189894035458565e-12,1.918601074776961e-14
5,4326.40611916393,4326.40611916393,0.0,0.0
3,4589.782220849611,4589.782220849611,0.0,0.0
59,4411.864446341877,4411.864446341877,0.0,0.0
