Flow index,from_node_name,to_node_name,from_node_number,to_node_number,Value1,Value2,Value3,Value4
1,Bauxite mining,Bauxite,1,3,164.00915,,,
2,Import of bauxite,Bauxite,2,3,3280.183,,,
3,Bauxite,Export bauxite,3,85,6.0,,,
4,Bauxite,Bauxite non-aluminum use,3,86,164.00915,,,
5,Bauxite,Bauxite refining (to alumina),3,5,3280.183,,,
6,Import alumina,Primary smelting (Hall-Hauroult to aluminum),4,6,,,,
7,Bauxite refining (to alumina),Waste bauxite,5,87,1804.10065,,,
8,Bauxite refining (to alumina),Export alumina,5,88,174.0,,,
9,Bauxite refining (to alumina),Alumina non-aluminum use,5,89,744.628,,,
10,Bauxite refining (to alumina),Primary smelting (Hall-Hauroult to aluminum),5,6,557.45435,,,
11,Primary smelting (Hall-Hauroult to aluminum),Waste Alumina,6,90,1352.934,,,
12,Primary smelting (Hall-Hauroult to aluminum),Remelting,6,8,528.7105257,,,
13,Primary smelting (Hall-Hauroult to aluminum),Refining,6,9,332.2894743,,,
14,Import unwrought aluminum ingot,Remelting,7,8,2829.794168,,,
15,Import unwrought aluminum ingot,Refining,7,9,1320.205832,,,
16,Remelting,Loss remelting,8,91,,,,
17,Remelting,Wrought aluminum ingot,8,24,6224.75,,,
18,Refining,Loss refining,9,92,,,,
19,Refining,Cast aluminum ingot,9,25,2174.5,,,
20,Alloying element - Si,Remelting,10,8,,,,
21,Alloying element - Si,Refining,10,9,,,,
22,Alloying element - Cu,Remelting,11,8,,,,
23,Alloying element - Cu,Refining,11,9,,,,
24,Alloying element - Mg,Remelting,12,8,,,,
25,Alloying element - Mg,Refining,12,9,,,,
26,Alloying element - Mn,Remelting,13,8,,,,
27,Alloying element - Mn,Refining,13,9,,,,
28,Alloying element - Fe,Remelting,14,8,,,,
29,Alloying element - Fe,Refining,14,9,,,,
30,Alloying element - Zn,Remelting,15,8,,,,
31,Alloying element - Zn,Refining,15,9,,,,
32,Alloying element - Other,Remelting,16,8,,,,
33,Alloying element - Other,Refining,16,9,,,,
34,Import scrap,EOL scrap (generated),17,18,685.0,,,
35,EOL scrap (generated),Export EOL scrap,18,93,2000.0,,,
36,EOL scrap (generated),Loss EOL scrap,18,94,,,,
37,EOL scrap (generated),EOL scrap (recycled),18,19,1590.0,,,
38,EOL scrap (recycled),Remelting,19,8,,,,
39,EOL scrap (recycled),Refining,19,9,,,,
40,Forming scrap (generated),Loss forming scrap,20,95,,,,
41,Forming scrap (generated),Forming scrap (recycled),20,21,2083.0,,,
42,Forming scrap (recycled),Remelting,21,8,,,,
43,Forming scrap (recycled),Refining,21,9,,,,
44,Fabrication scrap (generated),Loss fabrication scrap,22,96,,,,
45,Fabrication scrap (generated),Fabrication scrap (recycled),22,23,,,,
46,Fabrication scrap (recycled),Remelting,23,8,,,,
47,Fabrication scrap (recycled),Refining,23,9,,,,
48,Wrought aluminum ingot,1xxx,24,42,,,,
49,Wrought aluminum ingot,2xxx,24,43,,,,
50,Wrought aluminum ingot,3xxx,24,44,,,,
51,Wrought aluminum ingot,4xxx,24,45,,,,
52,Wrought aluminum ingot,5xxx,24,46,,,,
53,Wrought aluminum ingot,6xxx,24,47,,,,
54,Wrought aluminum ingot,7xxx,24,48,,,,
55,Wrought aluminum ingot,8xxx,24,49,,,,
56,Cast aluminum ingot,36x,25,26,,,,
57,Cast aluminum ingot,38x,25,27,,,,
58,Cast aluminum ingot,2xx,25,28,,,,
59,Cast aluminum ingot,3xx,25,29,,,,
60,Cast aluminum ingot,4xx,25,30,,,,
61,Cast aluminum ingot,5xx,25,31,,,,
62,Cast aluminum ingot,7xx,25,32,,,,
63,Cast aluminum ingot,Other,25,33,,,,
64,36x,die cast,26,34,,,,
65,38x,die cast,27,34,,,,
66,2xx,sand cast,28,36,,,,
67,3xx,sand cast,29,36,,,,
68,4xx,sand cast,30,36,,,,
69,5xx,sand cast,31,36,,,,
70,7xx,sand cast,32,36,,,,
71,Other,sand cast,33,36,,,,
72,2xx,permanent- & semi-permanent mold cast,28,38,,,,
73,3xx,permanent- & semi-permanent mold cast,29,38,,,,
74,4xx,permanent- & semi-permanent mold cast,30,38,,,,
75,5xx,permanent- & semi-permanent mold cast,31,38,,,,
76,7xx,permanent- & semi-permanent mold cast,32,38,,,,
77,Other,permanent- & semi-permanent mold cast,33,38,,,,
78,Other,other cast,33,40,,,,
79,Cast aluminum ingot,Export cast aluminum ingot,25,97,300.0,,,
80,die cast,Scrap - cast,34,35,,,,
81,Scrap - cast,die cast,35,34,,,,
82,sand cast,Scrap sand cast,36,37,,,,
83,Scrap sand cast,sand cast,37,36,,,,
84,permanent- & semi-permanent mold cast,Scrap semi-permanent mold cast,38,39,,,,
85,Scrap semi-permanent mold cast,permanent- & semi-permanent mold cast,39,38,,,,
86,other cast,Scrap other cast,40,41,,,,
87,Scrap other cast,other cast,41,40,,,,
88,die cast,Export cast semifinished products,34,98,,,,
89,1xxx,Rolling,42,51,,,,
90,1xxx,Extrusion,42,53,,,,
91,1xxx,Drawing,42,55,,,,
92,1xxx,Other milling processes,42,57,,,,
93,2xxx,Rolling,43,51,,,,
94,2xxx,Extrusion,43,53,,,,
95,2xxx,Drawing,43,55,,,,
96,2xxx,Other milling processes,43,57,,,,
97,3xxx,Rolling,44,51,,,,
98,3xxx,Extrusion,44,53,,,,
99,3xxx,Drawing,44,55,,,,
100,3xxx,Other milling processes,44,57,,,,
101,4xxx,Rolling,45,51,,,,
102,4xxx,Other milling processes,45,57,,,,
103,5xxx,Rolling,46,51,,,,
104,5xxx,Extrusion,46,53,,,,
105,5xxx,Drawing,46,55,,,,
106,5xxx,Other milling processes,46,57,,,,
107,6xxx,Rolling,47,51,,,,
108,6xxx,Extrusion,47,53,,,,
109,6xxx,Drawing,47,55,,,,
110,6xxx,Other milling processes,47,57,,,,
111,7xxx,Rolling,48,51,,,,
112,7xxx,Extrusion,48,53,,,,
113,7xxx,Drawing,48,55,,,,
114,7xxx,Other milling processes,48,57,,,,
115,8xxx,Rolling,49,51,,,,
