flow_idx,from,to,true_value,observed,coverage,frequency,spatial_boundary,sigma_rss,sigma_coverage,sigma_frequency,sigma_spatial,sigma_indep_eff,ratio_rss_over_indep,,,,,,,,,
0,Iron Ore,BF,120,129.7684559,1,1,1,11.23827794,6.488422793,6.488422793,6.488422793,3.746092646,3,,,,,,,relative,with 1.96,without 1.96
1,Iron Ore,DR,30,29.66816568,2,2,1,6.815790701,4.94469428,4.450224852,1.483408284,1.353533807,5.035552614,,,,0.4,0.05,sigma_coverage,0.166666667,0.007230783,0.027777778
2,BF,BOF,80,84.14520664,1,2,2,17.40357589,4.207260332,12.621781,11.21936089,3.760477504,4.628022869,,,,0.35,0.05,sigma_frequency,0.15,0.005856935,0.0225
3,DR,EAF,28,31.41158688,3,3,2,12.58642945,8.899949616,7.85289672,4.188211584,3.412957452,3.687836614,,,,0.3,0.05,sigma_spatial,0.05,0.000650771,0.0025
4,Scrap,BOF,15,14.71901595,2,1,2,3.226640474,2.453169325,0.735950798,1.96253546,0.663415957,4.863676307,,,,,,,,0.013738489,0.052777778
5,Scrap,EAF,40,39.25076174,1,2,1,6.509002471,1.962538087,5.887614261,1.962538087,1.350711346,4.818944098,,,,,,,,3.477444235,6.815790701
6,BOF,Steel Out,90,98.37033227,1,1,1,8.519120673,4.918516614,4.918516614,4.918516614,2.839706891,3,,,,,,,,,
7,EAF,Steel Out,65,68.99066059,2,3,2,22.67847533,11.49844343,17.24766515,9.198754746,6.630959126,3.420089749,,,,,,,,,
8,BF,BF Losses,40,38.49768197,3,2,3,14.89627608,10.90767656,5.774652295,8.341164426,4.353343788,3.421800988,,,,,,,,,
9,DR,DR Losses,2,2.086809607,4,4,3,1.197771352,0.834723843,0.730383362,0.452142082,0.349186347,3.43017808,,,,,,,,,
10,BOF,BOF Losses,5,4.814632923,2,3,2,1.58265674,0.80243882,1.203658231,0.641951056,0.462752985,3.420089749,,,,,,,,,
11,EAF,EAF Losses,3,4.388224859,3,3,4,2.117189016,1.243330377,1.097056215,1.316467458,0.697617876,3.034883552,,,,,,,,,
