flow_idx,from,to,TRUE,observed,mean_rss,std_rss,hdi_lo_rss,hdi_hi_rss,hdi_width_rss,error_rss,abs_error_rss,mean_indep,std_indep,hdi_lo_indep,hdi_hi_indep,hdi_width_indep,error_indep,abs_error_indep,std_ratio,hdi_ratio,closer_to_true
0,Iron Ore,BF,120,129.7684559,128.7738773,6.736732759,115.4954279,141.7295086,26.23408075,8.773877303,8.773877303,128.2761975,2.889926294,122.5555527,133.7624033,11.20685061,8.276197532,8.276197532,2.33110885,2.340896802,INDEP
1,Iron Ore,DR,30,29.66816568,30.79297414,4.107349768,23.00261157,39.16661967,16.1640081,0.792974136,0.792974136,30.43131274,1.205553718,28.06498641,32.75460358,4.68961717,0.431312742,0.431312742,3.407023434,3.446764952,INDEP
2,BF,BOF,80,84.14520664,87.95156334,5.342748924,77.20917184,98.05955949,20.85038765,7.951563344,7.951563344,87.53674294,2.092513684,83.34984762,91.48424052,8.134392898,7.53674294,7.53674294,2.553268332,2.563238328,INDEP
3,DR,EAF,28,31.41158688,28.73642674,4.141348511,20.58351038,36.82191962,16.23840924,0.736426736,0.736426736,28.39467959,1.237739921,25.96800435,30.73982026,4.771815917,0.394679594,0.394679594,3.345895565,3.402983167,INDEP
4,Scrap,BOF,15,14.71901595,14.79859649,2.276288249,10.15627117,19.14952137,8.993250192,-0.201403512,0.201403512,14.757532,0.639142578,13.45818004,15.975274,2.517093956,-0.242468003,0.242468003,3.561471773,3.572870282,RSS
5,Scrap,EAF,40,39.25076174,39.58791852,4.382974884,30.89435407,47.88588633,16.99153226,-0.412081476,0.412081476,39.4962624,1.273656673,37.03119102,41.99916027,4.96796925,-0.503737602,0.503737602,3.441253029,3.420216874,RSS
6,BOF,Steel Out,90,98.37033227,97.96596622,5.053268905,88.23499025,108.1435402,19.90854991,7.96596622,7.96596622,97.50670433,2.058703572,93.45545618,101.419399,7.963942869,7.506704331,7.506704331,2.454587913,2.499835852,INDEP
7,EAF,Steel Out,65,68.99066059,63.97293633,5.985861778,51.99942846,75.37375029,23.37432183,-1.027063665,1.027063665,63.57142037,1.862623427,59.8905222,67.15050012,7.259977918,-1.428579634,1.428579634,3.213672549,3.219613351,RSS
8,BF,BF Losses,40,38.49768197,40.82281538,7.215449145,26.6997324,54.66537435,27.96564195,0.822815384,0.822815384,40.73773533,2.974219893,34.9544729,46.47529796,11.52082506,0.737735328,0.737735328,2.425997204,2.427399236,INDEP
9,DR,DR Losses,2,2.086809607,2.057727222,0.750497536,0.598849518,3.428004732,2.829155214,0.057727222,0.057727222,2.040827827,0.338983299,1.362863575,2.693328476,1.330464901,0.040827827,0.040827827,2.21396611,2.126441074,INDEP
10,BOF,BOF Losses,5,4.814632923,4.783438865,1.108155521,2.590272024,6.985248278,4.394976253,-0.216561135,0.216561135,4.788778055,0.436192656,3.944737426,5.658247759,1.713510333,-0.211221945,0.211221945,2.540518519,2.564896266,INDEP
11,EAF,EAF Losses,3,4.388224859,4.352407658,1.393601981,1.751003524,7.148170156,5.397166632,1.352407658,1.352407658,4.321658043,0.646251268,3.083894298,5.624314306,2.540420008,1.321658043,1.321658043,2.15643984,2.124517448,INDEP
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,0.4,0.05,,0.225,0.013178103,0.050625,,,,,,,,,,,,
,,,,0.35,0.05,,0.2,0.010412328,0.04,,,,,,,,,,,,
,,,,0.3,0.05,,0.1125,0.003294526,0.01265625,,,,,,,,,,,,
,,,,,,,,0.026884957,0.10328125,,,,,,,,,,,,
,,,,,,,,4.864580191,9.896061372,,,,,,,,,,,,
