flow_idx,flow_label,total_precision,share_observations,share_mass_balance,n_observations,sources,obs_min,obs_max,obs_spread_pct,determined_by,posterior_mean,posterior_sd,prior_mean,prior_sd,contraction,shift_in_prior_sd
0,bauxite_mining -> bauxite,0.0008373561938167439,0.4325606940972687,0.5674393059027313,2,USGS value 1; USGS value 2,229.0,229.0,0.0,structure-determined,229.89165605096335,51.59657027300342,,,,
1,import_of_bauxite -> bauxite,0.0005173296731038167,0.08153573607718774,0.9184642639228123,2,USGS value 1; USGS value 2,4350.0,4360.0,0.2296211251435132,structure-determined,4353.45381563838,148.2684285670313,,,,
2,bauxite -> export_bauxite,0.19271533344362612,0.9975344524541856,0.002465547545814348,2,USGS value 1; USGS value 2,29.0,40.0,31.884057971014492,multi-source,32.82196449108579,2.251484142664889,,,,
3,bauxite -> bauxite_non_aluminum_use,0.0008373561938167439,0.4325606940972687,0.5674393059027313,2,USGS value 1; USGS value 2,229.0,229.0,0.0,structure-determined,228.35278509822302,52.09240934722611,,,,
4,bauxite -> bauxite_refining_to_alumina,0.0010102442630964387,0.0007814279334188004,0.9992185720665813,2,USGS value 1; USGS value 2,4320.0,4321.0,0.023145469274389537,structure-determined,4323.083475070617,167.33420858617512,,,,
5,import_alumina -> primary_smelting_hall_hauroult_to_aluminum,0.002777768734527927,0.16661416684415808,0.833385833155842,2,USGS value 1; USGS value 2,1300.0,1330.0,2.2813688212927756,structure-determined,1316.6145607598844,46.11052282547094,,,,
6,bauxite_refining_to_alumina -> waste_bauxite,0.0005369152148599353,0.004859616920453476,0.9951403830795464,2,USGS value 1; USGS value 2,2376.0,2377.0,0.042078687144961074,structure-determined,2320.9555161767867,193.1359000293591,,,,
7,bauxite_refining_to_alumina -> export_alumina,0.0015156647794528852,0.6474774502645477,0.3525225497354523,2,USGS value 1; USGS value 2,450.0,481.0,6.659505907626208,multi-source,464.77139522715703,32.155190320494434,,,,
8,bauxite_refining_to_alumina -> alumina_non_aluminum_use,0.000708042207750159,0.24537547797505144,0.7546245220249486,1,USGS value 1,781.0,781.0,0.0,structure-determined,779.4436423141839,74.64903464236367,,,,
9,bauxite_refining_to_alumina -> primary_smelting_hall_hauroult_to_aluminum,0.0032220401314366092,0.11569719571886251,0.8843028042811375,2,USGS value 1; USGS value 2,739.0,770.0,4.108681245858184,structure-determined,758.0083207957487,50.47499886493105,,,,
10,primary_smelting_hall_hauroult_to_aluminum -> waste_alumina,0.0023191310028622962,0.0018014901781462044,0.9981985098218538,1,USGS value 1,1328.0,1328.0,0.0,structure-determined,971.9884845900453,142.7251650286933,,,,
11,primary_smelting_hall_hauroult_to_aluminum -> remelting,0.00242715065242432,0.003141144718860171,0.9968588552811398,1,USGS value 1,506.0,506.0,0.0,structure-determined,790.3914932944954,104.17842106845697,,,,
12,primary_smelting_hall_hauroult_to_aluminum -> refining,0.0036832423792216174,0.009596650743209839,0.9904033492567902,1,USGS value 1,235.0,235.0,0.0,structure-determined,313.1389931216936,81.60591615346195,,,,
13,import_unwrought_aluminum_ingot -> remelting,0.00014132672695572304,0.26005850355158405,0.7399414964484158,1,USGS value 1,3299.0,3299.0,0.0,structure-determined,3592.2142315800734,157.86374687684238,,,,
14,import_unwrought_aluminum_ingot -> refining,0.001503593780865483,0.11349561674857543,0.8865043832514246,1,USGS value 1,1531.0,1531.0,0.0,structure-determined,1589.0230093686755,75.24420079313032,,,,
15,remelting -> loss_remelting,0.00015789847082023004,0.33771676642243736,0.6622832335775627,2,USGS value 1; USGS value 2,212.0,444.2105263157895,70.77317933910811,structure-determined,159.91037255540172,79.66937080092488,,,,
16,remelting -> wrought_aluminum_ingot,0.0002122083351812365,0.000487422978209838,0.9995125770217902,1,USGS value 1,8440.0,8440.0,0.0,structure-determined,9778.56276562939,634.7478858277883,,,,
17,refining -> loss_refining,0.0015393058544603054,0.1340626208206202,0.8659373791793797,2,USGS value 1; USGS value 2,98.0,792.0,155.95505617977528,structure-determined,89.07317259744157,42.518511294614356,,,,
18,refining -> cast_aluminum_ingot,0.0027477592429356,0.0005216123326962973,0.9994783876673037,2,Other literature; USGS value 1,2350.0,3177.0,29.92581870815994,structure-determined,2607.210044408985,107.2807368060127,,,,
19,alloying_element_si -> remelting,0.00014115503036718312,0.25915846172998686,0.7408415382700132,1,USGS value 1,231.0,231.0,0.0,structure-determined,319.23877033415454,75.92295901189368,,,,
20,alloying_element_si -> refining,0.0014942669829279853,0.10796230352693774,0.8920376964730623,1,USGS value 1,110.0,110.0,0.0,structure-determined,131.39093922059712,43.888754428109095,,,,
21,alloying_element_mg -> remelting,0.00049698159351543,0.7895827306358225,0.21041726936417743,1,USGS value 1,70.53,70.53,0.0,observation-driven,80.73564793856336,28.726819026094173,,,,
22,alloying_element_mg -> refining,1.9533594597673134,0.9993176153673601,0.0006823846326398185,1,USGS value 1,0.0,0.0,0.0,observation-driven,0.42571222774303297,0.2726818894984435,,,,
23,alloying_element_other -> remelting,0.00498463980305664,0.9790208492562193,0.020979150743780657,1,USGS value 1,20.0,20.0,0.0,observation-driven,20.86220822101034,8.499198780899514,,,,
24,alloying_element_other -> refining,0.006213008770591699,0.7854594244778622,0.21454057552213776,1,USGS value 1,20.0,20.0,0.0,observation-driven,20.7178737267433,8.446616555371847,,,,
25,import_scrap -> eol_scrap_generated,0.0011426533966364667,0.6752747075735422,0.3247252924264576,1,USGS value 1,720.0,720.0,0.0,observation-driven,719.2217609663195,36.16963261455926,,,,
26,eol_scrap_generated -> export_eol_scrap,0.0005333268469404632,0.30427567917599513,0.6957243208240048,1,USGS value 1,1570.0,1570.0,0.0,structure-determined,1572.6152036440599,77.79298144192768,,,,
27,eol_scrap_generated -> loss_eol_scrap,0.00037409559931554697,0.0081453536375739,0.9918546463624262,1,USGS value 1,1555.0,1555.0,0.0,structure-determined,1790.146797151055,436.32131025457915,,,,
28,eol_scrap_generated -> eol_scrap_recycled,0.0031453141200694238,0.01129649395333771,0.9887035060466624,1,USGS value 1,1727.0,1727.0,0.0,structure-determined,2033.860680524858,152.78603513215015,,,,
29,eol_scrap_recycled -> remelting,0.0028450131251564416,0.0005992856566254203,0.9994007143433746,1,USGS value 1,1070.0,1070.0,0.0,structure-determined,1404.576836394358,198.60528374590646,,,,
30,eol_scrap_recycled -> refining,0.00407618563635666,0.0011060632724290476,0.998893936727571,1,USGS value 1,658.0,658.0,0.0,structure-determined,632.795433638091,152.36842691552616,,,,
31,forming_scrap_generated -> loss_forming_scrap,0.0015618347506471055,0.1651247321686649,0.8348752678313351,1,USGS value 1,87.0,87.0,0.0,structure-determined,72.9913406393503,35.499416930113476,,,,
32,forming_scrap_generated -> forming_scrap_recycled,0.002668883460558876,0.00010298208395728298,0.9998970179160427,1,USGS value 1,2665.0,2665.0,0.0,structure-determined,2700.7063515181785,597.81901536778,,,,
33,forming_scrap_recycled -> remelting,0.0014693844589136493,9.496592777249877e-05,0.9999050340722275,1,USGS value 1,2677.0,2677.0,0.0,structure-determined,2708.0352352852497,597.8069699927096,,,,
