flow_idx,from_node,to_node,from_node_name,to_node_name,value_1,value_2,value_3,value_4,year,map_estimate,posterior_mean,lower_bound,upper_bound
0,1,3,bauxite_mining,bauxite,229.0,229.0,,,2017,229.37136534136812,229.89165605096335,45.800000000000004,412.2
1,2,3,import_of_bauxite,bauxite,4350.0,4360.0,,,2017,4358.177441741884,4353.45381563838,870.9977037917754,7838.979334125978
2,3,85,bauxite,export_bauxite,29.0,40.0,,,2017,32.78914060581389,32.82196449108579,6.557968045882837,59.021712412945526
3,3,86,bauxite,bauxite_non_aluminum_use,229.0,229.0,,,2017,228.62863467099592,228.35278509822302,45.800000000000004,412.2
4,3,5,bauxite,bauxite_refining_to_alumina,4321.0,4320.0,,,2017,4326.414092378542,4323.083475070617,864.0999768545312,7776.89979169078
5,4,6,import_alumina,primary_smelting_hall_hauroult_to_aluminum,1330.0,1300.0,,,2017,1319.0881538321632,1316.6145607598844,262.9315678394866,2366.3841105553793
6,5,87,bauxite_refining_to_alumina,waste_bauxite,2377.0,2376.0,,,2017,2323.1580044595366,2320.9555161767867,475.2999579213147,4277.699621291832
7,5,88,bauxite_refining_to_alumina,export_alumina,481.0,450.0,,,2017,464.3271218943984,464.77139522715703,92.89378395384699,836.0440555846228
8,5,89,bauxite_refining_to_alumina,alumina_non_aluminum_use,781.0,,,,2017,780.1989146832016,779.4436423141839,156.20000000000002,1405.8
9,5,6,bauxite_refining_to_alumina,primary_smelting_hall_hauroult_to_aluminum,739.0,770.0,,,2017,758.9905683947486,758.0083207957487,150.77268461248738,1356.9541615123865
10,6,90,primary_smelting_hall_hauroult_to_aluminum,waste_alumina,1328.0,,,,2017,837.2063747837091,971.9884845900453,265.6,2390.4
11,6,8,primary_smelting_hall_hauroult_to_aluminum,remelting,506.0,,,,2017,910.7998134194147,790.3914932944954,101.2,910.8000000000001
12,6,9,primary_smelting_hall_hauroult_to_aluminum,refining,235.0,,,,2017,330.95830182174444,313.1389931216936,47.0,422.99999999999994
13,7,8,import_unwrought_aluminum_ingot,remelting,3299.0,,,,2017,3450.6573822012556,3592.2142315800734,659.8000000000001,5938.2
14,7,9,import_unwrought_aluminum_ingot,refining,1531.0,,,,2017,1562.8915929598522,1589.0230093686755,306.2,2755.8
15,8,91,remelting,loss_remelting,444.2105263157895,212.0,,,2017,150.55142047531209,159.91037255540172,51.01567630154246,459.14108671388215
16,8,24,remelting,wrought_aluminum_ingot,8440.0,,,,2017,9599.86494787322,9778.56276562939,1688.0,15192.0
17,9,92,refining,loss_refining,792.0,98.0,,,2017,82.09345063429969,89.07317259744157,21.69311066029381,195.23799594264432
18,9,25,refining,cast_aluminum_ingot,2350.0,,,,2017,2662.641569868443,2607.210044408985,481.43337760793185,4332.900398471386
19,10,8,alloying_element_si,remelting,231.0,,,,2017,383.36918969035963,319.23877033415454,46.199999999999996,415.79999999999995
20,10,9,alloying_element_si,refining,110.0,,,,2017,143.7352891008283,131.39093922059712,22.0,198.0
21,12,8,alloying_element_mg,remelting,70.53,,,,2017,84.7344355013303,80.73564793856336,14.106000000000002,126.95400000000001
22,12,9,alloying_element_mg,refining,0.0,,,,2017,0.002788840993533793,0.42571222774303297,0.0,1.0
23,16,8,alloying_element_other,remelting,20.0,,,,2017,21.142228167134984,20.86220822101034,4.0,36.0
24,16,9,alloying_element_other,refining,20.0,,,,2017,21.115206382523553,20.7178737267433,4.0,36.0
25,17,18,import_scrap,eol_scrap_generated,720.0,,,,2017,719.3838603478631,719.2217609663195,144.00000000000003,1296.0000000000002
26,18,93,eol_scrap_generated,export_eol_scrap,1570.0,,,,2017,1572.9296342341383,1572.6152036440599,314.00000000000006,2826.0000000000005
27,18,94,eol_scrap_generated,loss_eol_scrap,1555.0,,,,2017,1711.0205179494822,1790.146797151055,311.0,2799.0
28,18,19,eol_scrap_generated,eol_scrap_recycled,1727.0,,,,2017,1890.5119331203684,2033.860680524858,345.40000000000003,3108.6
29,19,8,eol_scrap_recycled,remelting,1070.0,,,,2017,1210.5110987937715,1404.576836394358,214.0,1926.0
30,19,9,eol_scrap_recycled,refining,658.0,,,,2017,681.9485865313104,632.795433638091,131.6,1184.4
31,20,95,forming_scrap_generated,loss_forming_scrap,87.0,,,,2017,65.4550289688752,72.9913406393503,17.400000000000002,156.6
32,20,21,forming_scrap_generated,forming_scrap_recycled,2665.0,,,,2017,2710.105863500378,2700.7063515181785,533.0,4797.0
33,21,8,forming_scrap_recycled,remelting,2677.0,,,,2017,2714.1863151220496,2708.0352352852497,535.4,4818.6
34,21,9,forming_scrap_recycled,refining,0.0,,,,2017,0.00017894131968375433,0.46402574315068906,0.0,1.0
35,22,96,fabrication_scrap_generated,loss_fabrication_scrap,49.0,,,,2017,35.264713917093,42.334241975025186,9.8,88.2
36,22,23,fabrication_scrap_generated,fabrication_scrap_recycled,971.0,,,,2017,921.2418186955888,918.0766919992569,194.20000000000002,1747.8
37,23,8,fabrication_scrap_recycled,remelting,922.0,,,,2017,921.714699439043,918.606914368421,184.4,1659.6000000000001
38,23,9,fabrication_scrap_recycled,refining,0.0,,,,2017,0.00017748074491047013,0.4619538074389556,0.0,1.0
39,24,42,wrought_aluminum_ingot,1xxx,1728.0,,,,2017,1526.6320113420102,1508.989670337309,372.2238399166158,3350.014559249542
40,24,43,wrought_aluminum_ingot,2xxx,238.0,,,,2017,151.65803616920226,155.71878993688455,23.100066347206326,207.90059712485694
