flow_idx,flow_label,source,value,coverage,frequency,spatial,sigma,relative_sigma
0,bauxite_mining -> bauxite,USGS value 1,229.0,1.0,2.0,4.0,74.30813348214298,0.32448966586088634
0,bauxite_mining -> bauxite,USGS value 2,229.0,1.0,2.0,4.0,74.30813348214298,0.32448966586088634
1,import_of_bauxite -> bauxite,USGS value 1,4350.0,4.0,3.0,4.0,217.5,0.05
1,import_of_bauxite -> bauxite,USGS value 2,4360.0,4.0,3.0,4.0,218.0,0.05
2,bauxite -> export_bauxite,USGS value 1,29.0,4.0,3.0,4.0,2.8170970635715373,0.09714127805419094
2,bauxite -> export_bauxite,USGS value 2,40.0,4.0,3.0,4.0,3.8856511221676375,0.09714127805419094
3,bauxite -> bauxite_non_aluminum_use,USGS value 1,229.0,1.0,2.0,4.0,74.30813348214298,0.32448966586088634
3,bauxite -> bauxite_non_aluminum_use,USGS value 2,229.0,1.0,2.0,4.0,74.30813348214298,0.32448966586088634
4,bauxite -> bauxite_refining_to_alumina,USGS value 1,4321.0,1.0,1.0,4.0,1591.8700105625112,0.3684031498640387
4,bauxite -> bauxite_refining_to_alumina,USGS value 2,4320.0,1.0,1.0,4.0,1591.5016074126472,0.3684031498640387
5,import_alumina -> primary_smelting_hall_hauroult_to_aluminum,USGS value 1,1330.0,4.0,3.0,4.0,66.5,0.05
5,import_alumina -> primary_smelting_hall_hauroult_to_aluminum,USGS value 2,1300.0,4.0,3.0,4.0,65.0,0.05
6,bauxite_refining_to_alumina -> waste_bauxite,USGS value 1,2377.0,1.0,1.0,4.0,875.69428722682,0.3684031498640387
6,bauxite_refining_to_alumina -> waste_bauxite,USGS value 2,2376.0,1.0,1.0,4.0,875.325884076956,0.3684031498640387
7,bauxite_refining_to_alumina -> export_alumina,USGS value 1,481.0,4.0,3.0,4.0,46.72495474406584,0.09714127805419094
7,bauxite_refining_to_alumina -> export_alumina,USGS value 2,450.0,4.0,3.0,4.0,43.713575124385926,0.09714127805419094
8,bauxite_refining_to_alumina -> alumina_non_aluminum_use,USGS value 1,781.0,4.0,3.0,4.0,75.86733816032313,0.09714127805419094
9,bauxite_refining_to_alumina -> primary_smelting_hall_hauroult_to_aluminum,USGS value 1,739.0,4.0,3.0,4.0,71.78740448204711,0.09714127805419094
9,bauxite_refining_to_alumina -> primary_smelting_hall_hauroult_to_aluminum,USGS value 2,770.0,4.0,3.0,4.0,74.79878410172702,0.09714127805419094
10,primary_smelting_hall_hauroult_to_aluminum -> waste_alumina,USGS value 1,1328.0,1.0,1.0,4.0,489.23938301944344,0.3684031498640387
11,primary_smelting_hall_hauroult_to_aluminum -> remelting,USGS value 1,506.0,1.0,1.0,3.0,362.1659865078614,0.7157430563396471
12,primary_smelting_hall_hauroult_to_aluminum -> refining,USGS value 1,235.0,1.0,1.0,3.0,168.19961823981706,0.7157430563396471
13,import_unwrought_aluminum_ingot -> remelting,USGS value 1,3299.0,1.0,1.0,3.0,164.95000000000002,0.05
14,import_unwrought_aluminum_ingot -> refining,USGS value 1,1531.0,1.0,1.0,3.0,76.55,0.049999999999999996
15,remelting -> loss_remelting,USGS value 1,444.2105263157895,1.0,1.0,3.0,317.9405997635064,0.7157430563396471
15,remelting -> loss_remelting,USGS value 2,212.0,1.0,1.0,3.0,151.7375279440052,0.7157430563396472
16,remelting -> wrought_aluminum_ingot,USGS value 1,8440.0,1.0,1.0,4.0,3109.3225848524867,0.3684031498640387
17,refining -> loss_refining,USGS value 1,792.0,1.0,1.0,3.0,566.8685006210005,0.7157430563396471
17,refining -> loss_refining,USGS value 2,98.0,1.0,1.0,3.0,70.14281952128542,0.7157430563396471
18,refining -> cast_aluminum_ingot,Other literature,3177.0,1.0,1.0,1.0,3177.0,1.0
18,refining -> cast_aluminum_ingot,USGS value 1,2350.0,1.0,1.0,4.0,865.747402180491,0.3684031498640387
19,alloying_element_si -> remelting,USGS value 1,231.0,1.0,1.0,3.0,165.33664601445847,0.7157430563396471
20,alloying_element_si -> refining,USGS value 1,110.0,1.0,1.0,3.0,78.73173619736117,0.7157430563396471
21,alloying_element_mg -> remelting,USGS value 1,70.53,1.0,1.0,3.0,50.48135776363531,0.7157430563396471
22,alloying_element_mg -> refining,USGS value 1,0.0,1.0,1.0,3.0,0.7157430563396471,715743056.339647
23,alloying_element_other -> remelting,USGS value 1,20.0,1.0,1.0,3.0,14.314861126792941,0.7157430563396471
24,alloying_element_other -> refining,USGS value 1,20.0,1.0,1.0,3.0,14.314861126792941,0.7157430563396471
25,import_scrap -> eol_scrap_generated,USGS value 1,720.0,4.0,3.0,4.0,36.0,0.05
26,eol_scrap_generated -> export_eol_scrap,USGS value 1,1570.0,4.0,3.0,4.0,78.5,0.05
27,eol_scrap_generated -> loss_eol_scrap,USGS value 1,1555.0,1.0,1.0,4.0,572.8668980385802,0.3684031498640387
28,eol_scrap_generated -> eol_scrap_recycled,USGS value 1,1727.0,4.0,3.0,4.0,167.76298719958774,0.09714127805419093
29,eol_scrap_recycled -> remelting,USGS value 1,1070.0,1.0,1.0,3.0,765.8450702834224,0.7157430563396471
30,eol_scrap_recycled -> refining,USGS value 1,658.0,1.0,1.0,3.0,470.95893107148777,0.7157430563396471
31,forming_scrap_generated -> loss_forming_scrap,USGS value 1,87.0,1.0,1.0,3.0,62.269645901549296,0.7157430563396471
32,forming_scrap_generated -> forming_scrap_recycled,USGS value 1,2665.0,1.0,1.0,3.0,1907.4552451451596,0.7157430563396471
33,forming_scrap_recycled -> remelting,USGS value 1,2677.0,1.0,1.0,1.0,2677.0,1.0
34,forming_scrap_recycled -> refining,USGS value 1,0.0,1.0,1.0,1.0,1.0,999999999.9999999
35,fabrication_scrap_generated -> loss_fabrication_scrap,USGS value 1,49.0,1.0,1.0,3.0,35.07140976064271,0.7157430563396471
36,fabrication_scrap_generated -> fabrication_scrap_recycled,USGS value 1,971.0,4.0,3.0,4.0,94.32418099061941,0.09714127805419095
37,fabrication_scrap_recycled -> remelting,USGS value 1,922.0,1.0,1.0,1.0,922.0,1.0
38,fabrication_scrap_recycled -> refining,USGS value 1,0.0,1.0,1.0,1.0,1.0,999999999.9999999
39,wrought_aluminum_ingot -> 1xxx,Other literature,2336.0,1.0,1.0,1.0,2336.0,1.0
39,wrought_aluminum_ingot -> 1xxx,USGS value 1,1728.0,1.0,1.0,3.0,1236.80400135491,0.715743056339647
40,wrought_aluminum_ingot -> 2xxx,Other literature,85.0,1.0,1.0,1.0,85.0,1.0
40,wrought_aluminum_ingot -> 2xxx,USGS value 1,238.0,1.0,1.0,3.0,170.346847408836,0.7157430563396471
41,wrought_aluminum_ingot -> 3xxx,Other literature,1256.0,1.0,1.0,1.0,1256.0,1.0
41,wrought_aluminum_ingot -> 3xxx,USGS value 1,2848.0,1.0,1.0,3.0,2038.436224455315,0.7157430563396471
42,wrought_aluminum_ingot -> 4xxx,Other literature,50.0,1.0,1.0,1.0,50.0,1.0
42,wrought_aluminum_ingot -> 4xxx,USGS value 1,117.0,1.0,1.0,3.0,83.7419375917387,0.7157430563396471
43,wrought_aluminum_ingot -> 5xxx,Other literature,3047.0,1.0,1.0,1.0,3047.0,1.0
43,wrought_aluminum_ingot -> 5xxx,USGS value 1,2762.0,1.0,1.0,3.0,1976.8823216101052,0.7157430563396471
44,wrought_aluminum_ingot -> 6xxx,Other literature,3771.0,1.0,1.0,1.0,3771.0,1.0
44,wrought_aluminum_ingot -> 6xxx,USGS value 1,3218.0,1.0,1.0,3.0,2303.2611553009842,0.7157430563396471
45,wrought_aluminum_ingot -> 7xxx,Other literature,254.0,1.0,1.0,1.0,254.0,1.0
45,wrought_aluminum_ingot -> 7xxx,USGS value 1,887.0,1.0,1.0,3.0,634.8640909732669,0.7157430563396471
46,wrought_aluminum_ingot -> 8xxx,Other literature,267.0,1.0,1.0,1.0,267.0,1.0
46,wrought_aluminum_ingot -> 8xxx,USGS value 1,94.0,1.0,1.0,3.0,67.27984729592683,0.7157430563396471
47,cast_aluminum_ingot -> 36x,USGS value 1,139.9873943233654,,,,13.998739432336542,0.1
48,cast_aluminum_ingot -> 38x,USGS value 1,1369.275605676634,,,,136.92756056766342,0.1
49,cast_aluminum_ingot -> 2xx,USGS value 1,5.802579327688045,,,,0.5802579327688046,0.1
50,cast_aluminum_ingot -> 3xx,USGS value 1,567.7059997361048,,,,56.77059997361048,0.1
51,cast_aluminum_ingot -> 4xx,USGS value 1,7.889786477696971,,,,0.7889786477696972,0.1
52,cast_aluminum_ingot -> 5xx,USGS value 1,44.9000575912573,,,,4.49000575912573,0.1
53,cast_aluminum_ingot -> 7xx,USGS value 1,8.033237140927826,,,,0.8033237140927826,0.1
54,cast_aluminum_ingot -> other,USGS value 1,289.7703397263251,,,,28.977033972632512,0.1
55,36x -> die_cast,USGS value 1,147.475924987329,,,,14.7475924987329,0.1
56,38x -> die_cast,USGS value 1,1442.524075012671,,,,144.2524075012671,0.1
57,2xx -> sand_cast,USGS value 1,1.923056763564638,,,,0.1923056763564638,0.1
58,3xx -> sand_cast,USGS value 1,188.1457884253907,,,,18.81457884253907,0.1
59,4xx -> sand_cast,USGS value 1,2.614786699531646,,,,0.2614786699531646,0.1
60,5xx -> sand_cast,USGS value 1,14.88051339915282,,,,1.4880513399152822,0.1
61,7xx -> sand_cast,USGS value 1,2.662328275886768,,,,0.26623282758867683,0.1
62,other -> sand_cast,USGS value 1,84.77352643647342,,,,8.477352643647341,0.09999999999999999
63,2xx -> permanent_semi_permanent_mold_cast,USGS value 1,3.846113527129276,,,,0.3846113527129276,0.1
64,3xx -> permanent_semi_permanent_mold_cast,USGS value 1,376.2915768507814,,,,37.62915768507814,0.1
65,4xx -> permanent_semi_permanent_mold_cast,USGS value 1,5.229573399063292,,,,0.5229573399063292,0.1
66,5xx -> permanent_semi_permanent_mold_cast,USGS value 1,29.76102679830564,,,,2.9761026798305643,0.1
67,7xx -> permanent_semi_permanent_mold_cast,USGS value 1,5.324656551773534,,,,0.5324656551773533,0.09999999999999999
68,other -> permanent_semi_permanent_mold_cast,USGS value 1,169.5470528729468,,,,16.954705287294683,0.10000000000000002
69,other -> other_cast,USGS value 1,25.0,,,,2.5,0.1
70,cast_aluminum_ingot -> export_cast_aluminum_ingot,USGS value 1,275.0,4.0,3.0,4.0,26.713851464902508,0.09714127805419094
72,die_cast -> scrap_cast,USGS value 1,530.0,1.0,1.0,3.0,379.34381986001296,0.7157430563396471
73,scrap_cast -> die_cast,USGS value 1,530.0,1.0,1.0,3.0,379.34381986001296,0.7157430563396471
74,sand_cast -> scrap_sand_cast,USGS value 1,197.0,1.0,1.0,3.0,141.00138209891048,0.7157430563396471
75,scrap_sand_cast -> sand_cast,USGS value 1,197.0,1.0,1.0,3.0,141.00138209891048,0.7157430563396471
76,permanent_semi_permanent_mold_cast -> scrap_semi_permanent_mold_cast,USGS value 1,197.0,1.0,1.0,3.0,141.00138209891048,0.7157430563396471
77,scrap_semi_permanent_mold_cast -> permanent_semi_permanent_mold_cast,USGS value 1,197.0,1.0,1.0,3.0,141.00138209891048,0.7157430563396471
78,other_cast -> scrap_other_cast,USGS value 1,17.0,1.0,1.0,3.0,12.167631957774,0.7157430563396471
79,scrap_other_cast -> other_cast,USGS value 1,17.0,1.0,1.0,3.0,12.167631957774,0.7157430563396471
80,die_cast -> export_cast_semifinished_products,USGS value 1,18.0,4.0,3.0,4.0,1.748543004975437,0.09714127805419094
81,1xxx -> rolling,USGS value 1,1116.0,1.0,1.0,3.0,798.7692508750462,0.7157430563396471
