flow_idx,from_node,from_node_name,to_node_name,share_map,share_observed
0,1,bauxite_mining,bauxite,1.0,
1,2,import_of_bauxite,bauxite,1.0,
2,3,bauxite,export_bauxite,0.007080171041683419,0.0071557763041657655
3,3,bauxite,bauxite_non_aluminum_use,0.049447311543935585,0.04997501549836727
4,3,bauxite,bauxite_refining_to_alumina,0.9434725174143811,0.942869208197467
5,4,import_alumina,primary_smelting_hall_hauroult_to_aluminum,1.0,
6,5,bauxite_refining_to_alumina,waste_bauxite,0.5390312679272504,0.5430966540031257
7,5,bauxite_refining_to_alumina,export_alumina,0.10535110134264052,0.10614413572360452
8,5,bauxite_refining_to_alumina,alumina_non_aluminum_use,0.1771409466798602,0.17848033845046546
9,5,bauxite_refining_to_alumina,primary_smelting_hall_hauroult_to_aluminum,0.1784766840502489,0.17227887182280432
10,6,primary_smelting_hall_hauroult_to_aluminum,waste_alumina,0.6138471521754943,0.6418559690671822
11,6,primary_smelting_hall_hauroult_to_aluminum,remelting,0.266343495590512,0.24456259062348962
12,6,primary_smelting_hall_hauroult_to_aluminum,refining,0.11980935223399358,0.11358144030932817
13,7,import_unwrought_aluminum_ingot,remelting,0.6894668873099196,0.6830227743271221
14,7,import_unwrought_aluminum_ingot,refining,0.31053311269008044,0.31697722567287784
15,8,remelting,loss_remelting,0.02091193141765449,0.029335949639074113
16,8,remelting,wrought_aluminum_ingot,0.9790880685823455,0.970664050360926
17,9,refining,loss_refining,0.03873852033139491,0.04311661414401388
18,9,refining,cast_aluminum_ingot,0.9612614796686051,0.9568833858559862
19,10,alloying_element_si,remelting,0.6795943405352071,0.6774193548387096
20,10,alloying_element_si,refining,0.32040565946479294,0.3225806451612903
21,12,alloying_element_mg,remelting,0.9999827670927912,1.0
22,12,alloying_element_mg,refining,1.7232907208842304e-05,0.0
23,16,alloying_element_other,remelting,0.5002141668930338,0.5
24,16,alloying_element_other,refining,0.4997858331069662,0.5
25,17,import_scrap,eol_scrap_generated,1.0,
26,18,eol_scrap_generated,export_eol_scrap,0.30759689790894845,0.3235779060181369
27,18,eol_scrap_generated,loss_eol_scrap,0.30469328481820335,0.3204863973619126
28,18,eol_scrap_generated,eol_scrap_recycled,0.3877098172728482,0.35593569661995056
29,19,eol_scrap_recycled,remelting,0.6292248517447928,0.6192129629629629
30,19,eol_scrap_recycled,refining,0.37077514825520724,0.38078703703703703
31,20,forming_scrap_generated,loss_forming_scrap,0.026574933566373273,0.031613372093023256
32,20,forming_scrap_generated,forming_scrap_recycled,0.9734250664336267,0.9683866279069767
33,21,forming_scrap_recycled,remelting,0.9999250619075007,1.0
34,21,forming_scrap_recycled,refining,7.493809249924801e-05,0.0
35,22,fabrication_scrap_generated,loss_fabrication_scrap,0.04633262736130966,0.04803921568627451
36,22,fabrication_scrap_generated,fabrication_scrap_recycled,0.9536673726386903,0.9519607843137254
37,23,fabrication_scrap_recycled,remelting,0.9998571911796743,1.0
38,23,fabrication_scrap_recycled,refining,0.00014280882032564811,0.0
39,24,wrought_aluminum_ingot,1xxx,0.0609322530357978,
40,24,wrought_aluminum_ingot,2xxx,0.017367272912042243,
41,24,wrought_aluminum_ingot,3xxx,0.19607273633722697,
42,24,wrought_aluminum_ingot,4xxx,0.009928343350201953,
43,24,wrought_aluminum_ingot,5xxx,0.22050092226325507,
44,24,wrought_aluminum_ingot,6xxx,0.4194440604781511,
45,24,wrought_aluminum_ingot,7xxx,0.0661261708422971,
46,24,wrought_aluminum_ingot,8xxx,0.009534905718712492,
47,25,cast_aluminum_ingot,36x,0.0545154856784563,0.051687048947747234
48,25,cast_aluminum_ingot,38x,0.5090295151364477,0.5055727738604784
