flow_idx,from_node,to_node,from_node_name,to_node_name,value_1,value_2,value_3,value_4,year,map_estimate,posterior_mean,posterior_median,lower_bound,upper_bound
0,1,3,bauxite_mining,bauxite,229.0,229.0,,,2017,230.07420292769552,248.26637896033748,243.41963612440662,160.71467170722542,365.1388924008839
1,2,3,import_of_bauxite,bauxite,4350.0,4360.0,,,2017,4364.311015658359,4386.860410117403,4383.419731635081,4098.507685149885,4692.261113352851
2,3,85,bauxite,export_bauxite,29.0,40.0,,,2017,32.53488197294818,72.80341765605345,58.678062598776705,15.865274896512,210.29045967391804
3,3,86,bauxite,bauxite_non_aluminum_use,229.0,229.0,,,2017,227.22084473527553,261.7355948000543,251.44325406581174,132.97727437225814,455.59603251460186
4,3,5,bauxite,bauxite_refining_to_alumina,4321.0,4320.0,,,2017,4335.455572765202,4298.007008885196,4296.010694990884,3946.700699774593,4652.084103753364
5,4,6,import_alumina,primary_smelting_hall_hauroult_to_aluminum,1330.0,1300.0,,,2017,1318.5344694548205,1322.178891226837,1321.0026273010674,1235.9980663103343,1415.4113193223113
6,5,87,bauxite_refining_to_alumina,waste_bauxite,2377.0,2376.0,,,2017,2337.375010899491,2287.275610647905,2285.48031258211,1934.1009885949684,2645.96073396693
7,5,88,bauxite_refining_to_alumina,export_alumina,481.0,450.0,,,2017,456.8288451909655,473.69894736921634,465.28776237234166,298.8258081479529,689.4529981184564
8,5,89,bauxite_refining_to_alumina,alumina_non_aluminum_use,781.0,,,,2017,768.127651979672,774.0617556307517,769.4498001272177,554.4892668481806,1026.2886145428815
9,5,6,bauxite_refining_to_alumina,primary_smelting_hall_hauroult_to_aluminum,739.0,770.0,,,2017,773.9197448255596,790.5392677627971,782.2409862658052,569.4293120320582,1057.5723335942014
10,6,90,primary_smelting_hall_hauroult_to_aluminum,waste_alumina,1328.0,,,,2017,1284.9235454452178,1266.6900732774443,1261.9619936214258,1013.5257784122654,1532.9116519724435
11,6,8,primary_smelting_hall_hauroult_to_aluminum,remelting,506.0,,,,2017,557.5183129017631,592.9332307342177,585.6595258068746,398.25179285573114,831.6338010879656
12,6,9,primary_smelting_hall_hauroult_to_aluminum,refining,235.0,,,,2017,250.7885832888673,254.38810682628886,245.72112326353215,135.1216270168677,420.1559015912412
13,7,8,import_unwrought_aluminum_ingot,remelting,3299.0,,,,2017,3440.0322527046233,3558.0551767074076,3561.571249114836,3173.5404755749973,3926.351590396767
14,7,9,import_unwrought_aluminum_ingot,refining,1531.0,,,,2017,1549.3766892193821,1439.5034692129057,1433.9958409225642,1181.4868136995237,1721.2567254330309
15,8,91,remelting,loss_remelting,444.2105263157895,212.0,,,2017,187.1868642320541,256.69342593508264,232.27600013446838,90.5601451829497,555.842594152031
16,8,24,remelting,wrought_aluminum_ingot,8440.0,,,,2017,8764.012357568437,9162.239837816705,9145.480912049228,8113.225771059644,10253.719206913405
17,9,92,refining,loss_refining,792.0,98.0,,,2017,107.74960242660589,160.29550546947337,147.26482641664197,63.10856409379223,327.45220589768263
18,9,25,refining,cast_aluminum_ingot,2350.0,,,,2017,2673.709304750141,2734.2867285267876,2732.14200667592,2528.68043089409,2948.577158181932
19,10,8,alloying_element_si,remelting,231.0,,,,2017,341.2319697464928,396.6698549917309,379.1194214064026,202.94707595110748,702.2762899007921
20,10,9,alloying_element_si,refining,110.0,,,,2017,160.87928897552553,184.446051498482,174.59906219628522,89.02773416629041,338.05446248673906
21,12,8,alloying_element_mg,remelting,70.53,,,,2017,83.78424185665573,115.4825209685737,106.08800855992453,46.31770082511367,237.44550750897434
22,12,9,alloying_element_mg,refining,0.0,,,,2017,0.0014438709475730106,5.376137890197438,3.201183998821527,0.3884118053404127,22.80267209650675
23,16,8,alloying_element_other,remelting,20.0,,,,2017,20.95126452273062,26.608363172738592,24.56348489537176,10.8872446243639,53.385635930994
24,16,9,alloying_element_other,refining,20.0,,,,2017,20.933323938377196,26.443299914962783,24.4811826447741,10.976858436871797,53.52519444098403
25,17,18,import_scrap,eol_scrap_generated,720.0,,,,2017,719.6834302350201,721.1435262784988,720.3115996917155,653.1031795272346,793.9539356490687
26,18,93,eol_scrap_generated,export_eol_scrap,1570.0,,,,2017,1702.4832041883228,1829.1433174321353,1819.3341873310537,1384.2683395305803,2365.8338125753203
27,18,94,eol_scrap_generated,loss_eol_scrap,1555.0,,,,2017,1686.4123252163308,1816.3447835115935,1803.4384220410848,1359.0315132413373,2339.61206458223
28,18,19,eol_scrap_generated,eol_scrap_recycled,1727.0,,,,2017,2145.891120791909,2313.4347183153113,2299.6463063610367,1849.0713227813856,2855.80493310263
