node,n_out,n_observed,status,quality_index,total_value,total_sigma,kappa,total_map,kappa_likelihood,kappa_prior
1,1,1,fully_observed,0.7110635096201197,164.00915,53.21927428162799,142.79057490478368,215.9261425965871,142.79057490478368,0.0
2,1,1,fully_observed,1.0,3280.183,164.00915,200.0,3982.089122029113,200.0,0.0
3,3,3,fully_observed,0.7754266337617137,3450.19215,1209.6012111160337,155.53447348481933,4220.5859402865,155.53447348481933,200.0
4,1,0,unobserved,0.0,,,2.0,1335.0614097497285,2.0,0.0
5,4,4,fully_observed,0.8789928989403655,3280.183,670.9633640633908,176.04059399019238,4017.6402674840047,176.04059399019238,200.0
6,3,3,fully_observed,0.42109148682690073,2213.934,669.4736378842108,85.37611439172635,2069.120329262201,85.37611439172635,76.48168062315175
7,2,2,fully_observed,1.0,4150.0,156.13038198965015,200.0,4663.349303427517,200.0,200.0
8,2,1,partially_observed,0.6648387896168013,,,133.63808034412665,9395.891437007953,133.63808034412665,200.0
9,2,1,partially_observed,0.6648387896168013,,,133.63808034412665,2660.868288667161,133.63808034412665,134.4575016977514
10,2,0,unobserved,0.0,,,2.0,558.0451275688172,2.0,19.287584237080107
12,2,0,unobserved,0.0,,,2.0,92.17021369640378,2.0,164.84397532136038
16,2,0,unobserved,0.0,,,2.0,43.63781148784821,2.0,8.763849832716328
17,1,1,fully_observed,1.0,685.0,34.25,200.0,697.8059947890847,200.0,0.0
18,3,2,partially_observed,0.9751888010241101,,,195.0873826027738,5688.887007943909,195.0873826027738,167.61045407761333
19,2,0,unobserved,0.0,,,2.0,1941.2678160991918,2.0,36.55636045981676
20,2,1,partially_observed,0.29921783543195046,,,61.24513141552619,2809.67269504808,61.24513141552619,112.41919968124353
21,2,0,unobserved,0.0,,,2.0,2749.926889504176,2.0,200.0
22,2,0,unobserved,0.0,,,2.0,964.7916914220195,2.0,96.29368503945052
23,2,0,unobserved,0.0,,,2.0,925.7833768127039,2.0,200.0
24,9,0,unobserved,0.0,,,2.0,9348.286851541967,2.0,200.0
25,9,1,partially_observed,0.9503776020482201,,,190.17476520554757,2591.8965630792945,190.17476520554757,200.0
26,1,0,unobserved,0.0,,,2.0,142.05978487093176,2.0,0.0
27,1,0,unobserved,0.0,,,2.0,1267.9314742931488,2.0,0.0
28,2,0,unobserved,0.0,,,2.0,5.782029127852806,2.0,200.0
29,2,0,unobserved,0.0,,,2.0,549.6658568045461,2.0,200.0
30,2,0,unobserved,0.0,,,2.0,7.857103023880058,2.0,200.0
31,2,0,unobserved,0.0,,,2.0,44.651408130071495,2.0,200.0
32,2,0,unobserved,0.0,,,2.0,7.994517853843783,2.0,200.0
33,3,0,unobserved,0.0,,,2.0,278.96048883097717,2.0,200.0
34,9,0,unobserved,0.0,,,2.0,1915.0470090873443,2.0,200.0
35,1,0,unobserved,0.0,,,2.0,503.9297294345246,2.0,0.0
36,7,0,unobserved,0.0,,,2.0,478.8226236079612,2.0,145.09059996234456
37,1,0,unobserved,0.0,,,2.0,186.46086612767004,2.0,0.0
38,7,0,unobserved,0.0,,,2.0,768.8645929325507,2.0,97.44827196882088
