node,flow_idx,n_out,target_share,source_share_sd,share_sigma,node_total_ref,tau_flow_units,share_dev_mean,share_dev_sd,share_dev_abs_mean,z_vs_tolerance
3,2,3,0.00716833702289624,0.0005501146091863423,0.02,3984.2463464106995,79.684926928214,-0.005238594174807572,0.00025063125422243837,0.005238594174807572,-0.2619297087403786
3,3,3,0.049862454186204,0.011465192595054085,0.02,3984.2463464106995,79.684926928214,0.0011455597995780682,0.008121040011132254,0.006556047864785229,0.05727798997890341
3,4,3,0.9429692087908997,0.011495558918200798,0.02,3984.2463464106995,79.684926928214,0.0040930343752295425,0.00813107115407346,0.007266931548321151,0.2046517187614771
5,6,4,0.5361595903246611,0.02816810263254595,0.02816810263254595,3784.941337571323,106.61461605487477,0.025289015442325587,0.016059912838034623,0.026089800945274154,0.8977890975555517
5,7,4,0.10767361335032928,0.008549699041773662,0.02,3784.941337571323,75.69882675142647,-0.04497853399563304,0.004997982657770629,0.04497853399563304,-2.248926699781652
5,8,4,0.18055738387501136,0.01854654414803578,0.02,3784.941337571323,75.69882675142647,0.018730258314242458,0.011323600510106334,0.01918640359762784,0.9365129157121229
5,9,4,0.1756094124499982,0.013572642845201155,0.02,3784.941337571323,75.69882675142647,0.0009592602390650196,0.009554965670912918,0.007673596395026633,0.04796301195325098
6,10,3,0.46778889314325955,0.06327385151113493,0.06327385151113493,1970.4841761541038,124.68012316701581,0.03466906950574479,0.023763935134077423,0.03615588496028924,0.5479209606774724
6,11,3,0.38122385291310307,0.051698958154239395,0.051698958154239395,1970.4841761541038,101.8719789665819,-0.027414929585499893,0.028431518802607542,0.032625350675483715,-0.5302801171294363
6,12,3,0.1509872539436374,0.039537810454176495,0.039537810454176495,1970.4841761541038,77.90862985973509,-0.0072541399202448245,0.024703469593895924,0.020552864606718745,-0.18347348618741097
7,13,2,0.6931672175033361,0.013996507466370298,0.02,4577.479811453605,91.54959622907211,-0.008610879628311129,0.008318696335277095,0.009910245300498804,-0.43054398141555644
7,14,2,0.30683278249666385,0.013996507466370298,0.02,4577.479811453605,91.54959622907211,0.008610879628311164,0.008318696335277091,0.009910245300498825,0.43054398141555816
8,15,2,0.016121393038384304,0.008025771017085966,0.02,8184.864834600247,163.69729669200495,-0.00552470498935148,0.007130471110676275,0.007648559139183426,-0.276235249467574
8,16,2,0.9838786069616158,0.008025771017085966,0.02,8184.864834600247,163.69729669200495,0.00552470498935141,0.007130471110676276,0.007648559139183389,0.2762352494675705
9,17,2,0.03287371383037022,0.01532020046595039,0.02,2681.7558749492605,53.63511749898521,0.001587594985750007,0.011202451271626883,0.009036747730449995,0.07937974928750034
9,18,2,0.9671262861696298,0.01532020046595039,0.02,2681.7558749492605,53.63511749898521,-0.0015875949857500377,0.011202451271626883,0.00903674773045,-0.07937974928750188
10,19,2,0.7048061740245867,0.10126825273558145,0.10126825273558145,468.8752271732135,47.48217500683015,-0.020919309087471315,0.056902577963093136,0.048467470011721844,-0.20657322035656236
10,20,2,0.29519382597541327,0.10126825273558145,0.10126825273558145,468.8752271732135,47.48217500683015,0.020919309087471413,0.05690257796309313,0.048467470011721865,0.20657322035656334
12,21,2,0.9935650586125245,0.006208984891317458,0.02,101.29706820455503,2.025941364091101,0.002444587577077654,0.003396151406372079,0.0034444636781001525,0.1222293788538827
12,22,2,0.006434941387475459,0.006208984891317458,0.02,101.29706820455503,2.025941364091101,-0.0024445875770776416,0.003396151406372076,0.0034444636781001455,-0.12222937885388208
16,23,2,0.5014784576000925,0.16001384462035226,0.16001384462035226,44.82754010865722,7.173027037659285,-0.04337721495647097,0.09181666466827043,0.08164857622206455,-0.2710841368719529
16,24,2,0.4985215423999075,0.16001384462035226,0.16001384462035226,44.82754010865722,7.173027037659285,0.04337721495647106,0.09181666466827043,0.08164857622206459,0.27108413687195343
18,26,3,0.2933167207606753,0.02732448672705284,0.02732448672705284,5011.804645433304,136.94498951272408,0.028322639300433758,0.016543014142718318,0.02895630731944378,1.0365296001111226
18,27,3,0.32769192345699244,0.05808024133360509,0.05808024133360509,5011.804645433304,291.0868233236494,-0.003057592462308409,0.031065588562426177,0.024917128480364842,-0.05264427957084423
18,28,3,0.37899135578233234,0.03801075307876972,0.03801075307876972,5011.804645433304,190.50246885659635,-0.025265046838125468,0.021590720758918297,0.027856589358494485,-0.6646815648658337
19,29,2,0.6885046138796663,0.0755679232688576,0.0755679232688576,1743.3451633023476,131.74097353156583,-0.022135593170067316,0.04234598832092083,0.03817150979757271,-0.29292313739141285
19,30,2,0.3114953861203337,0.07556792326885758,0.07556792326885758,1743.3451633023476,131.7409735315658,0.022135593170067316,0.04234598832092083,0.03817150979757271,0.2929231373914129
20,31,2,0.027692702904310522,0.015407818593208972,0.02,1874.0685508650085,37.48137101730017,-0.0013863608264118893,0.012022511709882389,0.009729387736847306,-0.06931804132059446
20,32,2,0.9723072970956895,0.015407818593208972,0.02,1874.0685508650085,37.48137101730017,0.001386360826411831,0.012022511709882389,0.009729387736847304,0.06931804132059155
21,33,2,0.9998191336830294,0.00012223119672259456,0.02,1807.0803889704978,36.14160777940996,-3.907753376623827e-05,0.00016013541173375706,0.00013111444130427434,-0.0019538766883119138
21,34,2,0.0001808663169705188,0.00012223119672259534,0.02,1807.0803889704978,36.14160777940996,3.9077533766294136e-05,0.00016013541173375557,0.00013111444130428046,0.0019538766883147067
22,35,2,0.044097157067939936,0.02081468514978585,0.02081468514978585,960.7638940894751,19.997997958754624,-0.0028787531870374922,0.012797393295673731,0.01047057031925357,-0.13830395061570797
22,36,2,0.9559028429320601,0.02081468514978585,0.02081468514978585,960.7638940894751,19.997997958754624,0.0028787531870374857,0.012797393295673734,0.010470570319253568,0.13830395061570766
23,37,2,0.9994949551243176,0.00031170676511717093,0.02,924.7727477553618,18.49545495510724,-0.00022316587029650025,0.00034324249364823937,0.00032596608638689467,-0.011158293514825012
23,38,2,0.0005050448756824789,0.0003117067651171707,0.02,924.7727477553618,18.49545495510724,0.0002231658702963961,0.00034324249364824024,0.000325966086386849,0.011158293514819805
24,39,9,0.15297061975109505,0.046184253582349705,0.046184253582349705,8097.5508203376985,373.97934048244014,0.009278129264298909,0.031218400154828314,0.026072359006018914,0.2008937796895508
24,40,9,0.015822787998753425,0.00353158513861497,0.02,8097.5508203376985,161.95101640675398,0.002164651285302118,0.004423795433149884,0.003950596434721291,0.1082325642651059
