flow_idx,from_node,to_node,from_node_name,to_node_name,value_1,value_2,value_3,value_4,year,map_estimate,posterior_mean,lower_bound,upper_bound
0,1,3,bauxite_mining,bauxite,164.00915,,,,2022,199.5109347766015,198.7760418251622,32.80183,295.21647
1,2,3,import_of_bauxite,bauxite,3280.183,,,,2022,3720.607487641733,3720.4938413752616,656.0366,5904.3294000000005
2,3,85,bauxite,export_bauxite,6.0,,,,2022,7.086568330816455,7.090003523814095,1.2000000000000002,10.8
3,3,86,bauxite,bauxite_non_aluminum_use,164.00915,,,,2022,199.1247639066987,199.06490034324455,32.80183,295.21647
4,3,5,bauxite,bauxite_refining_to_alumina,3280.183,,,,2022,3695.385820697533,3694.589876380737,656.0366,5904.3294000000005
5,4,6,import_alumina,primary_smelting_hall_hauroult_to_aluminum,,,,,2022,1298.3708782189876,1298.8178325915553,0.0,14410.098
6,5,87,bauxite_refining_to_alumina,waste_bauxite,1804.10065,,,,2022,2070.761279898854,2070.129471796033,360.82013000000006,3247.38117
7,5,88,bauxite_refining_to_alumina,export_alumina,174.0,,,,2022,226.004979557502,226.26784021317908,34.800000000000004,313.2
8,5,89,bauxite_refining_to_alumina,alumina_non_aluminum_use,744.628,,,,2022,735.4684097119333,735.7969567828279,148.9256,1340.3304
9,5,6,bauxite_refining_to_alumina,primary_smelting_hall_hauroult_to_aluminum,557.45435,,,,2022,650.7111305861083,650.3138267291671,111.49087,1003.41783
10,6,90,primary_smelting_hall_hauroult_to_aluminum,waste_alumina,1352.934,,,,2022,978.8477065014874,978.5305285196417,270.5868,2435.2812
11,6,8,primary_smelting_hall_hauroult_to_aluminum,remelting,528.7105257,,,,2022,683.4185447892602,687.7582070827536,105.74210513999999,951.67894626
12,6,9,primary_smelting_hall_hauroult_to_aluminum,refining,332.2894743,,,,2022,283.38449693463093,279.4942639478557,66.45789486,598.12105374
13,7,8,import_unwrought_aluminum_ingot,remelting,2829.794168,,,,2022,2992.875992480512,2995.0883155576253,565.9588335999999,5093.629502399999
14,7,9,import_unwrought_aluminum_ingot,refining,1320.205832,,,,2022,1383.7283021208095,1382.6496480824026,264.0411664,2376.3704976000004
15,8,91,remelting,loss_remelting,,,,,2022,77.40038689868477,96.21554430151151,0.0,14410.098
16,8,24,remelting,wrought_aluminum_ingot,8005.61,,,,2022,8672.157739510563,8676.879159961682,1601.122,14410.098
17,9,92,refining,loss_refining,,,,,2022,87.0932539533584,87.65121117010176,0.0,14410.098
18,9,25,refining,cast_aluminum_ingot,2490.138,,,,2022,2461.722072864653,2449.1375867229935,498.0276,4482.2484
19,10,8,alloying_element_si,remelting,,,,,2022,388.3786812960134,390.171697454622,0.0,14410.098
20,10,9,alloying_element_si,refining,,,,,2022,178.28844879359326,177.3321894244459,0.0,14410.098
21,12,8,alloying_element_mg,remelting,,,,,2022,109.2965326110889,110.86985986677927,0.0,14410.098
22,12,9,alloying_element_mg,refining,,,,,2022,0.39610046163984397,0.4688283784894654,0.0,14410.098
23,16,8,alloying_element_other,remelting,,,,,2022,22.73236294856044,22.655548329444024,0.0,14410.098
24,16,9,alloying_element_other,refining,,,,,2022,26.265579435201158,26.399484443916933,0.0,14410.098
25,17,18,import_scrap,eol_scrap_generated,685.0,,,,2022,711.0642138011884,710.3441391523647,137.0,1233.0
26,18,93,eol_scrap_generated,export_eol_scrap,2000.0,,,,2022,1733.5456770800208,1736.424378136807,400.0,3600.0
27,18,94,eol_scrap_generated,loss_eol_scrap,,,,,2022,1735.996633481565,1766.0172264807081,0.0,14410.098
28,18,19,eol_scrap_generated,eol_scrap_recycled,1590.0,,,,2022,1926.0508425027883,1933.5827678932528,318.0,2862.0
29,19,8,eol_scrap_recycled,remelting,,,,,2022,1281.2832851014186,1294.8073247586037,0.0,14410.098
30,19,9,eol_scrap_recycled,refining,,,,,2022,648.055735232133,641.8497101665259,0.0,14410.098
31,20,95,forming_scrap_generated,loss_forming_scrap,,,,,2022,62.165574505387006,62.73909317903117,0.0,14410.098
32,20,21,forming_scrap_generated,forming_scrap_recycled,2083.0,,,,2022,2298.450921845282,2296.627149608012,416.6,3749.4
