flow_index,from_node,to_node,published_2017_mean_kt,published_2017_std_kt,published_2017_ci_lo,published_2017_ci_hi,published_2022_mean_kt,published_2022_std_kt_FLAGGED,published_2022_ci_lo_FLAGGED,published_2022_ci_hi_FLAGGED,published_2022_ci_width_pct
1,Bauxite mining,Bauxite,229.0,,,,211.46,2.6362,206.3,216.63,4.887
2,Import of bauxite,Bauxite,4360.0,,,,3604.28,5.8719,3592.77,3615.79,0.639
3,Bauxite,Export bauxite,29.0,,,,5.42,0.0514,5.32,5.52,3.721
4,Bauxite,Bauxite non-aluminum use,229.0,,,,149.46,2.8144,143.95,154.98,7.381
5,Bauxite,Bauxite refining (to alumina),4331.0,,,,3669.18,8.872,3651.79,3686.57,0.948
6,Import alumina,Primary smelting (Hall-Hauroult to aluminum),1330.0,,,,1350.35,11.7103,1327.4,1373.31,3.399
7,Bauxite refining (to alumina),Waste bauxite,2361.0,,,,2240.21,7.6118,2225.29,2255.13,1.332
8,Bauxite refining (to alumina),Export alumina,450.0,,,,144.07,4.4771,135.3,152.85,12.181
9,Bauxite refining (to alumina),Alumina non-aluminum use,781.0,,,,667.49,8.5594,650.72,684.27,5.027
10,Bauxite refining (to alumina),Primary smelting (Hall-Hauroult to aluminum),739.0,,,,617.4,6.1903,605.27,629.53,3.93
11,Primary smelting (Hall-Hauroult to aluminum),Waste Alumina,1179.8,,,,1269.86,9.9897,1250.29,1289.44,3.084
12,Primary smelting (Hall-Hauroult to aluminum),Remelting,607.2,,,,465.3,8.9837,447.7,482.91,7.568
13,Primary smelting (Hall-Hauroult to aluminum),Refining,282.0,,,,235.37,4.0584,227.42,243.33,6.759
14,Import unwrought aluminum ingot,Remelting,3958.8,,,,3616.36,11.7718,3593.29,3639.44,1.276
15,Import unwrought aluminum ingot,Refining,1837.2,,,,1583.9,10.2621,1563.79,1604.01,2.54
16,Remelting,Loss remelting,355.37,,,,226.86,11.0091,205.28,248.44,19.023
17,Remelting,Wrought aluminum ingot,9331.71,,,,8088.6,5.3885,8078.04,8099.16,0.261
18,Refining,Loss refining,633.6,,,,186.45,6.2604,174.18,198.72,13.162
19,Refining,Cast aluminum ingot,2184.05,,,,2738.27,8.3589,2721.88,2754.65,1.197
20,Alloying element - Si,Remelting,19.47,,,,112.36,8.765,95.18,129.54,30.579
21,Alloying element - Si,Refining,5.43,,,,44.33,7.0281,30.55,58.1,62.152
22,Alloying element - Mg,Remelting,70.53,,,,41.27,8.2937,25.01,57.52,78.781
23,Alloying element - Mg,Refining,19.36,,,,11.1,3.2804,4.67,17.53,115.827
24,Alloying element - Other,Remelting,0.0,,,,0.49,0.4007,-0.3,1.28,320.55
25,Alloying element - Other,Refining,0.0,,,,0.25,0.3604,-0.46,0.95,572.008
26,Import scrap,EOL scrap (generated),720.0,,,,622.38,12.292,598.28,646.47,7.742
27,EOL scrap (generated),Export EOL scrap,1570.0,,,,1738.3,13.6072,1711.63,1764.97,3.069
28,EOL scrap (generated),Loss EOL scrap,2177.0,,,,2217.06,18.4326,2180.93,2253.19,3.259
29,EOL scrap (generated),EOL scrap (recycled),2072.4,,,,1913.27,14.3593,1885.13,1941.42,2.942
30,EOL scrap (recycled),Remelting,1418.05,,,,1205.69,12.0852,1182.0,1229.37,3.929
31,EOL scrap (recycled),Refining,654.35,,,,707.58,8.3143,691.29,723.88,4.606
32,Forming scrap (generated),Loss forming scrap,71.91,,,,12.54,6.6474,-0.48,25.57,207.715
33,Forming scrap (generated),Forming scrap (recycled),2629.93,,,,2257.5,16.1177,2225.91,2289.09,2.799
34,Forming scrap (recycled),Remelting,2628.93,,,,2257.53,16.0689,2226.03,2289.02,2.79
35,Forming scrap (recycled),Refining,1.0,,,,0.44,0.6516,-0.83,1.72,574.033
36,Fabrication scrap (generated),Loss fabrication scrap,49.0,,,,42.49,8.873,25.1,59.88,81.86
37,Fabrication scrap (generated),Fabrication scrap (recycled),923.0,,,,922.63,9.7071,903.6,941.65,4.124
38,Fabrication scrap (recycled),Remelting,922.0,,,,594.04,8.2273,577.92,610.17,5.429
39,Fabrication scrap (recycled),Refining,1.0,,,,328.58,8.7515,311.43,345.73,10.441
40,Wrought aluminum ingot,1xxx,1168.0,,,,1047.79,4.0044,1039.94,1055.63,1.498
41,Wrought aluminum ingot,2xxx,238.0,,,,131.14,3.8943,123.5,138.77,11.641
42,Wrought aluminum ingot,3xxx,1882.2,,,,1675.05,5.6498,1663.97,1686.12,1.322
43,Wrought aluminum ingot,4xxx,117.0,,,,1.09,1.6116,-2.07,4.25,578.519
44,Wrought aluminum ingot,5xxx,2266.6,,,,1909.83,12.8608,1884.63,1935.04,2.64
45,Wrought aluminum ingot,6xxx,2771.3,,,,2694.72,15.0658,2665.19,2724.25,2.192
46,Wrought aluminum ingot,7xxx,794.6,,,,634.19,5.4078,623.59,644.79,3.343
47,Wrought aluminum ingot,8xxx,94.0,,,,0.84,1.2738,-1.66,3.34,593.717
48,Cast aluminum ingot,36x,139.99,,,,139.77,5.9891,128.03,151.51,16.797
49,Cast aluminum ingot,38x,903.61,,,,1364.78,3.6942,1357.54,1372.02,1.061
50,Cast aluminum ingot,2xx,5.77,,,,5.61,0.7816,4.08,7.14,54.635
51,Cast aluminum ingot,3xx,564.44,,,,592.98,4.0559,585.03,600.93,2.681
52,Cast aluminum ingot,4xx,7.84,,,,6.64,1.2461,4.19,9.08,73.601
53,Cast aluminum ingot,5xx,44.64,,,,37.58,4.0419,29.66,45.51,42.156
54,Cast aluminum ingot,7xx,7.99,,,,4.05,1.5618,0.99,7.11,151.167
55,Cast aluminum ingot,Other,289.77,,,,301.95,2.7945,296.47,307.42,3.628
56,36x,die cast,139.99,,,,139.77,5.9891,128.03,151.51,16.797
57,38x,die cast,903.61,,,,1364.78,3.6942,1357.54,1372.02,1.061
58,2xx,sand cast,1.92,,,,3.96,0.4946,2.99,4.92,49.02
59,3xx,sand cast,188.15,,,,198.18,2.9321,192.43,203.92,5.8
60,4xx,sand cast,2.61,,,,4.74,0.7204,3.33,6.15,59.602
61,5xx,sand cast,14.88,,,,12.36,2.2142,8.02,16.7,70.241
62,7xx,sand cast,2.66,,,,0.28,0.4097,-0.53,1.08,581.86
63,Other,sand cast,84.77,,,,85.88,3.1014,79.8,91.96,14.156
64,2xx,permanent- & semi-permanent mold cast,3.85,,,,1.66,0.6501,0.38,2.93,153.987
65,3xx,permanent- & semi-permanent mold cast,376.29,,,,394.81,3.6552,387.64,401.97,3.629
66,4xx,permanent- & semi-permanent mold cast,5.23,,,,1.91,0.9135,0.12,3.7,187.883
67,5xx,permanent- & semi-permanent mold cast,29.76,,,,25.23,3.1514,19.05,31.4,48.969
68,7xx,permanent- & semi-permanent mold cast,5.32,,,,4.07,1.105,1.9,6.23,106.563
