flow_idx,flow_label,total_precision,share_observations,share_mass_balance,n_observations,sources,obs_min,obs_max,obs_spread_pct,determined_by,posterior_mean,posterior_sd,prior_mean,prior_sd,contraction,shift_in_prior_sd
0,bauxite_mining -> bauxite,0.0005898653610422334,0.19367986288066485,0.8063201371193351,2,USGS value 1; USGS value 2,229.0,229.0,0.0,structure-determined,228.97222524924055,81.09231202231275,,,,
1,import_of_bauxite -> bauxite,0.0005178011744886103,0.08146149095306547,0.9185385090469346,2,USGS value 1; USGS value 2,4350.0,4360.0,0.2296211251435132,structure-determined,4354.350412639684,149.80799428205825,,,,
2,bauxite -> export_bauxite,0.07544445297671207,0.993695754955711,0.006304245044288843,2,USGS value 1; USGS value 2,29.0,40.0,31.884057971014492,multi-source,32.68665607438414,3.7025251150827425,,,,
3,bauxite -> bauxite_non_aluminum_use,0.0005898653610422334,0.19367986288066485,0.8063201371193351,2,USGS value 1; USGS value 2,229.0,229.0,0.0,structure-determined,230.96181201333187,80.7071636753781,,,,
4,bauxite -> bauxite_refining_to_alumina,0.0010107223717704325,0.0002270204095558174,0.9997729795904442,2,USGS value 1; USGS value 2,4320.0,4321.0,0.023145469274389537,structure-determined,4319.539889531901,188.61943474394562,,,,
5,import_alumina -> primary_smelting_hall_hauroult_to_aluminum,0.002787973687817024,0.16600430104901934,0.8339956989509806,2,USGS value 1; USGS value 2,1300.0,1330.0,2.2813688212927756,structure-determined,1315.7095860199886,45.735381226730134,,,,
6,bauxite_refining_to_alumina -> waste_bauxite,0.0005356309824385961,0.0014158704356813786,0.9985841295643186,2,USGS value 1; USGS value 2,2376.0,2377.0,0.042078687144961074,structure-determined,2318.6759367990885,243.1174619553632,,,,
7,bauxite_refining_to_alumina -> export_alumina,0.0009175778132661734,0.417082027667806,0.582917972332194,2,USGS value 1; USGS value 2,450.0,481.0,6.659505907626208,structure-determined,465.0373258775573,50.00937058301343,,,,
8,bauxite_refining_to_alumina -> alumina_non_aluminum_use,0.0006026253409385938,0.11242929556686436,0.8875707044331357,1,USGS value 1,781.0,781.0,0.0,structure-determined,780.8180168583078,119.36435536771177,,,,
9,bauxite_refining_to_alumina -> primary_smelting_hall_hauroult_to_aluminum,0.0030054058716178916,0.04837124003674221,0.9516287599632577,2,USGS value 1; USGS value 2,739.0,770.0,4.108681245858184,structure-determined,755.4526514023653,84.13629357024372,,,,
10,primary_smelting_hall_hauroult_to_aluminum -> waste_alumina,0.0023263723997765063,0.0005219866555850476,0.999478013344415,1,USGS value 1,1328.0,1328.0,0.0,structure-determined,1021.7034606380854,187.4909898015486,,,,
11,primary_smelting_hall_hauroult_to_aluminum -> remelting,0.002436767488494724,0.0025754504343586163,0.9974245495656413,1,USGS value 1,506.0,506.0,0.0,structure-determined,750.5266219279728,136.0573936716417,,,,
12,primary_smelting_hall_hauroult_to_aluminum -> refining,0.0036561436571732504,0.007958099140519247,0.9920419008594807,1,USGS value 1,235.0,235.0,0.0,structure-determined,298.3265243761044,88.44179993882643,,,,
13,import_unwrought_aluminum_ingot -> remelting,0.0001420868673040963,0.2586672352011879,0.7413327647988122,1,USGS value 1,3299.0,3299.0,0.0,structure-determined,3504.2498301100964,158.14436442273018,,,,
14,import_unwrought_aluminum_ingot -> refining,0.0014725409425482335,0.11588900421562347,0.8841109957843765,1,USGS value 1,1531.0,1531.0,0.0,structure-determined,1570.7450728133563,74.31494286914271,,,,
15,remelting -> loss_remelting,0.00014922845828919614,0.29414502174902113,0.705854978250979,2,USGS value 1; USGS value 2,212.0,444.2105263157895,70.77317933910811,structure-determined,179.73318345008227,90.84822321830481,,,,
16,remelting -> wrought_aluminum_ingot,0.0002143689183305946,0.00014024522304950936,0.9998597547769504,1,USGS value 1,8440.0,8440.0,0.0,structure-determined,9721.03910553012,681.9100133983599,,,,
