flow_idx,from_node,to_node,from_node_name,to_node_name,value_1,value_2,value_3,value_4,year,map_estimate,posterior_mean,lower_bound,upper_bound
0,1,3,bauxite_mining,bauxite,229.0,229.0,,,2017,229.35790675873716,228.97222524924055,45.800000000000004,412.2
1,2,3,import_of_bauxite,bauxite,4350.0,4360.0,,,2017,4355.9578930508305,4354.350412639684,870.9977037917754,7838.979334125978
2,3,85,bauxite,export_bauxite,29.0,40.0,,,2017,32.78925113521709,32.68665607438414,6.557968045882835,59.02171241294552
3,3,86,bauxite,bauxite_non_aluminum_use,229.0,229.0,,,2017,228.64209324126054,230.96181201333187,45.800000000000004,412.2
4,3,5,bauxite,bauxite_refining_to_alumina,4321.0,4320.0,,,2017,4323.970385009671,4319.539889531901,864.0999768545312,7776.89979169078
5,4,6,import_alumina,primary_smelting_hall_hauroult_to_aluminum,1330.0,1300.0,,,2017,1315.9749364284964,1315.7095860199886,262.9315678394866,2366.3841105553793
6,5,87,bauxite_refining_to_alumina,waste_bauxite,2377.0,2376.0,,,2017,2321.533760700225,2318.6759367990885,475.2999579213148,4277.699621291833
7,5,88,bauxite_refining_to_alumina,export_alumina,481.0,450.0,,,2017,464.3599821634711,465.0373258775573,92.89378395384699,836.0440555846228
8,5,89,bauxite_refining_to_alumina,alumina_non_aluminum_use,781.0,,,,2017,780.3847376819592,780.8180168583078,156.20000000000002,1405.8
9,5,6,bauxite_refining_to_alumina,primary_smelting_hall_hauroult_to_aluminum,739.0,770.0,,,2017,757.7698209930253,755.4526514023653,150.77268461248738,1356.9541615123865
10,6,90,primary_smelting_hall_hauroult_to_aluminum,waste_alumina,1328.0,,,,2017,826.0157804599975,1021.7034606380854,265.6,2390.4
11,6,8,primary_smelting_hall_hauroult_to_aluminum,remelting,506.0,,,,2017,910.7994389677009,750.5266219279728,101.2,910.8000000000001
12,6,9,primary_smelting_hall_hauroult_to_aluminum,refining,235.0,,,,2017,337.1917427246322,298.3265243761044,47.0,423.0
13,7,8,import_unwrought_aluminum_ingot,remelting,3299.0,,,,2017,3397.3574643608517,3504.2498301100964,659.8000000000001,5938.2
14,7,9,import_unwrought_aluminum_ingot,refining,1531.0,,,,2017,1551.9958402190587,1570.7450728133563,306.2,2755.8
15,8,91,remelting,loss_remelting,444.2105263157895,212.0,,,2017,172.7234785515368,179.73318345008227,51.015676301542456,459.1410867138821
16,8,24,remelting,wrought_aluminum_ingot,8440.0,,,,2017,9559.24275646676,9721.03910553012,1688.0,15192.0
17,9,92,refining,loss_refining,792.0,98.0,,,2017,87.37309043387378,94.81539647343492,21.69311066029381,195.23799594264432
18,9,25,refining,cast_aluminum_ingot,2350.0,,,,2017,2685.6519890933555,2643.864104648327,503.65815146788213,4532.923363210939
19,10,8,alloying_element_si,remelting,231.0,,,,2017,351.04895157963176,299.08354749219257,46.2,415.8
20,10,9,alloying_element_si,refining,110.0,,,,2017,136.98101207075158,123.61447116973424,22.0,198.0
21,12,8,alloying_element_mg,remelting,70.53,,,,2017,81.72112403343695,77.08902277000313,14.106000000000002,126.95400000000001
22,12,9,alloying_element_mg,refining,0.0,,,,2017,0.0022308526900368707,0.43627670365205345,0.0,1.0
23,16,8,alloying_element_other,remelting,20.0,,,,2017,20.89989648761497,20.40495867553578,4.0,36.0
24,16,9,alloying_element_other,refining,20.0,,,,2017,20.89196708978178,20.76342211654803,4.0,36.0
25,17,18,import_scrap,eol_scrap_generated,720.0,,,,2017,719.6589188682505,719.933442470433,144.00000000000003,1296.0000000000002
26,18,93,eol_scrap_generated,export_eol_scrap,1570.0,,,,2017,1571.6217752596012,1575.0725097076522,314.00000000000006,2826.0000000000005
27,18,94,eol_scrap_generated,loss_eol_scrap,1555.0,,,,2017,1852.1487081636972,1827.0094106194113,311.0,2799.0
28,18,19,eol_scrap_generated,eol_scrap_recycled,1727.0,,,,2017,1987.1082617175286,2210.228866232074,345.40000000000003,3108.6
29,19,8,eol_scrap_recycled,remelting,1070.0,,,,2017,1265.2440770216315,1494.9502605209518,214.0,1926.0
30,19,9,eol_scrap_recycled,refining,658.0,,,,2017,723.2094461017779,718.5179251648375,131.6,1184.4
31,20,95,forming_scrap_generated,loss_forming_scrap,87.0,,,,2017,70.1123357083542,77.60913402450112,17.400000000000002,156.6
32,20,21,forming_scrap_generated,forming_scrap_recycled,2665.0,,,,2017,2748.768236746769,2761.839451557715,533.0,4797.0
33,21,8,forming_scrap_recycled,remelting,2677.0,,,,2017,2751.4922033928524,2766.5420875992804,535.4,4818.6
34,21,9,forming_scrap_recycled,refining,0.0,,,,2017,0.0004233973550698858,0.46111080292013157,0.0,1.0
35,22,96,fabrication_scrap_generated,loss_fabrication_scrap,49.0,,,,2017,40.173179434395614,44.28784908659341,9.799999999999999,88.19999999999999
36,22,23,fabrication_scrap_generated,fabrication_scrap_recycled,971.0,,,,2017,918.7789920398312,916.7066360402183,194.20000000000002,1747.8
