flow_idx,flow_label,rhat,ess,mean,sd,q2.5,q97.5,converged
0,bauxite_mining -> bauxite,0.9995072218157133,3200.0,228.97222524924055,81.09231202231275,70.139700937477,380.96362996133035,True
1,import_of_bauxite -> bauxite,1.0005176531870823,3107.5340716293017,4354.350412639684,149.80799428205825,4063.9835416255232,4647.927228483622,True
2,bauxite -> export_bauxite,1.0003678808565752,3200.0,32.68665607438414,3.7025251150827425,25.41021073314184,40.00855015615185,True
3,bauxite -> bauxite_non_aluminum_use,0.9994129304204188,3103.099742754576,230.96181201333187,80.7071636753781,76.42585789650968,380.6978766522468,True
4,bauxite -> bauxite_refining_to_alumina,1.0000191003831385,3190.7583670635922,4319.539889531901,188.61943474394562,3950.1363236679613,4682.867888110044,True
5,import_alumina -> primary_smelting_hall_hauroult_to_aluminum,0.9991654883000881,2918.477702578836,1315.7095860199886,45.735381226730134,1225.7127021212991,1403.0195101655484,True
6,bauxite_refining_to_alumina -> waste_bauxite,1.0004247029666105,2939.031106687262,2318.6759367990885,243.1174619553632,1841.0741322951353,2789.4791276223705,True
7,bauxite_refining_to_alumina -> export_alumina,0.9998558238878245,3037.034637871313,465.0373258775573,50.00937058301343,367.955797023899,562.0616951540995,True
8,bauxite_refining_to_alumina -> alumina_non_aluminum_use,0.9995225932221693,2661.073946582385,780.8180168583078,119.36435536771177,551.1258131311035,1015.6958574993367,True
9,bauxite_refining_to_alumina -> primary_smelting_hall_hauroult_to_aluminum,1.000495320977148,1963.3139224736594,755.4526514023653,84.13629357024372,592.9372433958887,918.8244639151835,True
10,primary_smelting_hall_hauroult_to_aluminum -> waste_alumina,0.9991971710673602,2556.4877325307616,1021.7034606380854,187.4909898015486,700.1766140497851,1438.651414310873,True
11,primary_smelting_hall_hauroult_to_aluminum -> remelting,0.9989622966559669,3200.0,750.5266219279728,136.0573936716417,406.2415016445509,906.0522888418775,True
12,primary_smelting_hall_hauroult_to_aluminum -> refining,1.0009502426250032,2410.048112286584,298.3265243761044,88.44179993882643,97.28084945870744,417.9984202838422,True
13,import_unwrought_aluminum_ingot -> remelting,1.0029523093462658,1565.2426095174578,3504.2498301100964,158.14436442273018,3194.843360565829,3816.4904727193975,True
14,import_unwrought_aluminum_ingot -> refining,1.0011137638412393,2244.730190470382,1570.7450728133563,74.31494286914271,1424.286558381772,1715.279912159647,True
15,remelting -> loss_remelting,0.9992464438949039,3139.7577540030225,179.73318345008227,90.84822321830481,55.63259169438489,390.1310727364366,True
16,remelting -> wrought_aluminum_ingot,1.0023099802298114,2101.562805820542,9721.03910553012,681.9100133983599,8363.352406014224,11000.087602599873,True
