flow_idx,flow_label,total_precision,share_observations,share_mass_balance,n_observations,sources,obs_min,obs_max,obs_spread_pct,determined_by,posterior_mean,posterior_sd,prior_mean,prior_sd,contraction,shift_in_prior_sd
0,bauxite_mining -> bauxite,0.0005138286963033623,0.07422337118854397,0.9257766288114561,2,USGS value 1; USGS value 2,229.0,229.0,0.0,structure-determined,230.25574947385033,95.97787983837127,,,,
1,import_of_bauxite -> bauxite,0.0005178714539414028,0.08145043595290227,0.9185495640470978,2,USGS value 1; USGS value 2,4350.0,4360.0,0.2296211251435132,structure-determined,4351.491377713437,154.3480213413715,,,,
2,bauxite -> export_bauxite,0.013968703638609583,0.9659459739030112,0.03405402609698874,2,USGS value 1; USGS value 2,29.0,40.0,31.884057971014492,multi-source,32.79957146597924,8.529651941773023,,,,
3,bauxite -> bauxite_non_aluminum_use,0.0005138286963033623,0.07422337118854397,0.9257766288114561,2,USGS value 1; USGS value 2,229.0,229.0,0.0,structure-determined,229.52631036146752,97.78560825594923,,,,
4,bauxite -> bauxite_refining_to_alumina,0.0010107136853750086,0.00010600683006623274,0.9998939931699339,2,USGS value 1; USGS value 2,4320.0,4321.0,0.023145469274389537,structure-determined,4319.816898527813,208.50514030317572,,,,
5,import_alumina -> primary_smelting_hall_hauroult_to_aluminum,0.0027830649322030127,0.16629709858144318,0.8337029014185567,2,USGS value 1; USGS value 2,1300.0,1330.0,2.2813688212927756,structure-determined,1314.7425060011517,46.19209657410337,,,,
6,bauxite_refining_to_alumina -> waste_bauxite,0.0005352700678002003,0.0006615786136711457,0.9993384213863288,2,USGS value 1; USGS value 2,2376.0,2377.0,0.042078687144961074,structure-determined,2319.780140868236,396.5428416293179,,,,
7,bauxite_refining_to_alumina -> export_alumina,0.0006037958546905567,0.11407814343980895,0.8859218565601911,2,USGS value 1; USGS value 2,450.0,481.0,6.659505907626208,structure-determined,462.3120854505058,118.25787109317241,,,,
8,bauxite_refining_to_alumina -> alumina_non_aluminum_use,0.0005471101939226911,0.022288470380080153,0.9777115296199198,1,USGS value 1,781.0,781.0,0.0,structure-determined,779.3295881003152,260.6580904826556,,,,
9,bauxite_refining_to_alumina -> primary_smelting_hall_hauroult_to_aluminum,0.0028813301210885317,0.009080829548941469,0.9909191704510585,2,USGS value 1; USGS value 2,739.0,770.0,4.108681245858184,structure-determined,756.8377453336511,189.03834339780943,,,,
10,primary_smelting_hall_hauroult_to_aluminum -> waste_alumina,0.002320816335958614,0.00024432228261150245,0.9997556777173885,1,USGS value 1,1328.0,1328.0,0.0,structure-determined,1141.3456112726637,287.1386374979005,,,,
11,primary_smelting_hall_hauroult_to_aluminum -> remelting,0.0024323400735804276,0.0016057379489214597,0.9983942620510785,1,USGS value 1,506.0,506.0,0.0,structure-determined,669.7411631473511,183.84086907133195,,,,
12,primary_smelting_hall_hauroult_to_aluminum -> refining,0.003613655470906143,0.0050109207159038435,0.9949890792840962,1,USGS value 1,235.0,235.0,0.0,structure-determined,260.2420504876065,100.9175919459812,,,,
13,import_unwrought_aluminum_ingot -> remelting,0.00014493828112965517,0.2535783979049048,0.7464216020950952,1,USGS value 1,3299.0,3299.0,0.0,structure-determined,3386.773617133277,159.74234313584128,,,,
14,import_unwrought_aluminum_ingot -> refining,0.0014459497245316003,0.11802021923959426,0.8819797807604057,1,USGS value 1,1531.0,1531.0,0.0,structure-determined,1548.5812940676485,74.66549453597347,,,,
15,remelting -> loss_remelting,0.00013550280816344891,0.20160278984617533,0.7983972101538247,2,USGS value 1; USGS value 2,212.0,444.2105263157895,70.77317933910811,structure-determined,214.74222572322302,103.44402589477218,,,,
16,remelting -> wrought_aluminum_ingot,0.00022114080832388874,6.348135878643123e-05,0.9999365186412136,1,USGS value 1,8440.0,8440.0,0.0,structure-determined,9492.415448876978,760.6863339531001,,,,
17,refining -> loss_refining,0.001381015928077871,0.0765505342085816,0.9234494657914184,2,USGS value 1; USGS value 2,98.0,792.0,155.95505617977528,structure-determined,104.60377236135702,47.96008363943942,,,,
18,refining -> cast_aluminum_ingot,0.0026418430313758985,0.00010604443452064663,0.9998939555654793,2,Other literature; USGS value 1,2350.0,3177.0,29.92581870815994,structure-determined,2686.5711146967947,132.09711791017392,,,,
19,alloying_element_si -> remelting,0.00012692534248624475,0.14764804343599983,0.8523519565640001,1,USGS value 1,231.0,231.0,0.0,structure-determined,267.96279615606284,97.8457269931405,,,,
20,alloying_element_si -> refining,0.0013579430491321234,0.06086015768628343,0.9391398423137166,1,USGS value 1,110.0,110.0,0.0,structure-determined,114.5206624984597,48.861900163152015,,,,
21,alloying_element_mg -> remelting,0.00030921106452769064,0.6501255083774071,0.3498744916225929,1,USGS value 1,70.53,70.53,0.0,observation-driven,73.39546477984554,30.777544487288896,,,,
22,alloying_element_mg -> refining,1.001275298421033,0.9987263258935439,0.001273674106456076,1,USGS value 1,0.0,0.0,0.0,observation-driven,0.46311627931330324,0.2863774105238273,,,,
23,alloying_element_other -> remelting,0.0026081850640057064,0.9585209402895846,0.04147905971041548,1,USGS value 1,20.0,20.0,0.0,observation-driven,20.473533401712302,8.89784371361914,,,,
24,alloying_element_other -> refining,0.0037752984210329497,0.662199307496328,0.337800692503672,1,USGS value 1,20.0,20.0,0.0,observation-driven,20.26386523622206,8.8467201425035,,,,
25,import_scrap -> eol_scrap_generated,0.0010923800503848567,0.7063520960491365,0.2936479039508634,1,USGS value 1,720.0,720.0,0.0,observation-driven,720.6372585155451,35.66417335838716,,,,
26,eol_scrap_generated -> export_eol_scrap,0.0004830535006888531,0.33594288902613506,0.664057110973865,1,USGS value 1,1570.0,1570.0,0.0,structure-determined,1567.9616006815338,79.30259510315108,,,,
27,eol_scrap_generated -> loss_eol_scrap,0.0003211886727670911,0.0012875941429581045,0.9987124058570419,1,USGS value 1,1555.0,1555.0,0.0,structure-determined,1691.4761947472061,613.5728179034613,,,,
28,eol_scrap_generated -> eol_scrap_recycled,0.0023770042391081567,0.0010491618923060373,0.998950838107694,1,USGS value 1,1727.0,1727.0,0.0,structure-determined,2404.66551056132,300.69763390658244,,,,
29,eol_scrap_recycled -> remelting,0.0021627937674633625,0.00040384744094099464,0.9995961525590591,1,USGS value 1,1070.0,1070.0,0.0,structure-determined,1560.606616106184,269.7828016018526,,,,
30,eol_scrap_recycled -> refining,0.0033313433466117337,0.0006933121594176116,0.9993066878405823,1,USGS value 1,658.0,658.0,0.0,structure-determined,844.6522341058844,173.84369347885985,,,,
