flow_idx,from_node,to_node,from_node_name,to_node_name,value_1,value_2,value_3,value_4,year,map_estimate,posterior_mean,lower_bound,upper_bound
0,1,3,bauxite_mining,bauxite,229.0,229.0,,,2017,229.52027030979124,230.25574947385033,45.8,412.19999999999993
1,2,3,import_of_bauxite,bauxite,4350.0,4360.0,,,2017,4355.458924147715,4351.491377713437,870.9977037917754,7838.979334125978
2,3,85,bauxite,export_bauxite,29.0,40.0,,,2017,32.7883886943232,32.79957146597924,6.557968045882835,59.02171241294552
3,3,86,bauxite,bauxite_non_aluminum_use,229.0,229.0,,,2017,228.47972969020697,229.52631036146752,45.8,412.19999999999993
4,3,5,bauxite,bauxite_refining_to_alumina,4321.0,4320.0,,,2017,4323.752825989572,4319.816898527813,864.0999768545312,7776.89979169078
5,4,6,import_alumina,primary_smelting_hall_hauroult_to_aluminum,1330.0,1300.0,,,2017,1315.0927404114213,1314.7425060011517,262.9315678394866,2366.3841105553793
6,5,87,bauxite_refining_to_alumina,waste_bauxite,2377.0,2376.0,,,2017,2319.4830710533506,2319.780140868236,475.2999579213147,4277.699621291832
7,5,88,bauxite_refining_to_alumina,export_alumina,481.0,450.0,,,2017,464.1757956201913,462.3120854505058,92.89378395384698,836.0440555846227
8,5,89,bauxite_refining_to_alumina,alumina_non_aluminum_use,781.0,,,,2017,779.3442347411744,779.3295881003152,156.2,1405.7999999999997
9,5,6,bauxite_refining_to_alumina,primary_smelting_hall_hauroult_to_aluminum,739.0,770.0,,,2017,760.7874737978605,756.8377453336511,150.7726846124874,1356.9541615123867
10,6,90,primary_smelting_hall_hauroult_to_aluminum,waste_alumina,1328.0,,,,2017,972.891602490465,1141.3456112726637,265.6,2390.4
11,6,8,primary_smelting_hall_hauroult_to_aluminum,remelting,506.0,,,,2017,800.7101110361248,669.7411631473511,101.2,910.8000000000001
12,6,9,primary_smelting_hall_hauroult_to_aluminum,refining,235.0,,,,2017,302.3653811271971,260.2420504876065,47.0,423.0
13,7,8,import_unwrought_aluminum_ingot,remelting,3299.0,,,,2017,3335.7969043967046,3386.773617133277,659.8000000000001,5938.2
14,7,9,import_unwrought_aluminum_ingot,refining,1531.0,,,,2017,1539.3281047721173,1548.5812940676485,306.2,2755.8
15,8,91,remelting,loss_remelting,444.2105263157895,212.0,,,2017,205.5718811601557,214.74222572322302,51.01567630154246,459.14108671388215
16,8,24,remelting,wrought_aluminum_ingot,8440.0,,,,2017,9406.499382202885,9492.415448876978,1688.0,15192.0
17,9,92,refining,loss_refining,792.0,98.0,,,2017,95.02229746598816,104.60377236135702,21.69311066029381,195.23799594264432
18,9,25,refining,cast_aluminum_ingot,2350.0,,,,2017,2704.5878183624263,2686.5711146967947,528.4933082963447,4756.439774667103
19,10,8,alloying_element_si,remelting,231.0,,,,2017,303.1658018393024,267.96279615606284,46.2,415.8
20,10,9,alloying_element_si,refining,110.0,,,,2017,127.19638464375345,114.5206624984597,22.000000000000004,198.00000000000003
21,12,8,alloying_element_mg,remelting,70.53,,,,2017,77.25664506807959,73.39546477984554,14.106000000000002,126.95400000000001
22,12,9,alloying_element_mg,refining,0.0,,,,2017,0.0014523280450590632,0.46311627931330324,0.0,1.0
23,16,8,alloying_element_other,remelting,20.0,,,,2017,20.541085657833072,20.473533401712302,4.0,36.0
24,16,9,alloying_element_other,refining,20.0,,,,2017,20.568484007702526,20.26386523622206,4.0,36.0
