flow_idx,flow_label,total_precision,share_observations,share_mass_balance,n_observations,sources,obs_min,obs_max,obs_spread_pct,determined_by,posterior_mean,posterior_sd,prior_mean,prior_sd,contraction,shift_in_prior_sd
0,bauxite_mining -> bauxite,0.000544079116310471,0.12573131196412457,0.8742686880358754,2,USGS value 1; USGS value 2,229.0,229.0,0.0,structure-determined,229.6148041800183,90.14178125086477,,,,
1,import_of_bauxite -> bauxite,0.0005178521908955645,0.08145346574307966,0.9185465342569203,2,USGS value 1; USGS value 2,4350.0,4360.0,0.2296211251435132,structure-determined,4351.02940649672,153.9843289069217,,,,
2,bauxite -> export_bauxite,0.1417087663078231,0.996643317505346,0.003356682494653927,2,USGS value 1; USGS value 2,29.0,40.0,31.884057971014492,multi-source,32.78168895882937,2.608511280106374,,,,
3,bauxite -> bauxite_non_aluminum_use,0.000544079116310471,0.12573131196412457,0.8742686880358754,2,USGS value 1; USGS value 2,229.0,229.0,0.0,structure-determined,230.12789659520504,89.51459583922019,,,,
4,bauxite -> bauxite_refining_to_alumina,0.0010107545595125274,0.00016156461397881712,0.9998384353860212,2,USGS value 1; USGS value 2,4320.0,4321.0,0.023145469274389537,structure-determined,4318.508294328854,204.92310851856865,,,,
5,import_alumina -> primary_smelting_hall_hauroult_to_aluminum,0.002793764052995593,0.16566023995221474,0.8343397600477852,2,USGS value 1; USGS value 2,1300.0,1330.0,2.2813688212927756,structure-determined,1315.549488240041,46.269961926791915,,,,
6,bauxite_refining_to_alumina -> waste_bauxite,0.0005354596618564514,0.00100799323848488,0.9989920067615151,2,USGS value 1; USGS value 2,2376.0,2377.0,0.042078687144961074,structure-determined,2320.3024291338706,235.20280311274533,,,,
7,bauxite_refining_to_alumina -> export_alumina,0.0012558947598964615,0.574072653840901,0.425927346159099,2,USGS value 1; USGS value 2,450.0,481.0,6.659505907626208,multi-source,464.2997521956697,36.26621483067807,,,,
8,bauxite_refining_to_alumina -> alumina_non_aluminum_use,0.0006625586913054815,0.1926452265174698,0.8073547734825302,1,USGS value 1,781.0,781.0,0.0,structure-determined,779.8186861877601,87.20145829716816,,,,
9,bauxite_refining_to_alumina -> primary_smelting_hall_hauroult_to_aluminum,0.0031397393718276927,0.08722731018402273,0.9127726898159773,2,USGS value 1; USGS value 2,739.0,770.0,4.108681245858184,structure-determined,754.3269324202108,61.8154503957055,,,,
10,primary_smelting_hall_hauroult_to_aluminum -> waste_alumina,0.00233181266851018,0.00037062964593170675,0.9996293703540683,1,USGS value 1,1328.0,1328.0,0.0,structure-determined,982.8691841280431,159.85487748784834,,,,
11,primary_smelting_hall_hauroult_to_aluminum -> remelting,0.0024404208063682317,0.002098331856715099,0.9979016681432848,1,USGS value 1,506.0,506.0,0.0,structure-determined,772.4010655588515,118.01222038329647,,,,
