flow_idx,from_node,to_node,from_node_name,to_node_name,value_1,value_2,value_3,value_4,year,map_estimate,posterior_mean,lower_bound,upper_bound
0,1,3,bauxite_mining,bauxite,229.0,229.0,,,2017,229.41348540819868,229.6148041800183,45.800000000000004,412.2
1,2,3,import_of_bauxite,bauxite,4350.0,4360.0,,,2017,4355.659085217315,4351.02940649672,870.9977037917754,7838.979334125978
2,3,85,bauxite,export_bauxite,29.0,40.0,,,2017,32.7896400915078,32.78168895882937,6.557968045882837,59.021712412945526
3,3,86,bauxite,bauxite_non_aluminum_use,229.0,229.0,,,2017,228.58651459180768,230.12789659520504,45.800000000000004,412.2
4,3,5,bauxite,bauxite_refining_to_alumina,4321.0,4320.0,,,2017,4323.75587731872,4318.508294328854,864.0999768545312,7776.89979169078
5,4,6,import_alumina,primary_smelting_hall_hauroult_to_aluminum,1330.0,1300.0,,,2017,1315.6861764831042,1315.549488240041,262.9315678394866,2366.3841105553793
6,5,87,bauxite_refining_to_alumina,waste_bauxite,2377.0,2376.0,,,2017,2323.110603645089,2320.3024291338706,475.2999579213147,4277.699621291832
7,5,88,bauxite_refining_to_alumina,export_alumina,481.0,450.0,,,2017,464.4289696237488,464.2997521956697,92.89378395384696,836.0440555846226
8,5,89,bauxite_refining_to_alumina,alumina_non_aluminum_use,781.0,,,,2017,780.773998144966,779.8186861877601,156.20000000000002,1405.8
9,5,6,bauxite_refining_to_alumina,primary_smelting_hall_hauroult_to_aluminum,739.0,770.0,,,2017,755.496156449165,754.3269324202108,150.77268461248738,1356.9541615123865
10,6,90,primary_smelting_hall_hauroult_to_aluminum,waste_alumina,1328.0,,,,2017,777.3497409501869,982.8691841280431,265.6,2390.4
11,6,8,primary_smelting_hall_hauroult_to_aluminum,remelting,506.0,,,,2017,910.799908865064,772.4010655588515,101.2,910.8000000000001
12,6,9,primary_smelting_hall_hauroult_to_aluminum,refining,235.0,,,,2017,383.2368534553211,315.38010373009865,47.0,423.0
13,7,8,import_unwrought_aluminum_ingot,remelting,3299.0,,,,2017,3413.146369254546,3558.4435564547503,659.8000000000001,5938.2
14,7,9,import_unwrought_aluminum_ingot,refining,1531.0,,,,2017,1554.4109568461615,1582.0052232029652,306.2,2755.8
15,8,91,remelting,loss_remelting,444.2105263157895,212.0,,,2017,137.94715987599483,161.30756090553928,51.015676301542456,459.1410867138821
16,8,24,remelting,wrought_aluminum_ingot,8440.0,,,,2017,9635.950489704244,9774.384750426994,1688.0,15192.0
17,9,92,refining,loss_refining,792.0,98.0,,,2017,79.64127521898213,90.15437325795075,21.693110660293815,195.23799594264435
18,9,25,refining,cast_aluminum_ingot,2350.0,,,,2017,2683.884271937493,2618.809776741021,513.69115115189,4623.2203603670105
19,10,8,alloying_element_si,remelting,231.0,,,,2017,401.74237316429486,316.6144312596881,46.2,415.8
20,10,9,alloying_element_si,refining,110.0,,,,2017,146.87125164532802,129.3847104252059,22.0,198.0
21,12,8,alloying_element_mg,remelting,70.53,,,,2017,86.44747033357667,79.29237467990926,14.106000000000002,126.95400000000001
22,12,9,alloying_element_mg,refining,0.0,,,,2017,0.00305992388639539,0.452818545205355,0.0,1.0
23,16,8,alloying_element_other,remelting,20.0,,,,2017,21.279913232789742,20.704113787280754,3.9999999999999996,35.99999999999999
