flow_idx,flow_label,rhat,ess,mean,sd,q2.5,q97.5,converged
0,bauxite_mining -> bauxite,0.9991741847055312,3200.0,229.6148041800183,90.14178125086477,69.33627292448531,389.47792843008676,True
1,import_of_bauxite -> bauxite,1.0001585028459348,3200.0,4351.02940649672,153.9843289069217,4050.6029244114,4651.191333080999,True
2,bauxite -> export_bauxite,0.9999984387654265,3200.0,32.78168895882937,2.608511280106374,27.651258469296693,38.04637323875691,True
3,bauxite -> bauxite_non_aluminum_use,0.9994947761359209,2711.7874364231034,230.12789659520504,89.51459583922019,67.97111366022702,394.5167378681093,True
4,bauxite -> bauxite_refining_to_alumina,0.9993559073826254,3200.0,4318.508294328854,204.92310851856865,3914.749886577227,4721.21586802046,True
5,import_alumina -> primary_smelting_hall_hauroult_to_aluminum,1.0007589465237337,2804.369866984981,1315.549488240041,46.269961926791915,1221.1220825164698,1404.5698574466808,True
6,bauxite_refining_to_alumina -> waste_bauxite,0.9993036009190135,3200.0,2320.3024291338706,235.20280311274533,1877.9725067113118,2782.561031306551,True
7,bauxite_refining_to_alumina -> export_alumina,1.0006144912895896,2762.63413579382,464.2997521956697,36.26621483067807,393.1163555615892,535.3299419012567,True
8,bauxite_refining_to_alumina -> alumina_non_aluminum_use,1.0013738348278902,2461.992937931191,779.8186861877601,87.20145829716816,607.7767036715065,947.250981625342,True
9,bauxite_refining_to_alumina -> primary_smelting_hall_hauroult_to_aluminum,0.9993869613179654,2394.6449831866867,754.3269324202108,61.8154503957055,633.5468470409442,875.8550250188412,True
10,primary_smelting_hall_hauroult_to_aluminum -> waste_alumina,1.0001772072743758,2168.5457100506155,982.8691841280431,159.85487748784834,718.5715297450877,1334.2123807499227,True
11,primary_smelting_hall_hauroult_to_aluminum -> remelting,0.9992024232323947,2941.2016874354213,772.4010655588515,118.01222038329647,465.0533882980897,906.0864541399012,True
12,primary_smelting_hall_hauroult_to_aluminum -> refining,1.0000496191444428,2236.00405766325,315.38010373009865,83.41142689237499,111.4879177673715,419.35171433027114,True
13,import_unwrought_aluminum_ingot -> remelting,1.000629695960681,1299.2645902902605,3558.4435564547503,157.91446886995558,3251.2763805273926,3864.388924533004,True
14,import_unwrought_aluminum_ingot -> refining,0.9995359235603067,1824.3820683211197,1582.0052232029652,75.59723799755521,1433.5159496636795,1730.0830025347623,True
15,remelting -> loss_remelting,0.9995622866360965,2366.633275709693,161.30756090553928,84.962177747091,54.771907007341014,368.21665583721784,True
16,remelting -> wrought_aluminum_ingot,1.001380601900433,1734.6261156310438,9774.384750426994,705.8304369227064,8399.989955082305,11097.1251304156,True
17,refining -> loss_refining,1.0001841407039687,3200.0,90.15437325795075,44.84038539189145,24.767157333124093,182.53655863526444,True
18,refining -> cast_aluminum_ingot,1.0009826505457615,1210.7757228639764,2618.809776741021,108.97974932840057,2405.077714138437,2834.542678957032,True
19,alloying_element_si -> remelting,1.0000421013037113,2675.866894915782,316.6144312596881,79.60262608200577,123.83552620261626,412.34225440247997,True
20,alloying_element_si -> refining,0.999735600246617,3067.4223525719067,129.3847104252059,45.91461608637782,35.52512488381462,194.91808554976657,True
21,alloying_element_mg -> remelting,0.999356513276925,2644.931356186916,79.29237467990926,30.097507135287024,21.033784932046885,124.64904122954563,True
22,alloying_element_mg -> refining,1.000303263720804,3129.270616023954,0.452818545205355,0.2826476104880661,0.01694686428864195,0.9656738361875622,True
23,alloying_element_other -> remelting,1.0004872458910916,3200.0,20.704113787280754,8.717067656946071,5.064392989612986,35.03898251268399,True
