case,max_abs_node_residual,mean_95pct_interval_width,flow_0_posterior_median,flow_1_posterior_median,flow_2_posterior_median,flow_3_posterior_median,flow_4_posterior_median
baseline,105.92762245696431,313.256292528736,231.41306976620228,4354.950594656577,32.81387742875774,227.80857284586597,4326.047715891595
multiplier_0.5x,175.488003305196,223.86943961924482,229.71373452061158,4366.477325507645,32.76162416926822,228.90724530985136,4335.596396713324
multiplier_2x,55.96138587439278,380.32929870457065,227.5337393112555,4358.40244819739,32.78438188416701,229.54127561976605,4324.314934391515
multiplier_4x,31.34258189470529,439.6235173044281,229.11294223105818,4348.144326417616,32.4135540704321,226.16784432441952,4315.331175633801
combiner_arithmetic_mean,71.00438390454457,346.6531322821064,231.03155067681524,4353.327477892031,32.59079764041739,232.7679210776153,4318.093935196029
combiner_max_dimension,32.276359550714666,417.43617384739764,232.25831287342584,4350.462009793216,32.66590141509914,229.57652114486373,4321.6207401330885
combiner_weighted_coverage_heavy,91.1206113708706,331.439453582462,228.42310479500458,4351.30771738416,32.736011409722465,228.75448163159712,4312.941255808982
direction_flipped_lower_is_better,196.34544330493134,169.91343974189402,229.30926832071708,4360.811315301535,32.098979315728066,228.2300993637407,4328.070221253136
tighter_bounds_best0.02_worst0.5,181.89054407866075,220.23106090967428,228.70768652242697,4367.87484245636,32.8123195160244,228.4199028494765,4334.914850014435
looser_bounds_best0.10_worst2.0,53.87199989195233,379.6667089389154,229.713879362393,4358.679738181299,32.78916616905964,228.3978884542418,4326.940977767852
control_flat_sigma_0.3,69.11660198950464,284.31550311777386,229.53930221002767,4362.710161487771,32.932198311300695,228.7424584336809,4329.278155552569
