flow_idx,flow_label,total_precision,share_observations,share_mass_balance,n_observations,sources,obs_min,obs_max,obs_spread_pct,determined_by,posterior_mean,posterior_sd,prior_mean,prior_sd,contraction,shift_in_prior_sd
0,bauxite_mining -> bauxite,0.0008986148136238471,0.47156650281003604,0.528433497189964,2,USGS value 1; USGS value 2,229.0,229.0,0.0,structure-determined,229.40790323552235,47.920282158914574,,,,
1,import_of_bauxite -> bauxite,0.0005170390242810478,0.0815815706556074,0.9184184293443926,2,USGS value 1; USGS value 2,4350.0,4360.0,0.2296211251435132,structure-determined,4359.524897712143,148.9584009631299,,,,
2,bauxite -> export_bauxite,0.020631087525176034,0.9769833670663028,0.02301663293369725,2,USGS value 1; USGS value 2,29.0,40.0,31.884057971014492,multi-source,32.926987336732445,6.971664197168808,,,,
3,bauxite -> bauxite_non_aluminum_use,0.0008986148136238471,0.47156650281003604,0.528433497189964,2,USGS value 1; USGS value 2,229.0,229.0,0.0,structure-determined,228.7474889760312,47.45383109711016,,,,
4,bauxite -> bauxite_refining_to_alumina,0.001009986954948225,0.0011787011853771564,0.9988212988146229,2,USGS value 1; USGS value 2,4320.0,4321.0,0.023145469274389537,structure-determined,4329.139013394409,165.5248599139748,,,,
5,import_alumina -> primary_smelting_hall_hauroult_to_aluminum,0.0027606314776871714,0.1676484627266744,0.8323515372733254,2,USGS value 1; USGS value 2,1300.0,1330.0,2.2813688212927756,structure-determined,1316.0037944950589,46.11903077860437,,,,
6,bauxite_refining_to_alumina -> waste_bauxite,0.0005378730160860871,0.007315300138058336,0.9926846998619416,2,USGS value 1; USGS value 2,2376.0,2377.0,0.042078687144961074,structure-determined,2331.85814182488,283.6738272615167,,,,
7,bauxite_refining_to_alumina -> export_alumina,0.0006368329940865129,0.16157247112620568,0.8384275288737943,2,USGS value 1; USGS value 2,450.0,481.0,6.659505907626208,structure-determined,462.3076953569065,97.00239008169778,,,,
8,bauxite_refining_to_alumina -> alumina_non_aluminum_use,0.000552154414420936,0.032990953993884395,0.9670090460061157,1,USGS value 1,781.0,781.0,0.0,structure-determined,769.7458310006866,212.50747305500886,,,,
9,bauxite_refining_to_alumina -> primary_smelting_hall_hauroult_to_aluminum,0.0028708399578620215,0.013614757562391536,0.9863852424376085,2,USGS value 1; USGS value 2,739.0,770.0,4.108681245858184,structure-determined,766.3688358504467,144.76748934560482,,,,
10,primary_smelting_hall_hauroult_to_aluminum -> waste_alumina,0.002304116155906088,0.0027343680534026734,0.9972656319465972,1,USGS value 1,1328.0,1328.0,0.0,structure-determined,1179.1666252761388,189.7678803365525,,,,
11,primary_smelting_hall_hauroult_to_aluminum -> remelting,0.0024483916279020284,0.017724564414363982,0.9822754355856359,1,USGS value 1,506.0,506.0,0.0,structure-determined,646.0838388115604,129.21641265853484,,,,
12,primary_smelting_hall_hauroult_to_aluminum -> refining,0.0038198072349022553,0.05267206183672544,0.9473279381632745,1,USGS value 1,235.0,235.0,0.0,structure-determined,257.2050725918625,65.54750492468904,,,,
13,import_unwrought_aluminum_ingot -> remelting,0.00014393231560758842,0.25535069708842334,0.7446493029115767,1,USGS value 1,3299.0,3299.0,0.0,structure-determined,3501.126629710483,164.30183124236692,,,,
14,import_unwrought_aluminum_ingot -> refining,0.0014914455612217137,0.11442006864726716,0.8855799313527328,1,USGS value 1,1531.0,1531.0,0.0,structure-determined,1560.8094059103073,73.29794294018483,,,,
15,remelting -> loss_remelting,0.00041070958912522206,0.7390392108644882,0.2609607891355118,2,USGS value 1; USGS value 2,212.0,444.2105263157895,70.77317933910811,multi-source,230.07524626363633,56.58656782019645,,,,
16,remelting -> wrought_aluminum_ingot,0.0002199128670895232,0.0007092869291229791,0.999290713070877,1,USGS value 1,8440.0,8440.0,0.0,structure-determined,9615.361676524557,408.4113963524451,,,,
17,refining -> loss_refining,0.0024954332248888537,0.4707154475023505,0.5292845524976495,2,USGS value 1; USGS value 2,98.0,792.0,155.95505617977528,structure-determined,102.86525268362047,28.91933088610863,,,,
18,refining -> cast_aluminum_ingot,0.002750521447174703,0.001131715711750007,0.99886828428825,2,Other literature; USGS value 1,2350.0,3177.0,29.92581870815994,structure-determined,2646.170729863379,112.27368243438718,,,,
19,alloying_element_si -> remelting,0.00031540441493406446,0.660185167331771,0.3398148326682289,1,USGS value 1,231.0,231.0,0.0,observation-driven,262.82977625442675,64.8121063309778,,,,
