flow_idx,from_node,to_node,from_node_name,to_node_name,value_1,value_2,value_3,value_4,year,map_estimate,posterior_mean,lower_bound,upper_bound
0,1,3,bauxite_mining,bauxite,229.0,229.0,,,2017,229.44065263230928,229.40790323552235,45.800000000000004,412.2
1,2,3,import_of_bauxite,bauxite,4350.0,4360.0,,,2017,4359.414695768289,4359.524897712143,870.9977037917754,7838.979334125978
2,3,85,bauxite,export_bauxite,29.0,40.0,,,2017,32.7805765481288,32.926987336732445,6.557968045882835,59.02171241294552
3,3,86,bauxite,bauxite_non_aluminum_use,229.0,229.0,,,2017,228.55934730507587,228.7474889760312,45.800000000000004,412.2
4,3,5,bauxite,bauxite_refining_to_alumina,4321.0,4320.0,,,2017,4327.908639311905,4329.139013394409,864.099976854531,7776.899791690778
5,4,6,import_alumina,primary_smelting_hall_hauroult_to_aluminum,1330.0,1300.0,,,2017,1316.3276596644255,1316.0037944950589,262.9315678394866,2366.3841105553793
6,5,87,bauxite_refining_to_alumina,waste_bauxite,2377.0,2376.0,,,2017,2326.807689709228,2331.85814182488,475.2999579213148,4277.699621291833
7,5,88,bauxite_refining_to_alumina,export_alumina,481.0,450.0,,,2017,462.56870664594254,462.3076953569065,92.89378395384698,836.0440555846227
8,5,89,bauxite_refining_to_alumina,alumina_non_aluminum_use,781.0,,,,2017,770.2664448901778,769.7458310006866,156.20000000000002,1405.8
9,5,6,bauxite_refining_to_alumina,primary_smelting_hall_hauroult_to_aluminum,739.0,770.0,,,2017,768.632024475897,766.3688358504467,150.77268461248738,1356.9541615123865
10,6,90,primary_smelting_hall_hauroult_to_aluminum,waste_alumina,1328.0,,,,2017,1205.3449567991381,1179.1666252761388,265.6,2390.4
11,6,8,primary_smelting_hall_hauroult_to_aluminum,remelting,506.0,,,,2017,623.8032309588785,646.0838388115604,101.19999999999999,910.8
12,6,9,primary_smelting_hall_hauroult_to_aluminum,refining,235.0,,,,2017,256.147672906531,257.2050725918625,47.0,423.0
13,7,8,import_unwrought_aluminum_ingot,remelting,3299.0,,,,2017,3459.122984012036,3501.126629710483,659.8000000000001,5938.2
14,7,9,import_unwrought_aluminum_ingot,refining,1531.0,,,,2017,1560.4613342514674,1560.8094059103073,306.2,2755.8
15,8,91,remelting,loss_remelting,444.2105263157895,212.0,,,2017,235.68983451156456,230.07524626363633,51.015676301542456,459.1410867138821
