flow_idx,from_node,to_node,from_node_name,to_node_name,value_1,value_2,value_3,value_4,year,map_estimate,posterior_mean,lower_bound,upper_bound
0,1,3,bauxite_mining,bauxite,229.0,229.0,,,2017,229.261920987458,229.24467514077952,45.80000000000001,412.20000000000005
1,2,3,import_of_bauxite,bauxite,4350.0,4360.0,,,2017,4358.399970037613,4360.534022658357,870.9977037917754,7838.979334125978
2,3,85,bauxite,export_bauxite,29.0,40.0,,,2017,32.728355164653635,32.44474549022103,6.557968045882835,59.02171241294552
3,3,86,bauxite,bauxite_non_aluminum_use,229.0,229.0,,,2017,228.73807901254207,228.59297107287776,45.80000000000001,412.20000000000005
4,3,5,bauxite,bauxite_refining_to_alumina,4321.0,4320.0,,,2017,4326.49806437592,4328.708197134551,864.0999768545312,7776.89979169078
5,4,6,import_alumina,primary_smelting_hall_hauroult_to_aluminum,1330.0,1300.0,,,2017,1315.6306858685543,1316.0024884333634,262.9315678394866,2366.3841105553793
6,5,87,bauxite_refining_to_alumina,waste_bauxite,2377.0,2376.0,,,2017,2367.201089775624,2357.955978183013,475.2999579213147,4277.699621291832
7,5,88,bauxite_refining_to_alumina,export_alumina,481.0,450.0,,,2017,449.49275206269795,444.9311412831264,92.89378395384696,836.0440555846226
8,5,89,bauxite_refining_to_alumina,alumina_non_aluminum_use,781.0,,,,2017,696.4068106159332,718.203614191136,156.20000000000002,1405.8
9,5,6,bauxite_refining_to_alumina,primary_smelting_hall_hauroult_to_aluminum,739.0,770.0,,,2017,813.7319752810156,807.974885546791,150.77268461248738,1356.9541615123865
10,6,90,primary_smelting_hall_hauroult_to_aluminum,waste_alumina,1328.0,,,,2017,1313.3743377283988,1300.0598658474223,265.6,2390.4
11,6,8,primary_smelting_hall_hauroult_to_aluminum,remelting,506.0,,,,2017,568.0911756601536,576.6876663251174,101.2,910.8000000000001
12,6,9,primary_smelting_hall_hauroult_to_aluminum,refining,235.0,,,,2017,248.10357259476132,247.57172277284064,47.0,423.0
13,7,8,import_unwrought_aluminum_ingot,remelting,3299.0,,,,2017,3772.9778338341366,3848.4909487320438,659.8000000000001,5938.2
14,7,9,import_unwrought_aluminum_ingot,refining,1531.0,,,,2017,1630.934718329944,1632.597162259887,306.2,2755.8
15,8,91,remelting,loss_remelting,444.2105263157895,212.0,,,2017,245.96545806270743,244.06604014513138,51.01567630154246,459.14108671388215
16,8,24,remelting,wrought_aluminum_ingot,8440.0,,,,2017,9642.193367896918,9809.87536437535,1688.0,15192.0
17,9,92,refining,loss_refining,792.0,98.0,,,2017,106.16024485236096,106.18848103388265,21.69311066029381,195.23799594264432
18,9,25,refining,cast_aluminum_ingot,2350.0,,,,2017,2683.9603579684167,2690.0648738102946,602.5263691283219,5422.737322154897
19,10,8,alloying_element_si,remelting,231.0,,,,2017,244.28392964242772,245.32231083618302,46.2,415.8
20,10,9,alloying_element_si,refining,110.0,,,,2017,112.94890989192997,112.87766947452084,22.0,198.0
21,12,8,alloying_element_mg,remelting,70.53,,,,2017,71.7683675452223,71.92398940298496,14.106000000000002,126.95400000000001
22,12,9,alloying_element_mg,refining,0.0,,,,2017,0.00025789262701222395,0.09684362454209762,0.0,1.0
23,16,8,alloying_element_other,remelting,20.0,,,,2017,20.099576988135848,20.074653767214382,4.0,36.0
24,16,9,alloying_element_other,refining,20.0,,,,2017,20.097483646443123,20.070920139754957,4.0,36.0
25,17,18,import_scrap,eol_scrap_generated,720.0,,,,2017,719.5034109178092,720.1910324057809,144.00000000000003,1296.0000000000002
26,18,93,eol_scrap_generated,export_eol_scrap,1570.0,,,,2017,1572.3611979997434,1574.010618576719,314.00000000000006,2826.0000000000005
27,18,94,eol_scrap_generated,loss_eol_scrap,1555.0,,,,2017,1572.0665702570466,1589.851259229162,311.0,2798.9999999999995
28,18,19,eol_scrap_generated,eol_scrap_recycled,1727.0,,,,2017,2123.4123112427465,2174.9217522365493,345.4000000000001,3108.6000000000004
29,19,8,eol_scrap_recycled,remelting,1070.0,,,,2017,1358.482213201889,1405.0998489275867,214.0,1926.0
30,19,9,eol_scrap_recycled,refining,658.0,,,,2017,764.8287285653258,769.4859322068994,131.6,1184.4
31,20,95,forming_scrap_generated,loss_forming_scrap,87.0,,,,2017,85.58337507672967,85.53230859121109,17.400000000000002,156.6
32,20,21,forming_scrap_generated,forming_scrap_recycled,2665.0,,,,2017,2732.1342548446432,2739.1210712839556,533.0,4797.0
33,21,8,forming_scrap_recycled,remelting,2677.0,,,,2017,2742.6035585826203,2751.5857825684507,535.4,4818.6
34,21,9,forming_scrap_recycled,refining,0.0,,,,2017,3.159854877141176e-05,0.03940811194127779,0.0,1.0
35,22,96,fabrication_scrap_generated,loss_fabrication_scrap,49.0,,,,2017,48.66569342191354,48.58639825799501,9.8,88.2
36,22,23,fabrication_scrap_generated,fabrication_scrap_recycled,971.0,,,,2017,937.549232412809,937.6120685330104,194.20000000000005,1747.8000000000002
37,23,8,fabrication_scrap_recycled,remelting,922.0,,,,2017,938.412719807992,938.4107606559592,184.4,1659.6000000000001
38,23,9,fabrication_scrap_recycled,refining,0.0,,,,2017,3.71962947133681e-05,0.03961409818319166,0.0,1.0
39,24,42,wrought_aluminum_ingot,1xxx,1728.0,,,,2017,1905.2422425328023,1891.778317805519,437.7417853588488,3939.676068229639
40,24,43,wrought_aluminum_ingot,2xxx,238.0,,,,2017,94.80048050374216,94.88270031209535,17.66790192554876,159.01111732993886
