flow_idx,flow_label,source,value,coverage,frequency,spatial,sigma,relative_sigma
0,bauxite_mining -> bauxite,USGS value 1,229.0,1.0,2.0,4.0,60.38317718678439,0.2636819964488401
0,bauxite_mining -> bauxite,USGS value 2,229.0,1.0,2.0,4.0,60.38317718678439,0.2636819964488401
1,import_of_bauxite -> bauxite,USGS value 1,4350.0,4.0,3.0,4.0,217.5,0.05
1,import_of_bauxite -> bauxite,USGS value 2,4360.0,4.0,3.0,4.0,218.0,0.05
2,bauxite -> export_bauxite,USGS value 1,29.0,4.0,3.0,4.0,25.543213497057756,0.8808004654157847
2,bauxite -> export_bauxite,USGS value 2,40.0,4.0,3.0,4.0,35.232018616631386,0.8808004654157846
3,bauxite -> bauxite_non_aluminum_use,USGS value 1,229.0,1.0,2.0,4.0,60.38317718678439,0.2636819964488401
3,bauxite -> bauxite_non_aluminum_use,USGS value 2,229.0,1.0,2.0,4.0,60.38317718678439,0.2636819964488401
4,bauxite -> bauxite_refining_to_alumina,USGS value 1,4321.0,1.0,1.0,4.0,586.4499260653296,0.13572088082974534
4,bauxite -> bauxite_refining_to_alumina,USGS value 2,4320.0,1.0,1.0,4.0,586.3142051844999,0.13572088082974534
5,import_alumina -> primary_smelting_hall_hauroult_to_aluminum,USGS value 1,1330.0,4.0,3.0,4.0,66.5,0.05
5,import_alumina -> primary_smelting_hall_hauroult_to_aluminum,USGS value 2,1300.0,4.0,3.0,4.0,65.0,0.05
6,bauxite_refining_to_alumina -> waste_bauxite,USGS value 1,2377.0,1.0,1.0,4.0,322.6085337323047,0.13572088082974534
6,bauxite_refining_to_alumina -> waste_bauxite,USGS value 2,2376.0,1.0,1.0,4.0,322.47281285147494,0.13572088082974534
7,bauxite_refining_to_alumina -> export_alumina,USGS value 1,481.0,4.0,3.0,4.0,423.66502386499246,0.8808004654157847
7,bauxite_refining_to_alumina -> export_alumina,USGS value 2,450.0,4.0,3.0,4.0,396.3602094371031,0.8808004654157846
8,bauxite_refining_to_alumina -> alumina_non_aluminum_use,USGS value 1,781.0,4.0,3.0,4.0,687.9051634897279,0.8808004654157847
9,bauxite_refining_to_alumina -> primary_smelting_hall_hauroult_to_aluminum,USGS value 1,739.0,4.0,3.0,4.0,650.9115439422649,0.8808004654157847
9,bauxite_refining_to_alumina -> primary_smelting_hall_hauroult_to_aluminum,USGS value 2,770.0,4.0,3.0,4.0,678.2163583701542,0.8808004654157847
10,primary_smelting_hall_hauroult_to_aluminum -> waste_alumina,USGS value 1,1328.0,1.0,1.0,4.0,180.23732974190182,0.13572088082974534
11,primary_smelting_hall_hauroult_to_aluminum -> remelting,USGS value 1,506.0,1.0,1.0,3.0,60.48876559074887,0.11954301500147999
12,primary_smelting_hall_hauroult_to_aluminum -> refining,USGS value 1,235.0,1.0,1.0,3.0,28.092608525347796,0.11954301500147999
13,import_unwrought_aluminum_ingot -> remelting,USGS value 1,3299.0,1.0,1.0,3.0,164.95000000000002,0.05
14,import_unwrought_aluminum_ingot -> refining,USGS value 1,1531.0,1.0,1.0,3.0,76.55,0.049999999999999996
15,remelting -> loss_remelting,USGS value 1,444.2105263157895,1.0,1.0,3.0,53.10226561118374,0.11954301500147999
15,remelting -> loss_remelting,USGS value 2,212.0,1.0,1.0,3.0,25.343119180313757,0.11954301500147999
16,remelting -> wrought_aluminum_ingot,USGS value 1,8440.0,1.0,1.0,4.0,1145.4842342030506,0.13572088082974534
17,refining -> loss_refining,USGS value 1,792.0,1.0,1.0,3.0,94.67806788117215,0.11954301500148
17,refining -> loss_refining,USGS value 2,98.0,1.0,1.0,3.0,11.715215470145038,0.11954301500147999
18,refining -> cast_aluminum_ingot,Other literature,3177.0,1.0,1.0,1.0,158.85000000000002,0.05000000000000001
18,refining -> cast_aluminum_ingot,USGS value 1,2350.0,1.0,1.0,4.0,318.9440699499016,0.13572088082974534
19,alloying_element_si -> remelting,USGS value 1,231.0,1.0,1.0,3.0,27.61443646534188,0.11954301500148
20,alloying_element_si -> refining,USGS value 1,110.0,1.0,1.0,3.0,13.1497316501628,0.11954301500148
21,alloying_element_mg -> remelting,USGS value 1,70.53,1.0,1.0,3.0,8.431368848054383,0.11954301500147999
22,alloying_element_mg -> refining,USGS value 1,0.0,1.0,1.0,3.0,0.11954301500147999,119543015.00147998
23,alloying_element_other -> remelting,USGS value 1,20.0,1.0,1.0,3.0,2.3908603000296,0.11954301500147999
24,alloying_element_other -> refining,USGS value 1,20.0,1.0,1.0,3.0,2.3908603000296,0.11954301500147999
25,import_scrap -> eol_scrap_generated,USGS value 1,720.0,4.0,3.0,4.0,36.0,0.05
26,eol_scrap_generated -> export_eol_scrap,USGS value 1,1570.0,4.0,3.0,4.0,78.5,0.05
27,eol_scrap_generated -> loss_eol_scrap,USGS value 1,1555.0,1.0,1.0,4.0,211.045969690254,0.13572088082974534
28,eol_scrap_generated -> eol_scrap_recycled,USGS value 1,1727.0,4.0,3.0,4.0,1521.14240377306,0.8808004654157846
29,eol_scrap_recycled -> remelting,USGS value 1,1070.0,1.0,1.0,3.0,127.91102605158359,0.11954301500147999
30,eol_scrap_recycled -> refining,USGS value 1,658.0,1.0,1.0,3.0,78.65930387097383,0.11954301500147999
31,forming_scrap_generated -> loss_forming_scrap,USGS value 1,87.0,1.0,1.0,3.0,10.400242305128758,0.11954301500147999
32,forming_scrap_generated -> forming_scrap_recycled,USGS value 1,2665.0,1.0,1.0,3.0,318.58213497894417,0.11954301500147999
33,forming_scrap_recycled -> remelting,USGS value 1,2677.0,1.0,1.0,1.0,133.85000000000002,0.05000000000000001
34,forming_scrap_recycled -> refining,USGS value 1,0.0,1.0,1.0,1.0,0.05000000000000001,50000000.00000001
35,fabrication_scrap_generated -> loss_fabrication_scrap,USGS value 1,49.0,1.0,1.0,3.0,5.857607735072519,0.11954301500147999
36,fabrication_scrap_generated -> fabrication_scrap_recycled,USGS value 1,971.0,4.0,3.0,4.0,855.257251918727,0.8808004654157847
37,fabrication_scrap_recycled -> remelting,USGS value 1,922.0,1.0,1.0,1.0,46.10000000000001,0.05000000000000001
38,fabrication_scrap_recycled -> refining,USGS value 1,0.0,1.0,1.0,1.0,0.05000000000000001,50000000.00000001
39,wrought_aluminum_ingot -> 1xxx,Other literature,2336.0,1.0,1.0,1.0,116.80000000000003,0.05000000000000001
39,wrought_aluminum_ingot -> 1xxx,USGS value 1,1728.0,1.0,1.0,3.0,206.57032992255742,0.11954301500147999
40,wrought_aluminum_ingot -> 2xxx,Other literature,85.0,1.0,1.0,1.0,4.250000000000001,0.05000000000000001
40,wrought_aluminum_ingot -> 2xxx,USGS value 1,238.0,1.0,1.0,3.0,28.451237570352237,0.11954301500147999
41,wrought_aluminum_ingot -> 3xxx,Other literature,1256.0,1.0,1.0,1.0,62.80000000000001,0.05000000000000001
41,wrought_aluminum_ingot -> 3xxx,USGS value 1,2848.0,1.0,1.0,3.0,340.458506724215,0.11954301500147999
42,wrought_aluminum_ingot -> 4xxx,Other literature,50.0,1.0,1.0,1.0,2.5000000000000004,0.05000000000000001
42,wrought_aluminum_ingot -> 4xxx,USGS value 1,117.0,1.0,1.0,3.0,13.986532755173158,0.11954301500147999
43,wrought_aluminum_ingot -> 5xxx,Other literature,3047.0,1.0,1.0,1.0,152.35000000000002,0.05000000000000001
43,wrought_aluminum_ingot -> 5xxx,USGS value 1,2762.0,1.0,1.0,3.0,330.1778074340877,0.11954301500147997
44,wrought_aluminum_ingot -> 6xxx,Other literature,3771.0,1.0,1.0,1.0,188.55000000000004,0.05000000000000001
44,wrought_aluminum_ingot -> 6xxx,USGS value 1,3218.0,1.0,1.0,3.0,384.6894222747626,0.11954301500147999
45,wrought_aluminum_ingot -> 7xxx,Other literature,254.0,1.0,1.0,1.0,12.700000000000003,0.05000000000000001
45,wrought_aluminum_ingot -> 7xxx,USGS value 1,887.0,1.0,1.0,3.0,106.03465430631275,0.11954301500147999
46,wrought_aluminum_ingot -> 8xxx,Other literature,267.0,1.0,1.0,1.0,13.350000000000003,0.05000000000000001
46,wrought_aluminum_ingot -> 8xxx,USGS value 1,94.0,1.0,1.0,3.0,11.237043410139119,0.11954301500147999
47,cast_aluminum_ingot -> 36x,USGS value 1,139.9873943233654,,,,13.998739432336542,0.1
48,cast_aluminum_ingot -> 38x,USGS value 1,1369.275605676634,,,,136.92756056766342,0.1
49,cast_aluminum_ingot -> 2xx,USGS value 1,5.802579327688045,,,,0.5802579327688046,0.1
50,cast_aluminum_ingot -> 3xx,USGS value 1,567.7059997361048,,,,56.77059997361048,0.1
51,cast_aluminum_ingot -> 4xx,USGS value 1,7.889786477696971,,,,0.7889786477696972,0.1
52,cast_aluminum_ingot -> 5xx,USGS value 1,44.9000575912573,,,,4.49000575912573,0.1
53,cast_aluminum_ingot -> 7xx,USGS value 1,8.033237140927826,,,,0.8033237140927826,0.1
54,cast_aluminum_ingot -> other,USGS value 1,289.7703397263251,,,,28.977033972632512,0.1
55,36x -> die_cast,USGS value 1,147.475924987329,,,,14.7475924987329,0.1
56,38x -> die_cast,USGS value 1,1442.524075012671,,,,144.2524075012671,0.1
57,2xx -> sand_cast,USGS value 1,1.923056763564638,,,,0.1923056763564638,0.1
58,3xx -> sand_cast,USGS value 1,188.1457884253907,,,,18.81457884253907,0.1
59,4xx -> sand_cast,USGS value 1,2.614786699531646,,,,0.2614786699531646,0.1
60,5xx -> sand_cast,USGS value 1,14.88051339915282,,,,1.4880513399152822,0.1
61,7xx -> sand_cast,USGS value 1,2.662328275886768,,,,0.26623282758867683,0.1
62,other -> sand_cast,USGS value 1,84.77352643647342,,,,8.477352643647341,0.09999999999999999
63,2xx -> permanent_semi_permanent_mold_cast,USGS value 1,3.846113527129276,,,,0.3846113527129276,0.1
64,3xx -> permanent_semi_permanent_mold_cast,USGS value 1,376.2915768507814,,,,37.62915768507814,0.1
65,4xx -> permanent_semi_permanent_mold_cast,USGS value 1,5.229573399063292,,,,0.5229573399063292,0.1
66,5xx -> permanent_semi_permanent_mold_cast,USGS value 1,29.76102679830564,,,,2.9761026798305643,0.1
67,7xx -> permanent_semi_permanent_mold_cast,USGS value 1,5.324656551773534,,,,0.5324656551773533,0.09999999999999999
68,other -> permanent_semi_permanent_mold_cast,USGS value 1,169.5470528729468,,,,16.954705287294683,0.10000000000000002
69,other -> other_cast,USGS value 1,25.0,,,,2.5,0.1
70,cast_aluminum_ingot -> export_cast_aluminum_ingot,USGS value 1,275.0,4.0,3.0,4.0,242.2201279893408,0.8808004654157847
72,die_cast -> scrap_cast,USGS value 1,530.0,1.0,1.0,3.0,63.357797950784395,0.11954301500147999
73,scrap_cast -> die_cast,USGS value 1,530.0,1.0,1.0,3.0,63.357797950784395,0.11954301500147999
74,sand_cast -> scrap_sand_cast,USGS value 1,197.0,1.0,1.0,3.0,23.549973955291556,0.11954301500147997
75,scrap_sand_cast -> sand_cast,USGS value 1,197.0,1.0,1.0,3.0,23.549973955291556,0.11954301500147997
76,permanent_semi_permanent_mold_cast -> scrap_semi_permanent_mold_cast,USGS value 1,197.0,1.0,1.0,3.0,23.549973955291556,0.11954301500147997
77,scrap_semi_permanent_mold_cast -> permanent_semi_permanent_mold_cast,USGS value 1,197.0,1.0,1.0,3.0,23.549973955291556,0.11954301500147997
78,other_cast -> scrap_other_cast,USGS value 1,17.0,1.0,1.0,3.0,2.0322312550251596,0.11954301500147997
79,scrap_other_cast -> other_cast,USGS value 1,17.0,1.0,1.0,3.0,2.0322312550251596,0.11954301500147997
80,die_cast -> export_cast_semifinished_products,USGS value 1,18.0,4.0,3.0,4.0,15.854408377484125,0.8808004654157847
81,1xxx -> rolling,USGS value 1,1116.0,1.0,1.0,3.0,133.41000474165168,0.11954301500148
82,1xxx -> extrusion,USGS value 1,274.0,1.0,1.0,3.0,32.75478611040552,0.11954301500148
83,1xxx -> drawing,USGS value 1,284.0,1.0,1.0,3.0,33.95021626042032,0.11954301500148
84,1xxx -> other_milling_processes,USGS value 1,54.0,1.0,1.0,3.0,6.455322810079919,0.11954301500147999
85,2xxx -> rolling,USGS value 1,122.0,1.0,1.0,3.0,14.584247830180558,0.11954301500147999
86,2xxx -> extrusion,USGS value 1,108.0,1.0,1.0,3.0,12.910645620159839,0.11954301500147999
87,2xxx -> drawing,USGS value 1,3.0,1.0,1.0,3.0,0.35862904500443993,0.11954301500147997
