case,domestic_retention_rate,eol_collection_rate,eol_scrap_collected_total,domestic_consumption,median_rel_ci_width_all_flows,median_rel_ci_width_flows_ge_100kt,n_flows_ge_100kt,max_abs_node_residual_kt,max_abs_node_residual_pct,retention_pp_vs_baseline,ci_width_ratio_vs_baseline
direction_flipped_lower_is_better,0.5767921764079624,0.7175482026382938,3678.7056925520837,9714.65257250906,0.4506610887060283,0.3366943550168626,133,201.3753557444696,2.0126208192054715,1.5790374792149509,0.6973112078071626
tighter_bounds_best0.02_worst0.5,0.5362301644285674,0.6857701688065296,3380.9336068325083,10494.244304846958,0.4622226999078607,0.4055061637382602,134,184.04065584699995,1.8295910171979688,-2.477163718724551,0.8398239786212442
multiplier_0.5x,0.5399177678920981,0.6883360654098606,3409.4717529096342,10449.152060872288,0.4700335748457039,0.41228328665407776,134,181.52030186496947,1.8076212456127168,-2.1084033723714812,0.8538597463597609
baseline,0.5610018016158129,0.7083709372361513,3576.575767477246,10050.476912227708,0.788310305724877,0.4828466131724266,134,106.80750521539248,1.0736215091572836,0.0,1.0
combiner_weighted_coverage_heavy,0.5685285525902227,0.7263227831895592,3642.4307190668324,9970.15729311973,0.8188025856606878,0.5169472755021866,135,94.83773007091251,0.9523871437046006,0.7526750974409802,1.0706242135690045
combiner_arithmetic_mean,0.583522354774899,0.7357224185151536,3764.881522497457,9851.392128975203,0.8354615043177609,0.6578452184066991,135,75.12618361392467,0.7681782598145285,2.2520553159086076,1.3624310504830646
control_flat_sigma_0.3,0.5939849565745432,0.7431148212807657,3847.841036552245,9492.63498771108,0.9546362438625211,0.749480130261158,136,73.91550390585299,0.7613155738389198,3.2983154958730276,1.5522116337047092
multiplier_2x,0.5905790160865998,0.7429077220832905,3838.344559055856,9713.091016214083,0.957357305896161,0.799186224957362,135,55.68424188671859,0.5668632018114452,2.9577214470786872,1.655155494840282
looser_bounds_best0.10_worst2.0,0.5905580607745442,0.7430775019300384,3829.6089449997507,9717.637376840055,0.9608717677611767,0.8070131267608258,135,56.79497383065329,0.5806241901686807,2.955625915873128,1.6713654082785043
combiner_max_dimension,0.6017315412369266,0.7628360619212282,3940.697703906448,9336.906137905127,1.3300056453328968,1.2454467683769523,136,39.60880863027297,0.4092228260594185,4.07297396211137,2.5793838755418546
multiplier_4x,0.6020832511229947,0.7605439931021802,3940.896236103296,9370.750869376234,1.3795587331751133,1.2997073309557912,135,31.97048392689754,0.3368287364361993,4.108144950718174,2.6917602723075538
