flow_idx,flow_label,total_precision,share_observations,share_mass_balance,n_observations,sources,obs_min,obs_max,obs_spread_pct,determined_by,posterior_mean,posterior_sd,prior_mean,prior_sd,contraction,shift_in_prior_sd
0,bauxite_mining -> bauxite,0.0005661892056694209,0.15993212727173511,0.8400678727282649,2,USGS value 1; USGS value 2,229.0,229.0,0.0,structure-determined,229.5479209129984,85.29062607183515,,,,
1,import_of_bauxite -> bauxite,0.000517818217259507,0.0814588098393446,0.9185411901606555,2,USGS value 1; USGS value 2,4350.0,4360.0,0.2296211251435132,structure-determined,4361.756941221521,153.8568947467715,,,,
2,bauxite -> export_bauxite,0.048535683518121736,0.9902002541822487,0.009799745817751346,2,USGS value 1; USGS value 2,29.0,40.0,31.884057971014492,multi-source,32.74664057570185,4.5045875151918064,,,,
3,bauxite -> bauxite_non_aluminum_use,0.0005661892056694209,0.15993212727173511,0.8400678727282649,2,USGS value 1; USGS value 2,229.0,229.0,0.0,structure-determined,228.32883095809007,85.15890427370628,,,,
4,bauxite -> bauxite_refining_to_alumina,0.0010107179881427078,0.00019526541924179785,0.9998047345807582,2,USGS value 1; USGS value 2,4320.0,4321.0,0.023145469274389537,structure-determined,4329.738323609304,198.04964872829507,,,,
5,import_alumina -> primary_smelting_hall_hauroult_to_aluminum,0.0027843816364941524,0.1662184584624177,0.8337815415375822,2,USGS value 1; USGS value 2,1300.0,1330.0,2.2813688212927756,structure-determined,1315.5175466086098,47.00318713317873,,,,
6,bauxite_refining_to_alumina -> waste_bauxite,0.0005355355688683471,0.0012180340647101287,0.9987819659352899,2,USGS value 1; USGS value 2,2376.0,2377.0,0.042078687144961074,structure-determined,2322.0645736151873,278.4598075330027,,,,
7,bauxite_refining_to_alumina -> export_alumina,0.0007802229600165845,0.3144481824897436,0.6855518175102564,2,USGS value 1; USGS value 2,450.0,481.0,6.659505907626208,structure-determined,464.2332753599066,62.77489278976278,,,,
8,bauxite_refining_to_alumina -> alumina_non_aluminum_use,0.0005783173170909031,0.07510418157074529,0.9248958184292546,1,USGS value 1,781.0,781.0,0.0,structure-determined,786.9422153660493,152.6906354807644,,,,
9,bauxite_refining_to_alumina -> primary_smelting_hall_hauroult_to_aluminum,0.002949644533332845,0.03159541798072531,0.9684045820192746,2,USGS value 1; USGS value 2,739.0,770.0,4.108681245858184,structure-determined,755.9278776004909,102.21172420417456,,,,
10,primary_smelting_hall_hauroult_to_aluminum -> waste_alumina,0.002322610486035903,0.00044969784522730805,0.9995503021547727,1,USGS value 1,1328.0,1328.0,0.0,structure-determined,1058.4768000019724,212.01240196833587,,,,
11,primary_smelting_hall_hauroult_to_aluminum -> remelting,0.002429937315796558,0.0007843856098857264,0.9992156143901143,1,USGS value 1,506.0,506.0,0.0,structure-determined,728.0822183657954,154.0385582017423,,,,
12,primary_smelting_hall_hauroult_to_aluminum -> refining,0.0036229155031259294,0.00243911227611306,0.997560887723887,1,USGS value 1,235.0,235.0,0.0,structure-determined,285.1412649457842,97.98587024203773,,,,
13,import_unwrought_aluminum_ingot -> remelting,0.0001432185119520411,0.2566233695840663,0.7433766304159337,1,USGS value 1,3299.0,3299.0,0.0,structure-determined,3466.2092073593735,160.71399715217348,,,,
14,import_unwrought_aluminum_ingot -> refining,0.001463164095840555,0.1166316915401174,0.8833683084598826,1,USGS value 1,1531.0,1531.0,0.0,structure-determined,1564.1330328760146,75.66102138961627,,,,
15,remelting -> loss_remelting,0.00011979653507520635,0.11128235252167165,0.8887176474783283,2,USGS value 1; USGS value 2,212.0,444.2105263157895,70.77317933910811,structure-determined,183.0493777490891,99.6795325725358,,,,
16,remelting -> wrought_aluminum_ingot,0.00021545471098482084,0.00012001967636516088,0.9998799803236349,1,USGS value 1,8440.0,8440.0,0.0,structure-determined,9622.359037224374,783.9621239743665,,,,
17,refining -> loss_refining,0.0013441036366152728,0.038383085104422794,0.9616169148955772,2,USGS value 1; USGS value 2,98.0,792.0,155.95505617977528,structure-determined,96.98598451575603,47.35940372434327,,,,
18,refining -> cast_aluminum_ingot,0.0026555317554517923,0.0001349320249562978,0.9998650679750437,2,Other literature; USGS value 1,2350.0,3177.0,29.92581870815994,structure-determined,2665.9446951362256,115.4931617549473,,,,
19,alloying_element_si -> remelting,0.00011561067496194462,0.07910498002768826,0.9208950199723117,1,USGS value 1,231.0,231.0,0.0,structure-determined,292.07177317740667,93.76766247666222,,,,
20,alloying_element_si -> refining,0.0013328439187321928,0.030259451855886705,0.9697405481441133,1,USGS value 1,110.0,110.0,0.0,structure-determined,122.66264364640243,48.430249773887404,,,,
21,alloying_element_mg -> remelting,0.00020456731574900632,0.47955862627283086,0.5204413737271693,1,USGS value 1,70.53,70.53,0.0,structure-determined,76.0937818238927,31.972210659555408,,,,
22,alloying_element_mg -> refining,0.4892991421148285,0.9973584405099191,0.0026415594900809744,1,USGS value 1,0.0,0.0,0.0,observation-driven,0.47666130720382105,0.28566891861383,,,,
23,alloying_element_other -> remelting,0.001326481868134309,0.9197385977255493,0.08026140227445054,1,USGS value 1,20.0,20.0,0.0,observation-driven,20.40545115032082,9.002954822801343,,,,
24,alloying_element_other -> refining,0.002512529365648121,0.4855730603536673,0.5144269396463327,1,USGS value 1,20.0,20.0,0.0,structure-determined,20.431843613110292,8.96021962715813,,,,
25,import_scrap -> eol_scrap_generated,0.001138846618471288,0.6775319219960947,0.3224680780039053,1,USGS value 1,720.0,720.0,0.0,observation-driven,717.905690566041,36.1454652702662,,,,
26,eol_scrap_generated -> export_eol_scrap,0.0005295200687752845,0.306463150586401,0.693536849413599,1,USGS value 1,1570.0,1570.0,0.0,structure-determined,1570.871253937542,77.75413155909234,,,,
27,eol_scrap_generated -> loss_eol_scrap,0.00036800346543735445,0.0020700490870812177,0.9979299509129188,1,USGS value 1,1555.0,1555.0,0.0,structure-determined,1760.740179766948,576.9864565738396,,,,
28,eol_scrap_generated -> eol_scrap_recycled,0.003018248219592073,0.0029430168887430073,0.997056983111257,1,USGS value 1,1727.0,1727.0,0.0,structure-determined,2283.7964085874396,246.93070762901812,,,,
29,eol_scrap_recycled -> remelting,0.0027490153226255093,0.00015505329715559223,0.9998449467028444,1,USGS value 1,1070.0,1070.0,0.0,structure-determined,1519.3800391620493,246.87879921401924,,,,
30,eol_scrap_recycled -> refining,0.003935763706055611,0.0002863814726122956,0.9997136185273877,1,USGS value 1,658.0,658.0,0.0,structure-determined,765.7540476842732,168.06980777846763,,,,
31,forming_scrap_generated -> loss_forming_scrap,0.0013641550719353326,0.04726323828537259,0.9527367617146274,1,USGS value 1,87.0,87.0,0.0,structure-determined,77.69912361617908,38.42372182162227,,,,
32,forming_scrap_generated -> forming_scrap_recycled,0.0026549994718871694,2.588015398098339e-05,0.9999741198460191,1,USGS value 1,2665.0,2665.0,0.0,structure-determined,2734.94812609824,725.0444925457114,,,,
33,forming_scrap_recycled -> remelting,0.001461750254572456,2.3865475302420925e-05,0.9999761345246976,1,USGS value 1,2677.0,2677.0,0.0,structure-determined,2737.723621502674,725.9206999342607,,,,
34,forming_scrap_recycled -> refining,0.2526477628667217,0.9895199433524434,0.010480056647556515,1,USGS value 1,0.0,0.0,0.0,observation-driven,0.4934955725646736,0.2873386694335041,,,,
35,fabrication_scrap_generated -> loss_fabrication_scrap,0.011168482098204589,0.018198659914337556,0.9818013400856623,1,USGS value 1,49.0,49.0,0.0,structure-determined,45.51475004090505,22.09948027074436,,,,
36,fabrication_scrap_generated -> fabrication_scrap_recycled,0.022753229789281796,0.001234954252433141,0.9987650457475669,1,USGS value 1,971.0,971.0,0.0,structure-determined,916.2152053543625,117.11765401989317,,,,
37,fabrication_scrap_recycled -> remelting,0.01186665928406922,2.4782761276527356e-05,0.9999752172387235,1,USGS value 1,922.0,922.0,0.0,structure-determined,916.1067377276344,117.57204162202267,,,,
38,fabrication_scrap_recycled -> refining,0.26305241269299884,0.9503809428722787,0.04961905712772136,1,USGS value 1,0.0,0.0,0.0,observation-driven,0.48826864454646624,0.28485243278471084,,,,
39,wrought_aluminum_ingot -> 1xxx,0.0044258342462968675,4.7278323554878043e-05,0.9999527216764451,2,Other literature; USGS value 1,1728.0,2336.0,29.921259842519685,structure-determined,1458.7702554345392,496.5201651360265,,,,
40,wrought_aluminum_ingot -> 2xxx,0.4354334494410262,9.925145623309991e-05,0.9999007485437669,2,Other literature; USGS value 1,85.0,238.0,94.73684210526316,structure-determined,156.7482558437009,35.143072458789526,,,,
41,wrought_aluminum_ingot -> 3xxx,0.0032595548573388497,6.707671815189412e-05,0.9999329232818481,2,Other literature; USGS value 1,1256.0,2848.0,77.58284600389864,structure-determined,1851.6800915234742,598.7200799902299,,,,
42,wrought_aluminum_ingot -> 4xxx,1.456532660866937,9.313182547539895e-05,0.9999068681745246,2,Other literature; USGS value 1,50.0,117.0,80.23952095808383,structure-determined,83.42942812007803,23.282440412652576,,,,
43,wrought_aluminum_ingot -> 5xxx,0.0018814660789970167,4.831218643395852e-05,0.999951687813566,2,Other literature; USGS value 1,2762.0,3047.0,9.812360130831468,structure-determined,2246.1482618127084,877.4035541524305,,,,
44,wrought_aluminum_ingot -> 6xxx,0.0011675056304941305,5.542206598325195e-05,0.9999445779340167,2,Other literature; USGS value 1,3218.0,3771.0,15.82486764916297,structure-determined,3065.349268406748,628.3532145879669,,,,
45,wrought_aluminum_ingot -> 7xxx,0.03849652564016711,0.00011677091369102405,0.999883229086309,2,Other literature; USGS value 1,254.0,887.0,110.95530236634531,structure-determined,506.9956064584107,80.14518766640819,,,,
46,wrought_aluminum_ingot -> 8xxx,1.4748187154926833,3.982605608830027e-05,0.9999601739439118,2,Other literature; USGS value 1,94.0,267.0,95.8448753462604,structure-determined,81.17704231551443,25.773025399031386,,,,
47,cast_aluminum_ingot -> 36x,0.49324018639535544,0.010345790676184501,0.9896542093238155,1,USGS value 1,139.9873943233654,139.9873943233654,0.0,structure-determined,142.85828476047,10.220408034806447,,,,
48,cast_aluminum_ingot -> 38x,0.006634760577915392,0.008038832920653336,0.9919611670793467,1,USGS value 1,1369.275605676634,1369.275605676634,0.0,structure-determined,1358.4516423749574,95.56228305901878,,,,
49,cast_aluminum_ingot -> 2xx,302.2143058570379,0.009827494478571862,0.9901725055214282,1,USGS value 1,5.802579327688045,5.802579327688045,0.0,structure-determined,5.783091005603859,0.3492330994612824,,,,
50,cast_aluminum_ingot -> 3xx,0.03315734982105864,0.00935778840075043,0.9906422115992495,1,USGS value 1,567.7059997361048,567.7059997361048,0.0,structure-determined,562.0579789935045,34.30028610062159,,,,
51,cast_aluminum_ingot -> 4xx,163.4705267849417,0.009827205500667305,0.9901727944993327,1,USGS value 1,7.889786477696971,7.889786477696971,0.0,structure-determined,7.854263224770196,0.46590467832016996,,,,
52,cast_aluminum_ingot -> 5xx,5.051146866417099,0.00982010672466093,0.9901798932753391,1,USGS value 1,44.9000575912573,44.9000575912573,0.0,structure-determined,44.67989528528902,2.7217861397807384,,,,
53,cast_aluminum_ingot -> 7xx,157.68477300371848,0.009827183548609052,0.9901728164513909,1,USGS value 1,8.033237140927826,8.033237140927826,0.0,structure-determined,8.017818550914534,0.4759515828597096,,,,
54,cast_aluminum_ingot -> other,0.12825009977835905,0.009286122926913583,0.9907138770730864,1,USGS value 1,289.7703397263251,289.7703397263251,0.0,structure-determined,281.60783177591355,15.92222717843539,,,,
55,36x -> die_cast,0.49373447219815925,0.009312457248015174,0.9906875427519848,1,USGS value 1,147.475924987329,147.475924987329,0.0,structure-determined,142.9020167816136,10.223905612092707,,,,
