flow_idx,from_node,to_node,from_node_name,to_node_name,value_1,value_2,value_3,value_4,year,map_estimate,posterior_mean,lower_bound,upper_bound
0,1,3,bauxite_mining,bauxite,229.0,229.0,,,2017,229.39895436089637,229.5479209129984,45.800000000000004,412.2
1,2,3,import_of_bauxite,bauxite,4350.0,4360.0,,,2017,4355.845212873955,4361.756941221521,870.9977037917754,7838.979334125978
2,3,85,bauxite,export_bauxite,29.0,40.0,,,2017,32.789082501888004,32.74664057570185,6.557968045882835,59.02171241294552
3,3,86,bauxite,bauxite_non_aluminum_use,229.0,229.0,,,2017,228.60104563918415,228.32883095809007,45.800000000000004,412.2
4,3,5,bauxite,bauxite_refining_to_alumina,4321.0,4320.0,,,2017,4323.930041611053,4329.738323609304,864.0999768545312,7776.89979169078
5,4,6,import_alumina,primary_smelting_hall_hauroult_to_aluminum,1330.0,1300.0,,,2017,1315.8667946343776,1315.5175466086098,262.9315678394866,2366.3841105553793
6,5,87,bauxite_refining_to_alumina,waste_bauxite,2377.0,2376.0,,,2017,2320.0574868251724,2322.0645736151873,475.2999579213147,4277.699621291832
7,5,88,bauxite_refining_to_alumina,export_alumina,481.0,450.0,,,2017,464.3171791616166,464.2332753599066,92.89378395384698,836.0440555846227
8,5,89,bauxite_refining_to_alumina,alumina_non_aluminum_use,781.0,,,,2017,780.1529631110523,786.9422153660493,156.20000000000005,1405.8000000000002
9,5,6,bauxite_refining_to_alumina,primary_smelting_hall_hauroult_to_aluminum,739.0,770.0,,,2017,759.4714261748011,755.9278776004909,150.7726846124874,1356.9541615123867
10,6,90,primary_smelting_hall_hauroult_to_aluminum,waste_alumina,1328.0,,,,2017,792.3942446007616,1058.4768000019724,265.6,2390.4
11,6,8,primary_smelting_hall_hauroult_to_aluminum,remelting,506.0,,,,2017,910.7998183796535,728.0822183657954,101.2,910.8000000000001
12,6,9,primary_smelting_hall_hauroult_to_aluminum,refining,235.0,,,,2017,372.38517827176486,285.1412649457842,47.0,422.99999999999994
13,7,8,import_unwrought_aluminum_ingot,remelting,3299.0,,,,2017,3348.2253470620476,3466.2092073593735,659.8000000000001,5938.2
14,7,9,import_unwrought_aluminum_ingot,refining,1531.0,,,,2017,1541.3906423134974,1564.1330328760146,306.2,2755.8
15,8,91,remelting,loss_remelting,444.2105263157895,212.0,,,2017,119.36804198543128,183.0493777490891,51.01567630154246,459.14108671388215
16,8,24,remelting,wrought_aluminum_ingot,8440.0,,,,2017,9572.736812042398,9622.359037224374,1688.0,15192.0
17,9,92,refining,loss_refining,792.0,98.0,,,2017,74.09025324336667,96.98598451575603,21.69311066029381,195.23799594264432
18,9,25,refining,cast_aluminum_ingot,2350.0,,,,2017,2708.495516832088,2665.9446951362256,481.43337760793196,4332.900398471387
19,10,8,alloying_element_si,remelting,231.0,,,,2017,415.7992708089774,292.07177317740667,46.199999999999996,415.79999999999995
20,10,9,alloying_element_si,refining,110.0,,,,2017,153.97229267398785,122.66264364640243,22.0,198.0
21,12,8,alloying_element_mg,remelting,70.53,,,,2017,88.97204962158625,76.0937818238927,14.106000000000002,126.95400000000001
22,12,9,alloying_element_mg,refining,0.0,,,,2017,0.003639823343345088,0.47666130720382105,0.0,1.0
23,16,8,alloying_element_other,remelting,20.0,,,,2017,21.482909102141406,20.40545115032082,4.0,36.0
24,16,9,alloying_element_other,refining,20.0,,,,2017,21.453681253046284,20.431843613110292,4.0,36.0
25,17,18,import_scrap,eol_scrap_generated,720.0,,,,2017,719.8530510338879,717.905690566041,144.00000000000003,1296.0000000000002
26,18,93,eol_scrap_generated,export_eol_scrap,1570.0,,,,2017,1570.6987151458789,1570.871253937542,314.00000000000006,2826.0000000000005
27,18,94,eol_scrap_generated,loss_eol_scrap,1555.0,,,,2017,1703.8427210796565,1760.740179766948,311.0,2799.0
28,18,19,eol_scrap_generated,eol_scrap_recycled,1727.0,,,,2017,1935.101090907536,2283.7964085874396,345.40000000000003,3108.6
29,19,8,eol_scrap_recycled,remelting,1070.0,,,,2017,1243.75057100743,1519.3800391620493,214.0,1926.0
30,19,9,eol_scrap_recycled,refining,658.0,,,,2017,692.007301311399,765.7540476842732,131.6,1184.4
31,20,95,forming_scrap_generated,loss_forming_scrap,87.0,,,,2017,59.03066514874699,77.69912361617908,17.400000000000002,156.6
32,20,21,forming_scrap_generated,forming_scrap_recycled,2665.0,,,,2017,2722.5683867337107,2734.94812609824,533.0,4797.0
33,21,8,forming_scrap_recycled,remelting,2677.0,,,,2017,2723.9015653467463,2737.723621502674,535.4,4818.6
34,21,9,forming_scrap_recycled,refining,0.0,,,,2017,0.00041653288113186626,0.4934955725646736,0.0,1.0
35,22,96,fabrication_scrap_generated,loss_fabrication_scrap,49.0,,,,2017,33.328455432838254,45.51475004090505,9.8,88.2
36,22,23,fabrication_scrap_generated,fabrication_scrap_recycled,971.0,,,,2017,922.0268380220764,916.2152053543625,194.20000000000002,1747.8
