flow_idx,flow_label,total_precision,share_observations,share_mass_balance,n_observations,sources,obs_min,obs_max,obs_spread_pct,determined_by,posterior_mean,posterior_sd,prior_mean,prior_sd,contraction,shift_in_prior_sd
0,bauxite_mining -> bauxite,0.001922511012778059,0.7536131111792643,0.24638688882073564,2,USGS value 1; USGS value 2,229.0,229.0,0.0,multi-source,229.75935744130115,26.245435685664322,,,,
1,import_of_bauxite -> bauxite,0.0005158623628530782,0.08176765495703368,0.9182323450429662,2,USGS value 1; USGS value 2,4350.0,4360.0,0.2296211251435132,structure-determined,4367.010901627428,135.67304588544795,,,,
2,bauxite -> export_bauxite,0.7694344200120156,0.9993843770244193,0.0006156229755806745,2,USGS value 1; USGS value 2,29.0,40.0,31.884057971014492,multi-source,32.76560351526594,1.1388959025322345,,,,
3,bauxite -> bauxite_non_aluminum_use,0.001922511012778059,0.7536131111792643,0.24638688882073564,2,USGS value 1; USGS value 2,229.0,229.0,0.0,multi-source,228.89393550838406,25.87259222861077,,,,
4,bauxite -> bauxite_refining_to_alumina,0.0010094140174379156,0.003128282639717566,0.9968717173602824,2,USGS value 1; USGS value 2,4320.0,4321.0,0.023145469274389537,structure-determined,4336.114840405373,142.88323123319486,,,,
5,import_alumina -> primary_smelting_hall_hauroult_to_aluminum,0.0027591632189874473,0.16773767503285475,0.8322623249671454,2,USGS value 1; USGS value 2,1300.0,1330.0,2.2813688212927756,structure-determined,1327.3138871056449,46.49940096788062,,,,
6,bauxite_refining_to_alumina -> waste_bauxite,0.0005430115869808185,0.019220232684091315,0.9807797673159087,2,USGS value 1; USGS value 2,2376.0,2377.0,0.042078687144961074,structure-determined,2335.6094394733923,151.30209282859528,,,,
7,bauxite_refining_to_alumina -> export_alumina,0.004458009845352618,0.8805353069186046,0.11946469308139539,2,USGS value 1; USGS value 2,450.0,481.0,6.659505907626208,multi-source,464.54401849749615,15.821134804277744,,,,
8,bauxite_refining_to_alumina -> alumina_non_aluminum_use,0.0012275195585417131,0.5661374401548555,0.43386255984514455,1,USGS value 1,781.0,781.0,0.0,observation-driven,780.7912647030175,37.98213432609471,,,,
9,bauxite_refining_to_alumina -> primary_smelting_hall_hauroult_to_aluminum,0.004320046404330619,0.3451638920611201,0.6548361079388799,2,USGS value 1; USGS value 2,739.0,770.0,4.108681245858184,structure-determined,756.1078820148801,25.544351846355305,,,,
10,primary_smelting_hall_hauroult_to_aluminum -> waste_alumina,0.002313059162492289,0.007224876546588915,0.992775123453411,1,USGS value 1,1328.0,1328.0,0.0,structure-determined,1021.1103611393758,118.85993894946502,,,,
11,primary_smelting_hall_hauroult_to_aluminum -> remelting,0.002428070030964765,0.01255982135031147,0.9874401786496885,1,USGS value 1,506.0,506.0,0.0,structure-determined,774.6586423586413,97.17319522832186,,,,
12,primary_smelting_hall_hauroult_to_aluminum -> refining,0.0038552138334213394,0.03667427254960883,0.9633257274503911,1,USGS value 1,235.0,235.0,0.0,structure-determined,289.49360766408915,68.07235918344081,,,,
13,import_unwrought_aluminum_ingot -> remelting,0.00013797952667542527,0.2663671778669361,0.7336328221330639,1,USGS value 1,3299.0,3299.0,0.0,structure-determined,3777.1724436128857,152.62208854643154,,,,
14,import_unwrought_aluminum_ingot -> refining,0.0015881303784577479,0.10745421522908709,0.8925457847709128,1,USGS value 1,1531.0,1531.0,0.0,structure-determined,1618.3955502674198,74.52134516609763,,,,
15,remelting -> loss_remelting,0.00031452615350529927,0.6781625043789209,0.3218374956210791,2,USGS value 1; USGS value 2,212.0,444.2105263157895,70.77317933910811,multi-source,178.7115856067659,61.89608883853045,,,,
16,remelting -> wrought_aluminum_ingot,0.0002065026426596445,0.0020035621317538426,0.9979964378682462,1,USGS value 1,8440.0,8440.0,0.0,structure-determined,9867.833799473037,392.34166561869364,,,,
17,refining -> loss_refining,0.0022429325833329882,0.3680242172715109,0.6319757827284891,2,USGS value 1; USGS value 2,98.0,792.0,155.95505617977528,structure-determined,92.54530510694931,31.601236982579373,,,,
18,refining -> cast_aluminum_ingot,0.002942480698417396,0.0019483765642593033,0.9980516234357407,2,Other literature; USGS value 1,2350.0,3177.0,29.92581870815994,structure-determined,2555.1411502378373,92.75851691301801,,,,
19,alloying_element_si -> remelting,0.00024755239169311165,0.5910913691475624,0.4089086308524375,1,USGS value 1,231.0,231.0,0.0,observation-driven,319.87878378123855,61.58214902684293,,,,
20,alloying_element_si -> refining,0.0020627770972037078,0.3128297396356465,0.6871702603643536,1,USGS value 1,110.0,110.0,0.0,structure-determined,127.93059725772244,34.9653105366812,,,,
21,alloying_element_mg -> remelting,0.001670858644286099,0.9394165928412651,0.06058340715873494,1,USGS value 1,70.53,70.53,0.0,observation-driven,80.22139772031765,22.841129236408893,,,,
22,alloying_element_mg -> refining,7.809523548234745,0.9998184935270117,0.00018150647298829166,1,USGS value 1,0.0,0.0,0.0,observation-driven,0.28517361164098537,0.21276396618062202,,,,
23,alloying_element_other -> remelting,0.01962149148245094,0.9948410491810975,0.005158950818902393,1,USGS value 1,20.0,20.0,0.0,observation-driven,20.66703004984218,6.582993813154705,,,,
24,alloying_element_other -> refining,0.02093774424785856,0.9323002966232109,0.06769970337678913,1,USGS value 1,20.0,20.0,0.0,observation-driven,20.670075365570465,6.604208551293917,,,,
25,import_scrap -> eol_scrap_generated,0.0011484455560727194,0.6718689747124129,0.32813102528758714,1,USGS value 1,720.0,720.0,0.0,observation-driven,716.8665234020104,36.14941603308131,,,,
26,eol_scrap_generated -> export_eol_scrap,0.000539119006376716,0.30100661756711916,0.6989933824328809,1,USGS value 1,1570.0,1570.0,0.0,structure-determined,1583.516003204775,77.47295101392663,,,,
27,eol_scrap_generated -> loss_eol_scrap,0.0003890291816038557,0.03133071856586995,0.9686692814341301,1,USGS value 1,1555.0,1555.0,0.0,structure-determined,1728.5177866942345,256.5897501468303,,,,
28,eol_scrap_generated -> eol_scrap_recycled,0.003429863207772565,0.041437246661258725,0.9585627533387413,1,USGS value 1,1727.0,1727.0,0.0,structure-determined,1855.2646923220493,81.58987484393072,,,,
