flow_idx,from_node,to_node,from_node_name,to_node_name,value_1,value_2,value_3,value_4,year,map_estimate,posterior_mean,lower_bound,upper_bound
0,1,3,bauxite_mining,bauxite,229.0,229.0,,,2017,229.28686338881153,229.75935744130115,45.800000000000004,412.2
1,2,3,import_of_bauxite,bauxite,4350.0,4360.0,,,2017,4364.841120996843,4367.010901627428,870.9977037917754,7838.979334125978
2,3,85,bauxite,export_bauxite,29.0,40.0,,,2017,32.789299750305965,32.76560351526594,6.557968045882837,59.021712412945526
3,3,86,bauxite,bauxite_non_aluminum_use,229.0,229.0,,,2017,228.71313660590792,228.89393550838406,45.800000000000004,412.2
4,3,5,bauxite,bauxite_refining_to_alumina,4321.0,4320.0,,,2017,4333.502946040472,4336.114840405373,864.0999768545312,7776.89979169078
5,4,6,import_alumina,primary_smelting_hall_hauroult_to_aluminum,1330.0,1300.0,,,2017,1325.4903158480902,1327.3138871056449,262.9315678394866,2366.3841105553793
6,5,87,bauxite_refining_to_alumina,waste_bauxite,2377.0,2376.0,,,2017,2332.7456780028106,2335.6094394733923,475.2999579213147,4277.699621291832
7,5,88,bauxite_refining_to_alumina,export_alumina,481.0,450.0,,,2017,464.3525881465717,464.54401849749615,92.89378395384699,836.0440555846228
8,5,89,bauxite_refining_to_alumina,alumina_non_aluminum_use,781.0,,,,2017,780.3428495061404,780.7912647030175,156.20000000000002,1405.8
9,5,6,bauxite_refining_to_alumina,primary_smelting_hall_hauroult_to_aluminum,739.0,770.0,,,2017,756.9192869639604,756.1078820148801,150.77268461248738,1356.9541615123865
10,6,90,primary_smelting_hall_hauroult_to_aluminum,waste_alumina,1328.0,,,,2017,1028.0090657365583,1021.1103611393758,265.6,2390.4
11,6,8,primary_smelting_hall_hauroult_to_aluminum,remelting,506.0,,,,2017,772.6945916687902,774.6586423586413,101.2,910.8000000000001
12,6,9,primary_smelting_hall_hauroult_to_aluminum,refining,235.0,,,,2017,283.8891185343654,289.49360766408915,47.0,422.99999999999994
13,7,8,import_unwrought_aluminum_ingot,remelting,3299.0,,,,2017,3656.695753087741,3777.1724436128857,659.8000000000001,5938.2
14,7,9,import_unwrought_aluminum_ingot,refining,1531.0,,,,2017,1600.882834547932,1618.3955502674198,306.2,2755.8
15,8,91,remelting,loss_remelting,444.2105263157895,212.0,,,2017,193.44451811324595,178.7115856067659,51.01567630154246,459.14108671388215
16,8,24,remelting,wrought_aluminum_ingot,8440.0,,,,2017,9606.246045540538,9867.833799473037,1688.0,15192.0
17,9,92,refining,loss_refining,792.0,98.0,,,2017,94.01819455093482,92.54530510694931,21.69311066029381,195.23799594264432
18,9,25,refining,cast_aluminum_ingot,2350.0,,,,2017,2585.634326885103,2555.1411502378373,481.43337760793185,4332.900398471386
19,10,8,alloying_element_si,remelting,231.0,,,,2017,320.8437216757267,319.87878378123855,46.199999999999996,415.79999999999995
20,10,9,alloying_element_si,refining,110.0,,,,2017,128.48086462206655,127.93059725772244,22.0,198.0
21,12,8,alloying_element_mg,remelting,70.53,,,,2017,78.9054993404598,80.22139772031765,14.106000000000002,126.95400000000001
22,12,9,alloying_element_mg,refining,0.0,,,,2017,0.0015275078466110432,0.28517361164098537,0.0,1.0
23,16,8,alloying_element_other,remelting,20.0,,,,2017,20.673476103494163,20.66703004984218,4.0,36.0
24,16,9,alloying_element_other,refining,20.0,,,,2017,20.61092404071193,20.670075365570465,4.0,36.0
25,17,18,import_scrap,eol_scrap_generated,720.0,,,,2017,717.4039177355664,716.8665234020104,144.00000000000003,1296.0000000000002
26,18,93,eol_scrap_generated,export_eol_scrap,1570.0,,,,2017,1582.343888064958,1583.516003204775,314.00000000000006,2826.0000000000005
27,18,94,eol_scrap_generated,loss_eol_scrap,1555.0,,,,2017,1719.3464229977685,1728.5177866942345,311.0,2799.0
28,18,19,eol_scrap_generated,eol_scrap_recycled,1727.0,,,,2017,1827.6214159353892,1855.2646923220493,345.40000000000003,3108.6
29,19,8,eol_scrap_recycled,remelting,1070.0,,,,2017,1194.4722795538646,1281.6187324177479,214.0,1926.0
30,19,9,eol_scrap_recycled,refining,658.0,,,,2017,637.3737948376466,579.4840603483176,131.6,1184.4
31,20,95,forming_scrap_generated,loss_forming_scrap,87.0,,,,2017,74.3021017022619,72.12492569538782,17.400000000000002,156.6
32,20,21,forming_scrap_generated,forming_scrap_recycled,2665.0,,,,2017,2694.146639146288,2683.468431071111,533.0,4797.0
33,21,8,forming_scrap_recycled,remelting,2677.0,,,,2017,2703.552874490717,2695.9666966915647,535.4,4818.6
34,21,9,forming_scrap_recycled,refining,0.0,,,,2017,8.068467827339977e-05,0.3588403353185654,0.0,1.0
35,22,96,fabrication_scrap_generated,loss_fabrication_scrap,49.0,,,,2017,38.026839853292344,39.0850176290738,9.8,88.2
36,22,23,fabrication_scrap_generated,fabrication_scrap_recycled,971.0,,,,2017,920.8687535444913,919.8929393277652,194.20000000000002,1747.8
37,23,8,fabrication_scrap_recycled,remelting,922.0,,,,2017,921.9806494154393,920.8736551423776,184.4,1659.6000000000001
38,23,9,fabrication_scrap_recycled,refining,0.0,,,,2017,8.017289999983282e-05,0.3590938913079034,0.0,1.0
39,24,42,wrought_aluminum_ingot,1xxx,1728.0,,,,2017,1530.532224720019,1561.4325596075148,372.2238399166158,3350.014559249542
40,24,43,wrought_aluminum_ingot,2xxx,238.0,,,,2017,151.73842096644944,153.6199976458637,23.100066347206326,207.90059712485694
41,24,44,wrought_aluminum_ingot,3xxx,2848.0,,,,2017,1800.2607816182624,1831.1777791726113,338.81706691076937,3049.353602196924
42,24,45,wrought_aluminum_ingot,4xxx,117.0,,,,2017,82.88622335755188,83.179961475167,13.521603471956613,121.69443124760951
43,24,46,wrought_aluminum_ingot,5xxx,2762.0,,,,2017,2410.676889229989,2450.244813957893,569.2856145189696,5123.570530670726
44,24,47,wrought_aluminum_ingot,6xxx,3218.0,,,,2017,3163.814437203936,3189.3030759818603,673.649716292559,6062.847446633031
45,24,48,wrought_aluminum_ingot,7xxx,887.0,,,,2017,511.62164993367224,512.7938554832836,68.26851445759178,614.416630118326
46,24,49,wrought_aluminum_ingot,8xxx,94.0,,,,2017,84.68614026925574,80.19213918400781,20.865797005336404,187.79217304802765
47,25,26,cast_aluminum_ingot,36x,139.9873943233654,,,,2017,142.20398698467682,142.1614412488496,27.997478864673084,251.97730978205774
48,25,27,cast_aluminum_ingot,38x,1369.275605676634,,,,2017,1278.0944227604245,1253.3340666945528,273.85512113532684,2464.696090217941
49,25,28,cast_aluminum_ingot,2xx,5.802579327688045,,,,2017,5.779991732157611,5.778443544202136,1.1605158655376093,10.444642789838483
50,25,29,cast_aluminum_ingot,3xx,567.7059997361048,,,,2017,554.5254232998817,551.5401104280181,113.54119994722096,1021.8707995249887
51,25,30,cast_aluminum_ingot,4xx,7.889786477696971,,,,2017,7.8585075381281095,7.8533873086734385,1.5779572955393943,14.201615659854548
52,25,31,cast_aluminum_ingot,5xx,44.9000575912573,,,,2017,44.664855962885085,44.605054396765716,8.98001151825146,80.82010366426314
53,25,32,cast_aluminum_ingot,7xx,8.033237140927826,,,,2017,8.001349926291223,8.009263814213693,1.6066474281855652,14.459826853670087
54,25,33,cast_aluminum_ingot,other,289.7703397263251,,,,2017,280.3390368172089,279.8610564570905,57.954067945265024,521.5866115073852
55,26,34,36x,die_cast,147.475924987329,,,,2017,142.25288169893835,142.199171297928,29.4951849974658,265.4566649771922
56,27,34,38x,die_cast,1442.524075012671,,,,2017,1279.3652968438203,1255.218126528211,288.5048150025342,2596.5433350228077
57,28,36,2xx,sand_cast,1.923056763564638,,,,2017,1.9252290164026802,1.9298419597180838,0.38461135271292757,3.4615021744163483
58,29,36,3xx,sand_cast,188.1457884253907,,,,2017,186.63946852423962,186.19678611070177,37.629157685078134,338.6624191657032
