flow_idx,flow_label,source,value,coverage,frequency,spatial,sigma,relative_sigma
0,bauxite_mining -> bauxite,USGS value 1,229.0,1.0,2.0,4.0,37.15406674107149,0.16224483293044317
0,bauxite_mining -> bauxite,USGS value 2,229.0,1.0,2.0,4.0,37.15406674107149,0.16224483293044317
1,import_of_bauxite -> bauxite,USGS value 1,4350.0,4.0,3.0,4.0,217.5,0.05
1,import_of_bauxite -> bauxite,USGS value 2,4360.0,4.0,3.0,4.0,218.0,0.05
2,bauxite -> export_bauxite,USGS value 1,29.0,4.0,3.0,4.0,1.4085485317857687,0.04857063902709547
2,bauxite -> export_bauxite,USGS value 2,40.0,4.0,3.0,4.0,1.9428255610838188,0.04857063902709547
3,bauxite -> bauxite_non_aluminum_use,USGS value 1,229.0,1.0,2.0,4.0,37.15406674107149,0.16224483293044317
3,bauxite -> bauxite_non_aluminum_use,USGS value 2,229.0,1.0,2.0,4.0,37.15406674107149,0.16224483293044317
4,bauxite -> bauxite_refining_to_alumina,USGS value 1,4321.0,1.0,1.0,4.0,795.9350052812556,0.18420157493201936
4,bauxite -> bauxite_refining_to_alumina,USGS value 2,4320.0,1.0,1.0,4.0,795.7508037063236,0.18420157493201936
5,import_alumina -> primary_smelting_hall_hauroult_to_aluminum,USGS value 1,1330.0,4.0,3.0,4.0,66.5,0.05
5,import_alumina -> primary_smelting_hall_hauroult_to_aluminum,USGS value 2,1300.0,4.0,3.0,4.0,65.0,0.05
6,bauxite_refining_to_alumina -> waste_bauxite,USGS value 1,2377.0,1.0,1.0,4.0,437.84714361341,0.18420157493201936
6,bauxite_refining_to_alumina -> waste_bauxite,USGS value 2,2376.0,1.0,1.0,4.0,437.662942038478,0.18420157493201936
7,bauxite_refining_to_alumina -> export_alumina,USGS value 1,481.0,4.0,3.0,4.0,23.36247737203292,0.04857063902709547
7,bauxite_refining_to_alumina -> export_alumina,USGS value 2,450.0,4.0,3.0,4.0,21.856787562192963,0.04857063902709547
8,bauxite_refining_to_alumina -> alumina_non_aluminum_use,USGS value 1,781.0,4.0,3.0,4.0,37.933669080161565,0.04857063902709547
9,bauxite_refining_to_alumina -> primary_smelting_hall_hauroult_to_aluminum,USGS value 1,739.0,4.0,3.0,4.0,35.893702241023554,0.04857063902709547
9,bauxite_refining_to_alumina -> primary_smelting_hall_hauroult_to_aluminum,USGS value 2,770.0,4.0,3.0,4.0,37.39939205086351,0.04857063902709547
10,primary_smelting_hall_hauroult_to_aluminum -> waste_alumina,USGS value 1,1328.0,1.0,1.0,4.0,244.61969150972172,0.18420157493201936
11,primary_smelting_hall_hauroult_to_aluminum -> remelting,USGS value 1,506.0,1.0,1.0,3.0,181.0829932539307,0.35787152816982354
12,primary_smelting_hall_hauroult_to_aluminum -> refining,USGS value 1,235.0,1.0,1.0,3.0,84.09980911990853,0.35787152816982354
13,import_unwrought_aluminum_ingot -> remelting,USGS value 1,3299.0,1.0,1.0,3.0,164.95000000000002,0.05
14,import_unwrought_aluminum_ingot -> refining,USGS value 1,1531.0,1.0,1.0,3.0,76.55,0.049999999999999996
15,remelting -> loss_remelting,USGS value 1,444.2105263157895,1.0,1.0,3.0,158.9702998817532,0.35787152816982354
15,remelting -> loss_remelting,USGS value 2,212.0,1.0,1.0,3.0,75.8687639720026,0.3578715281698236
16,remelting -> wrought_aluminum_ingot,USGS value 1,8440.0,1.0,1.0,4.0,1554.6612924262433,0.18420157493201936
17,refining -> loss_refining,USGS value 1,792.0,1.0,1.0,3.0,283.43425031050026,0.35787152816982354
17,refining -> loss_refining,USGS value 2,98.0,1.0,1.0,3.0,35.07140976064271,0.35787152816982354
18,refining -> cast_aluminum_ingot,Other literature,3177.0,1.0,1.0,1.0,1588.5,0.5
18,refining -> cast_aluminum_ingot,USGS value 1,2350.0,1.0,1.0,4.0,432.8737010902455,0.18420157493201936
19,alloying_element_si -> remelting,USGS value 1,231.0,1.0,1.0,3.0,82.66832300722923,0.35787152816982354
20,alloying_element_si -> refining,USGS value 1,110.0,1.0,1.0,3.0,39.365868098680586,0.35787152816982354
21,alloying_element_mg -> remelting,USGS value 1,70.53,1.0,1.0,3.0,25.240678881817654,0.35787152816982354
22,alloying_element_mg -> refining,USGS value 1,0.0,1.0,1.0,3.0,0.35787152816982354,357871528.1698235
23,alloying_element_other -> remelting,USGS value 1,20.0,1.0,1.0,3.0,7.1574305633964705,0.35787152816982354
24,alloying_element_other -> refining,USGS value 1,20.0,1.0,1.0,3.0,7.1574305633964705,0.35787152816982354
25,import_scrap -> eol_scrap_generated,USGS value 1,720.0,4.0,3.0,4.0,36.0,0.05
26,eol_scrap_generated -> export_eol_scrap,USGS value 1,1570.0,4.0,3.0,4.0,78.5,0.05
27,eol_scrap_generated -> loss_eol_scrap,USGS value 1,1555.0,1.0,1.0,4.0,286.4334490192901,0.18420157493201936
