flow_idx,from_node,to_node,from_node_name,to_node_name,value_1,value_2,value_3,value_4,year,map_estimate,posterior_mean,lower_bound,upper_bound
0,1,3,bauxite_mining,bauxite,229.0,229.0,,,2017,229.39907199992484,228.7747202021957,45.800000000000004,412.2
1,2,3,import_of_bauxite,bauxite,4350.0,4360.0,,,2017,4355.845298950724,4361.54652678897,870.9977037917754,7838.979334125978
2,3,85,bauxite,export_bauxite,29.0,40.0,,,2017,32.78908605792505,32.74835064273242,6.557968045882837,59.021712412945526
3,3,86,bauxite,bauxite_non_aluminum_use,229.0,229.0,,,2017,228.6009280048006,228.84558739145712,45.800000000000004,412.2
4,3,5,bauxite,bauxite_refining_to_alumina,4321.0,4320.0,,,2017,4323.930351829315,4328.176070607931,864.0999768545312,7776.89979169078
5,4,6,import_alumina,primary_smelting_hall_hauroult_to_aluminum,1330.0,1300.0,,,2017,1315.8666669368536,1313.6017332078802,262.9315678394866,2366.3841105553793
6,5,87,bauxite_refining_to_alumina,waste_bauxite,2377.0,2376.0,,,2017,2320.057107048801,2316.1526144357335,475.2999579213147,4277.699621291832
7,5,88,bauxite_refining_to_alumina,export_alumina,481.0,450.0,,,2017,464.3187149989094,464.3051833746421,92.89378395384699,836.0440555846228
8,5,89,bauxite_refining_to_alumina,alumina_non_aluminum_use,781.0,,,,2017,780.1524946856379,788.6336635100165,156.20000000000002,1405.8
9,5,6,bauxite_refining_to_alumina,primary_smelting_hall_hauroult_to_aluminum,739.0,770.0,,,2017,759.4709012375906,758.311308960218,150.77268461248738,1356.9541615123865
10,6,90,primary_smelting_hall_hauroult_to_aluminum,waste_alumina,1328.0,,,,2017,792.3942319820665,1057.322583482124,265.6,2390.4
11,6,8,primary_smelting_hall_hauroult_to_aluminum,remelting,506.0,,,,2017,910.7994329596435,729.6622603305666,101.2,910.8000000000001
12,6,9,primary_smelting_hall_hauroult_to_aluminum,refining,235.0,,,,2017,372.3848513631958,285.2733776032416,47.0,422.99999999999994
13,7,8,import_unwrought_aluminum_ingot,remelting,3299.0,,,,2017,3348.2253894942187,3456.6580929331576,659.8000000000001,5938.2
14,7,9,import_unwrought_aluminum_ingot,refining,1531.0,,,,2017,1541.3939486224676,1560.9977105243959,306.2,2755.8
15,8,91,remelting,loss_remelting,444.2105263157895,212.0,,,2017,119.36768582429107,184.12489713410096,51.01567630154246,459.14108671388215
16,8,24,remelting,wrought_aluminum_ingot,8440.0,,,,2017,9572.046602637116,9615.53795331781,1688.0,15192.0
17,9,92,refining,loss_refining,792.0,98.0,,,2017,74.09081954693717,98.13057348283667,21.69311066029381,195.23799594264432
18,9,25,refining,cast_aluminum_ingot,2350.0,,,,2017,2708.4967019119945,2660.0910383434716,481.43337760793185,4332.900398471386
19,10,8,alloying_element_si,remelting,231.0,,,,2017,415.79772395130226,291.01428116581917,46.199999999999996,415.79999999999995
20,10,9,alloying_element_si,refining,110.0,,,,2017,153.97180237978787,121.460897678245,22.0,198.0
21,12,8,alloying_element_mg,remelting,70.53,,,,2017,88.97162092658678,76.03157438594906,14.106000000000002,126.95400000000001
22,12,9,alloying_element_mg,refining,0.0,,,,2017,0.003772610613037221,0.47728417805253465,0.0,1.0
23,16,8,alloying_element_other,remelting,20.0,,,,2017,21.482837164278294,20.413209647061258,4.0,36.0
24,16,9,alloying_element_other,refining,20.0,,,,2017,21.453716555140044,20.419749181268443,4.0,36.0
25,17,18,import_scrap,eol_scrap_generated,720.0,,,,2017,719.8530347305854,717.9775691941709,144.00000000000003,1296.0000000000002
26,18,93,eol_scrap_generated,export_eol_scrap,1570.0,,,,2017,1570.6985608560399,1572.1270862973752,314.00000000000006,2826.0000000000005
27,18,94,eol_scrap_generated,loss_eol_scrap,1555.0,,,,2017,1703.842739164276,1760.252483868183,311.0,2799.0
28,18,19,eol_scrap_generated,eol_scrap_recycled,1727.0,,,,2017,1935.1019160129124,2282.467037138332,345.40000000000003,3108.6
29,19,8,eol_scrap_recycled,remelting,1070.0,,,,2017,1243.7531950730577,1519.2855528410726,214.0,1926.0
30,19,9,eol_scrap_recycled,refining,658.0,,,,2017,692.0054174150124,764.402836851495,131.6,1184.4
31,20,95,forming_scrap_generated,loss_forming_scrap,87.0,,,,2017,59.03222975827348,77.02916250110302,17.400000000000002,156.6
32,20,21,forming_scrap_generated,forming_scrap_recycled,2665.0,,,,2017,2721.883161339973,2736.8347681219225,533.0,4797.0
33,21,8,forming_scrap_recycled,remelting,2677.0,,,,2017,2723.214811620623,2740.448694853075,535.4,4818.6
34,21,9,forming_scrap_recycled,refining,0.0,,,,2017,0.0009482168447822369,0.49444641541734113,0.0,1.0
35,22,96,fabrication_scrap_generated,loss_fabrication_scrap,49.0,,,,2017,33.32888618296039,45.99244001229356,9.8,88.2
36,22,23,fabrication_scrap_generated,fabrication_scrap_recycled,971.0,,,,2017,922.0259959658327,918.7829381466623,194.20000000000002,1747.8
37,23,8,fabrication_scrap_recycled,remelting,922.0,,,,2017,922.1788846369026,918.4910541775616,184.4,1659.6000000000001
38,23,9,fabrication_scrap_recycled,refining,0.0,,,,2017,0.0009448792046540888,0.49040331445780866,0.0,1.0
39,24,42,wrought_aluminum_ingot,1xxx,1728.0,,,,2017,1522.6047920708872,1457.4667568686764,372.2238399166158,3350.014559249542
