flow_idx,flow_label,source,value,coverage,frequency,spatial,sigma,relative_sigma
0,bauxite_mining -> bauxite,USGS value 1,229.0,1.0,2.0,4.0,297.2325339285719,1.2979586634435454
0,bauxite_mining -> bauxite,USGS value 2,229.0,1.0,2.0,4.0,297.2325339285719,1.2979586634435454
1,import_of_bauxite -> bauxite,USGS value 1,4350.0,4.0,3.0,4.0,217.5,0.05
1,import_of_bauxite -> bauxite,USGS value 2,4360.0,4.0,3.0,4.0,218.0,0.05
2,bauxite -> export_bauxite,USGS value 1,29.0,4.0,3.0,4.0,11.26838825428615,0.38856511221676376
2,bauxite -> export_bauxite,USGS value 2,40.0,4.0,3.0,4.0,15.54260448867055,0.38856511221676376
3,bauxite -> bauxite_non_aluminum_use,USGS value 1,229.0,1.0,2.0,4.0,297.2325339285719,1.2979586634435454
3,bauxite -> bauxite_non_aluminum_use,USGS value 2,229.0,1.0,2.0,4.0,297.2325339285719,1.2979586634435454
4,bauxite -> bauxite_refining_to_alumina,USGS value 1,4321.0,1.0,1.0,4.0,6367.480042250045,1.4736125994561549
4,bauxite -> bauxite_refining_to_alumina,USGS value 2,4320.0,1.0,1.0,4.0,6366.006429650589,1.4736125994561549
5,import_alumina -> primary_smelting_hall_hauroult_to_aluminum,USGS value 1,1330.0,4.0,3.0,4.0,66.5,0.05
5,import_alumina -> primary_smelting_hall_hauroult_to_aluminum,USGS value 2,1300.0,4.0,3.0,4.0,65.0,0.05
6,bauxite_refining_to_alumina -> waste_bauxite,USGS value 1,2377.0,1.0,1.0,4.0,3502.77714890728,1.4736125994561549
6,bauxite_refining_to_alumina -> waste_bauxite,USGS value 2,2376.0,1.0,1.0,4.0,3501.303536307824,1.4736125994561549
7,bauxite_refining_to_alumina -> export_alumina,USGS value 1,481.0,4.0,3.0,4.0,186.89981897626336,0.38856511221676376
7,bauxite_refining_to_alumina -> export_alumina,USGS value 2,450.0,4.0,3.0,4.0,174.8543004975437,0.38856511221676376
8,bauxite_refining_to_alumina -> alumina_non_aluminum_use,USGS value 1,781.0,4.0,3.0,4.0,303.4693526412925,0.38856511221676376
9,bauxite_refining_to_alumina -> primary_smelting_hall_hauroult_to_aluminum,USGS value 1,739.0,4.0,3.0,4.0,287.14961792818843,0.38856511221676376
9,bauxite_refining_to_alumina -> primary_smelting_hall_hauroult_to_aluminum,USGS value 2,770.0,4.0,3.0,4.0,299.1951364069081,0.38856511221676376
