flow_idx,flow_label,total_precision,share_observations,share_mass_balance,n_observations,sources,obs_min,obs_max,obs_spread_pct,determined_by,posterior_mean,posterior_sd,prior_mean,prior_sd,contraction,shift_in_prior_sd
0,bauxite_mining -> bauxite,0.00216016036895127,0.7808250880785661,0.21917491192143396,2,USGS value 1; USGS value 2,229.0,229.0,0.0,multi-source,229.1253602055176,24.43014571634676,,,,
1,import_of_bauxite -> bauxite,0.0005156338142921575,0.0818038974984503,0.9181961025015497,2,USGS value 1; USGS value 2,4350.0,4360.0,0.2296211251435132,structure-determined,4368.090644736713,132.15437357704036,,,,
2,bauxite -> export_bauxite,1.048639618417566,0.9995485074659725,0.00045149253402758523,2,USGS value 1; USGS value 2,29.0,40.0,31.884057971014492,multi-source,32.79838460571934,0.9718596250476349,,,,
3,bauxite -> bauxite_non_aluminum_use,0.00216016036895127,0.7808250880785661,0.21917491192143396,2,USGS value 1; USGS value 2,229.0,229.0,0.0,multi-source,228.41823979608304,24.807728988286737,,,,
4,bauxite -> bauxite_refining_to_alumina,0.0010094230983329305,0.0036300177858417807,0.9963699822141583,2,USGS value 1; USGS value 2,4320.0,4321.0,0.023145469274389537,structure-determined,4337.561913826348,139.31809376287694,,,,
5,import_alumina -> primary_smelting_hall_hauroult_to_aluminum,0.0027557178131138275,0.16794739330227818,0.8320526066977219,2,USGS value 1; USGS value 2,1300.0,1330.0,2.2813688212927756,structure-determined,1327.9961176118782,46.18000101875675,,,,
6,bauxite_refining_to_alumina -> waste_bauxite,0.0005444167600199714,0.022245538671607678,0.9777544613283923,2,USGS value 1; USGS value 2,2376.0,2377.0,0.042078687144961074,structure-determined,2337.796209884581,145.31811462356436,,,,
7,bauxite_refining_to_alumina -> export_alumina,0.005883044928146611,0.9095186383186142,0.09048136168138576,2,USGS value 1; USGS value 2,450.0,481.0,6.659505907626208,multi-source,464.2157860131128,13.446561856982585,,,,
8,bauxite_refining_to_alumina -> alumina_non_aluminum_use,0.0014795813351121483,0.6402320688297083,0.3597679311702917,1,USGS value 1,781.0,781.0,0.0,observation-driven,780.3898064933948,32.26416311314509,,,,
9,bauxite_refining_to_alumina -> primary_smelting_hall_hauroult_to_aluminum,0.004857751094300658,0.4184123371469467,0.5815876628530533,2,USGS value 1; USGS value 2,739.0,770.0,4.108681245858184,structure-determined,756.0674799790391,22.164544448577466,,,,
10,primary_smelting_hall_hauroult_to_aluminum -> waste_alumina,0.002312294245296504,0.008386499949668579,0.9916135000503314,1,USGS value 1,1328.0,1328.0,0.0,structure-determined,1025.6797827805267,116.01924019918197,,,,
11,primary_smelting_hall_hauroult_to_aluminum -> remelting,0.0024246734237178976,0.012732217185436774,0.9872677828145633,1,USGS value 1,506.0,506.0,0.0,structure-determined,773.6108427252751,96.50381518612869,,,,
12,primary_smelting_hall_hauroult_to_aluminum -> refining,0.003865402039032953,0.03702780161194509,0.9629721983880548,1,USGS value 1,235.0,235.0,0.0,structure-determined,287.69375671660634,69.13573612124503,,,,
13,import_unwrought_aluminum_ingot -> remelting,0.00013765298248260785,0.2669990614158494,0.7330009385841507,1,USGS value 1,3299.0,3299.0,0.0,structure-determined,3800.050184760083,150.8825552084759,,,,
14,import_unwrought_aluminum_ingot -> refining,0.0016000238129551772,0.10665547732284343,0.8933445226771566,1,USGS value 1,1531.0,1531.0,0.0,structure-determined,1621.1318243421838,73.2503914612283,,,,
15,remelting -> loss_remelting,0.00031682487933298474,0.6815282765321816,0.31847172346781827,2,USGS value 1; USGS value 2,212.0,444.2105263157895,70.77317933910811,multi-source,176.39774159731505,61.76521591914392,,,,
16,remelting -> wrought_aluminum_ingot,0.0002058038388020998,0.002332822162487892,0.9976671778375121,1,USGS value 1,8440.0,8440.0,0.0,structure-determined,9876.64808148235,387.4711651254582,,,,
17,refining -> loss_refining,0.0022649856049575512,0.36892644865912283,0.6310735513408771,2,USGS value 1; USGS value 2,98.0,792.0,155.95505617977528,structure-determined,91.79036613735299,31.72552970398646,,,,
18,refining -> cast_aluminum_ingot,0.0029673827874554894,0.0022204960273115994,0.9977795039726884,2,Other literature; USGS value 1,2350.0,3177.0,29.92581870815994,structure-determined,2547.8017874281873,94.3000379601745,,,,
19,alloying_element_si -> remelting,0.0002490268121402272,0.5948236878933243,0.40517631210667576,1,USGS value 1,231.0,231.0,0.0,observation-driven,322.3774194062341,60.44249037849573,,,,
20,alloying_element_si -> refining,0.0020826127857632415,0.31366381728388054,0.6863361827161195,1,USGS value 1,110.0,110.0,0.0,structure-determined,129.28625917585958,34.28785893011319,,,,
21,alloying_element_mg -> remelting,0.0016898509548810168,0.9402907309267617,0.05970926907323824,1,USGS value 1,70.53,70.53,0.0,observation-driven,79.26253901998838,22.994569233660354,,,,
22,alloying_element_mg -> refining,7.905636715820707,0.9998191957762749,0.00018080422372508922,1,USGS value 1,0.0,0.0,0.0,observation-driven,0.2790421306879726,0.2095840873805021,,,,
23,alloying_element_other -> remelting,0.019861418123636787,0.9949198106232615,0.005080189376738404,1,USGS value 1,20.0,20.0,0.0,observation-driven,21.015311256487607,6.5611364716576075,,,,
24,alloying_element_other -> refining,0.021189890867734654,0.9325446025947685,0.0674553974052315,1,USGS value 1,20.0,20.0,0.0,observation-driven,20.82489218429821,6.50217767021117,,,,
25,import_scrap -> eol_scrap_generated,0.001154169267095919,0.6685370684085972,0.3314629315914027,1,USGS value 1,720.0,720.0,0.0,observation-driven,717.3798926407044,35.752173965266834,,,,
26,eol_scrap_generated -> export_eol_scrap,0.0005448427173999154,0.2978444666563999,0.7021555333436001,1,USGS value 1,1570.0,1570.0,0.0,structure-determined,1583.2402017037818,78.61617570559343,,,,
27,eol_scrap_generated -> loss_eol_scrap,0.000396707904235459,0.035652366035919335,0.9643476339640807,1,USGS value 1,1555.0,1555.0,0.0,structure-determined,1723.5241676811204,244.00295858300973,,,,
28,eol_scrap_generated -> eol_scrap_recycled,0.0035728577223371164,0.05422230036169255,0.9457776996383074,1,USGS value 1,1727.0,1727.0,0.0,structure-determined,1827.3994924567348,67.81204608899682,,,,
29,eol_scrap_recycled -> remelting,0.003104368435111255,0.0022239115473103106,0.9977760884526897,1,USGS value 1,1070.0,1070.0,0.0,structure-determined,1263.2322922078479,130.42750344535202,,,,
30,eol_scrap_recycled -> refining,0.004444193376645565,0.004107840658403657,0.9958921593415965,1,USGS value 1,658.0,658.0,0.0,structure-determined,569.7472428857614,119.15079141691812,,,,
31,forming_scrap_generated -> loss_forming_scrap,0.002384867712788245,0.43788041894662105,0.562119581053379,1,USGS value 1,87.0,87.0,0.0,structure-determined,72.4979193052194,27.08313876336798,,,,
32,forming_scrap_generated -> forming_scrap_recycled,0.0027529651722085907,0.00040426224203443846,0.9995957377579656,1,USGS value 1,2665.0,2665.0,0.0,structure-determined,2676.728421595184,348.99652368798456,,,,
33,forming_scrap_recycled -> remelting,0.001512729343947813,0.00036897931266689245,0.9996310206873331,1,USGS value 1,2677.0,2677.0,0.0,structure-determined,2689.2839730588416,350.1570785394969,,,,
34,forming_scrap_recycled -> refining,4.002840643922212,0.9992903429901648,0.000709657009835064,1,USGS value 1,0.0,0.0,0.0,observation-driven,0.36233507783958496,0.2457440218633634,,,,
35,fabrication_scrap_generated -> loss_fabrication_scrap,0.014251565842273824,0.23099553242994647,0.7690044675700535,1,USGS value 1,49.0,49.0,0.0,structure-determined,36.93948439975873,14.487426297946103,,,,
36,fabrication_scrap_generated -> fabrication_scrap_recycled,0.023358236780610313,0.026236132730528133,0.973763867269472,1,USGS value 1,971.0,971.0,0.0,structure-determined,921.6147267606319,27.158882639353816,,,,
37,fabrication_scrap_recycled -> remelting,0.011891494360211426,0.0003956960500049324,0.9996043039499951,1,USGS value 1,922.0,922.0,0.0,structure-determined,922.524649388173,28.41690860365128,,,,
38,fabrication_scrap_recycled -> refining,4.0132152616869625,0.9967070638315555,0.0032929361684444613,1,USGS value 1,0.0,0.0,0.0,observation-driven,0.3583456940095568,0.24486874902039668,,,,
39,wrought_aluminum_ingot -> 1xxx,0.00434220798949393,0.0007784335772019533,0.9992215664227981,2,Other literature; USGS value 1,1728.0,2336.0,29.921259842519685,structure-determined,1558.4993214587435,304.6084653831643,,,,
