flow_idx,flow_label,source,value,coverage,frequency,spatial,sigma,relative_sigma
0,bauxite_mining -> bauxite,USGS value 1,229.0,1.0,2.0,4.0,34.43460625309392,0.15036945962049747
0,bauxite_mining -> bauxite,USGS value 2,229.0,1.0,2.0,4.0,34.43460625309392,0.15036945962049747
1,import_of_bauxite -> bauxite,USGS value 1,4350.0,4.0,3.0,4.0,217.5,0.05
1,import_of_bauxite -> bauxite,USGS value 2,4360.0,4.0,3.0,4.0,218.0,0.05
2,bauxite -> export_bauxite,USGS value 1,29.0,4.0,3.0,4.0,1.2064486173701043,0.04160167646103808
2,bauxite -> export_bauxite,USGS value 2,40.0,4.0,3.0,4.0,1.6640670584415231,0.04160167646103808
3,bauxite -> bauxite_non_aluminum_use,USGS value 1,229.0,1.0,2.0,4.0,34.43460625309392,0.15036945962049747
3,bauxite -> bauxite_non_aluminum_use,USGS value 2,229.0,1.0,2.0,4.0,34.43460625309392,0.15036945962049747
4,bauxite -> bauxite_refining_to_alumina,USGS value 1,4321.0,1.0,1.0,4.0,738.8806065590009,0.17099759466766973
4,bauxite -> bauxite_refining_to_alumina,USGS value 2,4320.0,1.0,1.0,4.0,738.7096089643333,0.17099759466766973
5,import_alumina -> primary_smelting_hall_hauroult_to_aluminum,USGS value 1,1330.0,4.0,3.0,4.0,66.5,0.05
5,import_alumina -> primary_smelting_hall_hauroult_to_aluminum,USGS value 2,1300.0,4.0,3.0,4.0,65.0,0.05
6,bauxite_refining_to_alumina -> waste_bauxite,USGS value 1,2377.0,1.0,1.0,4.0,406.46128252505093,0.17099759466766973
6,bauxite_refining_to_alumina -> waste_bauxite,USGS value 2,2376.0,1.0,1.0,4.0,406.2902849303833,0.17099759466766973
7,bauxite_refining_to_alumina -> export_alumina,USGS value 1,481.0,4.0,3.0,4.0,20.010406377759317,0.04160167646103808
7,bauxite_refining_to_alumina -> export_alumina,USGS value 2,450.0,4.0,3.0,4.0,18.720754407467137,0.04160167646103808
8,bauxite_refining_to_alumina -> alumina_non_aluminum_use,USGS value 1,781.0,4.0,3.0,4.0,32.49090931607074,0.04160167646103808
9,bauxite_refining_to_alumina -> primary_smelting_hall_hauroult_to_aluminum,USGS value 1,739.0,4.0,3.0,4.0,30.74363890470714,0.04160167646103808
9,bauxite_refining_to_alumina -> primary_smelting_hall_hauroult_to_aluminum,USGS value 2,770.0,4.0,3.0,4.0,32.033290874999324,0.04160167646103808
10,primary_smelting_hall_hauroult_to_aluminum -> waste_alumina,USGS value 1,1328.0,1.0,1.0,4.0,227.0848057186654,0.17099759466766973
11,primary_smelting_hall_hauroult_to_aluminum -> remelting,USGS value 1,506.0,1.0,1.0,3.0,179.9788012071972,0.3556893304490063
12,primary_smelting_hall_hauroult_to_aluminum -> refining,USGS value 1,235.0,1.0,1.0,3.0,83.58699265551648,0.3556893304490063
13,import_unwrought_aluminum_ingot -> remelting,USGS value 1,3299.0,1.0,1.0,3.0,164.95000000000002,0.05
14,import_unwrought_aluminum_ingot -> refining,USGS value 1,1531.0,1.0,1.0,3.0,76.55,0.049999999999999996
15,remelting -> loss_remelting,USGS value 1,444.2105263157895,1.0,1.0,3.0,158.00094468366385,0.3556893304490063
15,remelting -> loss_remelting,USGS value 2,212.0,1.0,1.0,3.0,75.40613805518933,0.3556893304490063
16,remelting -> wrought_aluminum_ingot,USGS value 1,8440.0,1.0,1.0,4.0,1443.2196989951326,0.17099759466766973
17,refining -> loss_refining,USGS value 1,792.0,1.0,1.0,3.0,281.705949715613,0.3556893304490063
17,refining -> loss_refining,USGS value 2,98.0,1.0,1.0,3.0,34.85755438400262,0.3556893304490063
18,refining -> cast_aluminum_ingot,Other literature,3177.0,1.0,1.0,1.0,1588.5,0.5
18,refining -> cast_aluminum_ingot,USGS value 1,2350.0,1.0,1.0,4.0,401.8443474690239,0.17099759466766973
19,alloying_element_si -> remelting,USGS value 1,231.0,1.0,1.0,3.0,82.16423533372046,0.3556893304490063
20,alloying_element_si -> refining,USGS value 1,110.0,1.0,1.0,3.0,39.12582634939069,0.3556893304490063
21,alloying_element_mg -> remelting,USGS value 1,70.53,1.0,1.0,3.0,25.086768476568416,0.3556893304490063
22,alloying_element_mg -> refining,USGS value 1,0.0,1.0,1.0,3.0,0.3556893304490063,355689330.44900626
23,alloying_element_other -> remelting,USGS value 1,20.0,1.0,1.0,3.0,7.113786608980126,0.3556893304490063
24,alloying_element_other -> refining,USGS value 1,20.0,1.0,1.0,3.0,7.113786608980126,0.3556893304490063
25,import_scrap -> eol_scrap_generated,USGS value 1,720.0,4.0,3.0,4.0,36.0,0.05
26,eol_scrap_generated -> export_eol_scrap,USGS value 1,1570.0,4.0,3.0,4.0,78.5,0.05
27,eol_scrap_generated -> loss_eol_scrap,USGS value 1,1555.0,1.0,1.0,4.0,265.9012597082264,0.1709975946676697
28,eol_scrap_generated -> eol_scrap_recycled,USGS value 1,1727.0,4.0,3.0,4.0,71.84609524821276,0.04160167646103808
29,eol_scrap_recycled -> remelting,USGS value 1,1070.0,1.0,1.0,3.0,380.58758358043673,0.3556893304490063
30,eol_scrap_recycled -> refining,USGS value 1,658.0,1.0,1.0,3.0,234.04357943544613,0.3556893304490063
31,forming_scrap_generated -> loss_forming_scrap,USGS value 1,87.0,1.0,1.0,3.0,30.944971749063548,0.3556893304490063
32,forming_scrap_generated -> forming_scrap_recycled,USGS value 1,2665.0,1.0,1.0,3.0,947.9120656466018,0.3556893304490063
33,forming_scrap_recycled -> remelting,USGS value 1,2677.0,1.0,1.0,1.0,1338.5,0.5
34,forming_scrap_recycled -> refining,USGS value 1,0.0,1.0,1.0,1.0,0.5,499999999.99999994
35,fabrication_scrap_generated -> loss_fabrication_scrap,USGS value 1,49.0,1.0,1.0,3.0,17.42877719200131,0.3556893304490063
36,fabrication_scrap_generated -> fabrication_scrap_recycled,USGS value 1,971.0,4.0,3.0,4.0,40.395227843667975,0.04160167646103808
37,fabrication_scrap_recycled -> remelting,USGS value 1,922.0,1.0,1.0,1.0,461.0,0.5
38,fabrication_scrap_recycled -> refining,USGS value 1,0.0,1.0,1.0,1.0,0.5,499999999.99999994
39,wrought_aluminum_ingot -> 1xxx,Other literature,2336.0,1.0,1.0,1.0,1168.0,0.5
39,wrought_aluminum_ingot -> 1xxx,USGS value 1,1728.0,1.0,1.0,3.0,614.6311630158829,0.3556893304490063
40,wrought_aluminum_ingot -> 2xxx,Other literature,85.0,1.0,1.0,1.0,42.5,0.5
40,wrought_aluminum_ingot -> 2xxx,USGS value 1,238.0,1.0,1.0,3.0,84.6540606468635,0.3556893304490063
41,wrought_aluminum_ingot -> 3xxx,Other literature,1256.0,1.0,1.0,1.0,628.0,0.5
41,wrought_aluminum_ingot -> 3xxx,USGS value 1,2848.0,1.0,1.0,3.0,1013.00321311877,0.3556893304490063
42,wrought_aluminum_ingot -> 4xxx,Other literature,50.0,1.0,1.0,1.0,25.0,0.5
42,wrought_aluminum_ingot -> 4xxx,USGS value 1,117.0,1.0,1.0,3.0,41.615651662533736,0.3556893304490063
43,wrought_aluminum_ingot -> 5xxx,Other literature,3047.0,1.0,1.0,1.0,1523.5,0.5
43,wrought_aluminum_ingot -> 5xxx,USGS value 1,2762.0,1.0,1.0,3.0,982.4139307001554,0.3556893304490063
44,wrought_aluminum_ingot -> 6xxx,Other literature,3771.0,1.0,1.0,1.0,1885.5,0.5
44,wrought_aluminum_ingot -> 6xxx,USGS value 1,3218.0,1.0,1.0,3.0,1144.6082653849023,0.3556893304490063
45,wrought_aluminum_ingot -> 7xxx,Other literature,254.0,1.0,1.0,1.0,127.0,0.5
45,wrought_aluminum_ingot -> 7xxx,USGS value 1,887.0,1.0,1.0,3.0,315.4964361082686,0.3556893304490063
46,wrought_aluminum_ingot -> 8xxx,Other literature,267.0,1.0,1.0,1.0,133.5,0.5
46,wrought_aluminum_ingot -> 8xxx,USGS value 1,94.0,1.0,1.0,3.0,33.43479706220659,0.3556893304490063
47,cast_aluminum_ingot -> 36x,USGS value 1,139.9873943233654,,,,13.998739432336542,0.1
48,cast_aluminum_ingot -> 38x,USGS value 1,1369.275605676634,,,,136.92756056766342,0.1
49,cast_aluminum_ingot -> 2xx,USGS value 1,5.802579327688045,,,,0.5802579327688046,0.1
50,cast_aluminum_ingot -> 3xx,USGS value 1,567.7059997361048,,,,56.77059997361048,0.1
51,cast_aluminum_ingot -> 4xx,USGS value 1,7.889786477696971,,,,0.7889786477696972,0.1
52,cast_aluminum_ingot -> 5xx,USGS value 1,44.9000575912573,,,,4.49000575912573,0.1
53,cast_aluminum_ingot -> 7xx,USGS value 1,8.033237140927826,,,,0.8033237140927826,0.1
54,cast_aluminum_ingot -> other,USGS value 1,289.7703397263251,,,,28.977033972632512,0.1
55,36x -> die_cast,USGS value 1,147.475924987329,,,,14.7475924987329,0.1
56,38x -> die_cast,USGS value 1,1442.524075012671,,,,144.2524075012671,0.1
57,2xx -> sand_cast,USGS value 1,1.923056763564638,,,,0.1923056763564638,0.1
58,3xx -> sand_cast,USGS value 1,188.1457884253907,,,,18.81457884253907,0.1
59,4xx -> sand_cast,USGS value 1,2.614786699531646,,,,0.2614786699531646,0.1
60,5xx -> sand_cast,USGS value 1,14.88051339915282,,,,1.4880513399152822,0.1
61,7xx -> sand_cast,USGS value 1,2.662328275886768,,,,0.26623282758867683,0.1
62,other -> sand_cast,USGS value 1,84.77352643647342,,,,8.477352643647341,0.09999999999999999
63,2xx -> permanent_semi_permanent_mold_cast,USGS value 1,3.846113527129276,,,,0.3846113527129276,0.1
64,3xx -> permanent_semi_permanent_mold_cast,USGS value 1,376.2915768507814,,,,37.62915768507814,0.1
65,4xx -> permanent_semi_permanent_mold_cast,USGS value 1,5.229573399063292,,,,0.5229573399063292,0.1
66,5xx -> permanent_semi_permanent_mold_cast,USGS value 1,29.76102679830564,,,,2.9761026798305643,0.1
67,7xx -> permanent_semi_permanent_mold_cast,USGS value 1,5.324656551773534,,,,0.5324656551773533,0.09999999999999999
68,other -> permanent_semi_permanent_mold_cast,USGS value 1,169.5470528729468,,,,16.954705287294683,0.10000000000000002
69,other -> other_cast,USGS value 1,25.0,,,,2.5,0.1
70,cast_aluminum_ingot -> export_cast_aluminum_ingot,USGS value 1,275.0,4.0,3.0,4.0,11.440461026785472,0.04160167646103808
72,die_cast -> scrap_cast,USGS value 1,530.0,1.0,1.0,3.0,188.51534513797333,0.3556893304490063
73,scrap_cast -> die_cast,USGS value 1,530.0,1.0,1.0,3.0,188.51534513797333,0.3556893304490063
74,sand_cast -> scrap_sand_cast,USGS value 1,197.0,1.0,1.0,3.0,70.07079809845425,0.35568933044900636
75,scrap_sand_cast -> sand_cast,USGS value 1,197.0,1.0,1.0,3.0,70.07079809845425,0.35568933044900636
76,permanent_semi_permanent_mold_cast -> scrap_semi_permanent_mold_cast,USGS value 1,197.0,1.0,1.0,3.0,70.07079809845425,0.35568933044900636
77,scrap_semi_permanent_mold_cast -> permanent_semi_permanent_mold_cast,USGS value 1,197.0,1.0,1.0,3.0,70.07079809845425,0.35568933044900636
78,other_cast -> scrap_other_cast,USGS value 1,17.0,1.0,1.0,3.0,6.046718617633108,0.3556893304490063
79,scrap_other_cast -> other_cast,USGS value 1,17.0,1.0,1.0,3.0,6.046718617633108,0.3556893304490063
80,die_cast -> export_cast_semifinished_products,USGS value 1,18.0,4.0,3.0,4.0,0.7488301762986854,0.04160167646103808
81,1xxx -> rolling,USGS value 1,1116.0,1.0,1.0,3.0,396.94929278109106,0.3556893304490063
82,1xxx -> extrusion,USGS value 1,274.0,1.0,1.0,3.0,97.45887654302773,0.3556893304490063
83,1xxx -> drawing,USGS value 1,284.0,1.0,1.0,3.0,101.01576984751779,0.3556893304490063
84,1xxx -> other_milling_processes,USGS value 1,54.0,1.0,1.0,3.0,19.20722384424634,0.3556893304490063
85,2xxx -> rolling,USGS value 1,122.0,1.0,1.0,3.0,43.394098314778766,0.3556893304490063
86,2xxx -> extrusion,USGS value 1,108.0,1.0,1.0,3.0,38.41444768849268,0.3556893304490063
87,2xxx -> drawing,USGS value 1,3.0,1.0,1.0,3.0,1.067067991347019,0.3556893304490063
88,2xxx -> other_milling_processes,USGS value 1,6.0,1.0,1.0,3.0,2.134135982694038,0.3556893304490063
89,3xxx -> rolling,USGS value 1,2417.0,1.0,1.0,3.0,859.7011116952482,0.3556893304490063
90,3xxx -> extrusion,USGS value 1,358.0,1.0,1.0,3.0,127.33678030074425,0.3556893304490063
91,3xxx -> drawing,USGS value 1,56.0,1.0,1.0,3.0,19.918602505144353,0.3556893304490063
92,3xxx -> other_milling_processes,USGS value 1,18.0,1.0,1.0,3.0,6.402407948082113,0.3556893304490063
93,4xxx -> rolling,USGS value 1,24.0,1.0,1.0,3.0,8.536543930776151,0.3556893304490063
94,4xxx -> other_milling_processes,USGS value 1,93.0,1.0,1.0,3.0,33.07910773175759,0.3556893304490063
95,5xxx -> rolling,USGS value 1,2472.0,1.0,1.0,3.0,879.2640248699436,0.3556893304490063
96,5xxx -> extrusion,USGS value 1,169.0,1.0,1.0,3.0,60.111496845882066,0.3556893304490063
97,5xxx -> drawing,USGS value 1,97.0,1.0,1.0,3.0,34.50186505355361,0.35568933044900625
98,5xxx -> other_milling_processes,USGS value 1,23.0,1.0,1.0,3.0,8.180854600327145,0.3556893304490063
