flow_idx,from_node,to_node,from_node_name,to_node_name,value_1,value_2,value_3,value_4,year,map_estimate,posterior_mean,lower_bound,upper_bound
0,1,3,bauxite_mining,bauxite,229.0,229.0,,,2017,229.27217044043212,229.1253602055176,45.800000000000004,412.2
1,2,3,import_of_bauxite,bauxite,4350.0,4360.0,,,2017,4365.872730143722,4368.090644736713,870.9977037917754,7838.979334125978
2,3,85,bauxite,export_bauxite,29.0,40.0,,,2017,32.789403000121524,32.79838460571934,6.557968045882834,59.021712412945504
3,3,86,bauxite,bauxite_non_aluminum_use,229.0,229.0,,,2017,228.72782955952323,228.41823979608304,45.800000000000004,412.2
4,3,5,bauxite,bauxite_refining_to_alumina,4321.0,4320.0,,,2017,4334.597433205222,4337.561913826348,864.0999768545312,7776.89979169078
5,4,6,import_alumina,primary_smelting_hall_hauroult_to_aluminum,1330.0,1300.0,,,2017,1326.8899360033329,1327.9961176118782,262.9315678394866,2366.3841105553793
6,5,87,bauxite_refining_to_alumina,waste_bauxite,2377.0,2376.0,,,2017,2334.3257780764784,2337.796209884581,475.2999579213147,4277.699621291832
7,5,88,bauxite_refining_to_alumina,export_alumina,481.0,450.0,,,2017,464.3733410907996,464.2157860131128,92.89378395384696,836.0440555846226
8,5,89,bauxite_refining_to_alumina,alumina_non_aluminum_use,781.0,,,,2017,780.4608550730561,780.3898064933948,156.2,1405.7999999999997
9,5,6,bauxite_refining_to_alumina,primary_smelting_hall_hauroult_to_aluminum,739.0,770.0,,,2017,756.3971055043705,756.0674799790391,150.77268461248738,1356.9541615123865
10,6,90,primary_smelting_hall_hauroult_to_aluminum,waste_alumina,1328.0,,,,2017,1036.1126143342537,1025.6797827805267,265.6,2390.4
11,6,8,primary_smelting_hall_hauroult_to_aluminum,remelting,506.0,,,,2017,767.4133859401486,773.6108427252751,101.2,910.8000000000001
12,6,9,primary_smelting_hall_hauroult_to_aluminum,refining,235.0,,,,2017,282.22954393801774,287.69375671660634,47.0,422.99999999999994
