flow_idx,flow_label,total_precision,share_observations,share_prior,share_mass_balance,share_aggregate_observations,n_observations,sources,obs_min,obs_max,obs_spread_pct,determined_by,posterior_mean,posterior_sd,prior_mean,prior_sd,contraction,shift_in_prior_sd
0,bauxite_mining -> bauxite,0.001549028870469321,0.22793057798060978,0.3653938167114672,0.40667560530792307,0.0,1,observation_2022,164.00915,164.00915,0.0,structure-determined,203.61887377963427,39.20702747227662,229.89165605096335,63.19658473332025,0.6151064649845019,-0.41573104594490556
1,import_of_bauxite -> bauxite,0.0010120001186381797,0.03673527378307474,0.3407823352214888,0.6224823909954365,0.0,1,observation_2022,3280.183,3280.183,0.0,structure-determined,3786.824414412944,118.398055809371,4353.45381563838,181.6023479782521,0.5749439291662161,-3.120165612028831
2,bauxite -> export_bauxite,3.080733574911721,0.9555110888274692,0.04428442992213407,0.0002044812503968672,0.0,1,observation_2022,6.0,6.0,0.0,observation-driven,7.068914659276352,0.5705138753165773,32.82196449108579,2.757666018073857,0.9571994758505353,-9.338712397738842
3,bauxite -> bauxite_non_aluminum_use,0.0015512111344788179,0.2276099222775046,0.36628658894808475,0.40610348877441066,0.0,1,observation_2022,164.00915,164.00915,0.0,structure-determined,193.19668045610447,40.54454404411356,228.35278509822302,63.80389905484051,0.5961961985971682,-0.5510024491121036
4,bauxite -> bauxite_refining_to_alumina,0.002013483762645187,0.00034010189501752823,0.34010927069841124,0.6595506274065713,0.0,1,observation_2022,3280.183,3280.183,0.0,structure-determined,3775.5669320960046,131.61526766453554,4323.083475070617,204.95452383237895,0.5876200654902495,-2.671405015789728
5,import_alumina -> primary_smelting_hall_hauroult_to_aluminum,0.004534705159555016,0.0,0.43205662011341056,0.5679433798865894,0.0,0,,,,,structure-determined,1314.3801704428904,56.333035272862475,1316.6145607598844,56.47715628035028,0.005097180157667025,-0.03956272702369385
6,bauxite_refining_to_alumina -> waste_bauxite,0.0010631629377942258,0.002129276082968998,0.3412994679284942,0.6565712559885368,0.0,1,observation_2022,1804.10065,1804.10065,0.0,structure-determined,2158.347997257019,148.9135216122021,2320.9555161767867,236.55698831640098,0.603724973500262,-0.687392581707525
7,bauxite_refining_to_alumina -> export_alumina,0.00520111295533257,0.6729729243954851,0.19281691109110394,0.134210164513411,0.0,1,observation_2022,174.0,174.0,0.0,observation-driven,216.78090680635836,15.702936056020606,464.77139522715703,39.384366033577514,0.8410304275228043,-6.296673360423576
8,bauxite_refining_to_alumina -> alumina_non_aluminum_use,0.001366540740344801,0.13985920799212115,0.3493311214437288,0.51080967056415,0.0,1,observation_2022,744.628,744.628,0.0,structure-determined,747.6117503782417,57.839446538843546,779.4436423141839,91.43173699477364,0.5998209800862396,-0.3481492639449879
9,bauxite_refining_to_alumina -> primary_smelting_hall_hauroult_to_aluminum,0.0059109322888341856,0.05769228921527174,0.38850370144452284,0.5538040093402055,0.0,1,observation_2022,557.45435,557.45435,0.0,structure-determined,644.0176557547686,40.98993270921362,758.0083207957487,61.8228600429095,0.5604014757971284,-1.8438271047612866
