flow_idx,from_node,to_node,from_node_name,to_node_name,value_1,value_2,value_3,value_4,year,map_estimate,posterior_mean,lower_bound,upper_bound
0,1,3,bauxite_mining,bauxite,164.00915,,,,2022,204.65553067405952,203.61887377963427,32.80183,295.21647
1,2,3,import_of_bauxite,bauxite,3280.183,,,,2022,3786.9519034075656,3786.824414412944,656.0366,5904.3294000000005
2,3,85,bauxite,export_bauxite,6.0,,,,2022,7.0724373664647375,7.068914659276352,1.2000000000000002,10.8
3,3,86,bauxite,bauxite_non_aluminum_use,164.00915,,,,2022,193.13582095964284,193.19668045610447,32.80183,295.21647
4,3,5,bauxite,bauxite_refining_to_alumina,3280.183,,,,2022,3777.0087395865403,3775.5669320960046,656.0366,5904.3294000000005
5,4,6,import_alumina,primary_smelting_hall_hauroult_to_aluminum,,,,,2022,1315.1139699327634,1314.3801704428904,0.0,14410.098
6,5,87,bauxite_refining_to_alumina,waste_bauxite,1804.10065,,,,2022,2158.331941830454,2158.347997257019,360.82013000000006,3247.38117
7,5,88,bauxite_refining_to_alumina,export_alumina,174.0,,,,2022,217.00799905465624,216.78090680635836,34.800000000000004,313.2
8,5,89,bauxite_refining_to_alumina,alumina_non_aluminum_use,744.628,,,,2022,748.5026755689718,747.6117503782417,148.9256,1340.3304
9,5,6,bauxite_refining_to_alumina,primary_smelting_hall_hauroult_to_aluminum,557.45435,,,,2022,644.4868994299582,644.0176557547686,111.49087,1003.41783
10,6,90,primary_smelting_hall_hauroult_to_aluminum,waste_alumina,1352.934,,,,2022,1014.6641210887356,1010.6207358821085,270.5868,2435.2812
11,6,8,primary_smelting_hall_hauroult_to_aluminum,remelting,528.7105257,,,,2022,668.37104514516,673.7828368909306,105.74210513999999,951.67894626
12,6,9,primary_smelting_hall_hauroult_to_aluminum,refining,332.2894743,,,,2022,273.93931752015897,270.99278837437885,66.45789486,598.12105374
13,7,8,import_unwrought_aluminum_ingot,remelting,2829.794168,,,,2022,2936.1962204882843,2946.8904414875196,565.9588335999999,5093.629502399999
14,7,9,import_unwrought_aluminum_ingot,refining,1320.205832,,,,2022,1384.3430483809145,1388.582677777553,264.0411664,2376.3704976000004
15,8,91,remelting,loss_remelting,,,,,2022,46.902689256264416,90.87492941024803,0.0,14410.098
16,8,24,remelting,wrought_aluminum_ingot,8005.61,,,,2022,7972.376004507028,8150.1927853545585,1601.122,14410.098
17,9,92,refining,loss_refining,,,,,2022,115.59970339055033,115.44479576955823,0.0,14410.098
18,9,25,refining,cast_aluminum_ingot,2490.138,,,,2022,2469.6935598292334,2443.192696791851,498.0276,4482.2484
19,10,8,alloying_element_si,remelting,,,,,2022,336.9554303772839,349.1429451855168,0.0,14410.098
20,10,9,alloying_element_si,refining,,,,,2022,180.7483589966607,182.76324311763693,0.0,14410.098
21,12,8,alloying_element_mg,remelting,,,,,2022,103.84927246557614,105.35864343747508,0.0,14410.098
22,12,9,alloying_element_mg,refining,,,,,2022,0.35717117288134037,0.4457887340541146,0.0,14410.098
23,16,8,alloying_element_other,remelting,,,,,2022,18.049385985005895,19.17949375834468,0.0,14410.098
24,16,9,alloying_element_other,refining,,,,,2022,27.91503204159537,28.533092866589694,0.0,14410.098
25,17,18,import_scrap,eol_scrap_generated,685.0,,,,2022,709.7347639929202,709.6050319771114,137.0,1233.0
26,18,93,eol_scrap_generated,export_eol_scrap,2000.0,,,,2022,1769.7596477865754,1769.7376487090096,400.0,3600.0
27,18,94,eol_scrap_generated,loss_eol_scrap,,,,,2022,1466.581132845721,1680.9344668333067,0.0,14410.098
28,18,19,eol_scrap_generated,eol_scrap_recycled,1590.0,,,,2022,1812.005592383745,1835.6447440431398,318.0,2862.0
29,19,8,eol_scrap_recycled,remelting,,,,,2022,1123.4223659273434,1178.0349498412756,0.0,14410.098
30,19,9,eol_scrap_recycled,refining,,,,,2022,691.9883419837835,661.1361436419699,0.0,14410.098
