flow_idx,flow_label,total_precision,share_observations,share_prior,share_mass_balance,share_allocation,share_aggregate_observations,n_observations,sources,obs_min,obs_max,obs_spread_pct,determined_by,posterior_mean,posterior_sd,prior_mean,prior_sd,contraction,shift_in_prior_sd
0,bauxite_mining -> bauxite,0.001549028870469321,0.22793057798060978,0.3653938167114672,0.40667560530792307,0.0,0.0,1,observation_2022,164.00915,164.00915,0.0,structure-determined,201.94153382455136,39.434259092353486,229.89165605096335,63.19658473332025,0.6106320922779371,-0.4422726693911887
1,import_of_bauxite -> bauxite,0.0010120001186381797,0.03673527378307474,0.3407823352214888,0.6224823909954365,0.0,0.0,1,observation_2022,3280.183,3280.183,0.0,structure-determined,3758.499564463749,114.031450671707,4353.45381563838,181.6023479782521,0.6057185182582137,-3.2761374387399433
2,bauxite -> export_bauxite,3.0809360433297415,0.9554482959567846,0.044281519703180096,0.00020446781259916532,6.571652743618764e-05,0.0,1,observation_2022,6.0,6.0,0.0,observation-driven,7.078792304877375,0.5740550731109241,32.82196449108579,2.757666018073857,0.9566664984311888,-9.335130511630704
3,bauxite -> bauxite_non_aluminum_use,0.0016463870945539888,0.21445202463177196,0.34511193452986755,0.38262705995531104,0.05780898088304954,0.0,1,observation_2022,164.00915,164.00915,0.0,structure-determined,196.28859694350402,36.69766870653764,228.35278509822302,63.80389905484051,0.6691870417935495,-0.5025427697946689
4,bauxite -> bauxite_refining_to_alumina,0.002013796519097303,0.0003400490748537059,0.3400564493890949,0.6594481946571539,0.00015530687889772393,0.0,1,observation_2022,3280.183,3280.183,0.0,structure-determined,3739.7183508444477,125.16276435947103,4323.083475070617,204.95452383237895,0.6270631694623248,-2.84631494498395
5,import_alumina -> primary_smelting_hall_hauroult_to_aluminum,0.004534705159555016,0.0,0.43205662011341056,0.5679433798865894,0.0,0.0,0,,,,,structure-determined,1312.0796545072458,55.72229568033005,1316.6145607598844,56.47715628035028,0.026552893359539365,-0.08029629236513844
6,bauxite_refining_to_alumina -> waste_bauxite,0.001068529675870587,0.0021185816986317124,0.33958527608961864,0.6532735974967526,0.005022544714996863,0.0,1,observation_2022,1804.10065,1804.10065,0.0,structure-determined,2114.7955129741495,136.8711643869297,2320.9555161767867,236.55698831640098,0.6652255085677332,-0.8715024851723804
7,bauxite_refining_to_alumina -> export_alumina,0.005290442529835274,0.6616097190210641,0.18956118105953126,0.13194401440927325,0.01688508551013132,0.0,1,observation_2022,174.0,174.0,0.0,observation-driven,222.18261247832717,15.360082167618293,464.77139522715703,39.384366033577514,0.8478964467081891,-6.1595198090026
8,bauxite_refining_to_alumina -> alumina_non_aluminum_use,0.0013870201656720766,0.13779417946745026,0.34417322915552706,0.5032675390482034,0.01476505232881919,0.0,1,observation_2022,744.628,744.628,0.0,structure-determined,747.3715464761881,53.59401386673711,779.4436423141839,91.43173699477364,0.6564114934986391,-0.3507764031632591
9,bauxite_refining_to_alumina -> primary_smelting_hall_hauroult_to_aluminum,0.005944321422709841,0.057368232787090974,0.386321483967325,0.550693303358175,0.0056169798874089235,0.0,1,observation_2022,557.45435,557.45435,0.0,structure-determined,645.201467931541,38.154592623511874,758.0083207957487,61.8228600429095,0.619113607884163,-1.824678651002423
