flow_idx,from_node,to_node,from_node_name,to_node_name,value_1,value_2,value_3,value_4,year,map_estimate,posterior_mean,lower_bound,upper_bound
0,1,3,bauxite_mining,bauxite,164.00915,,,,2022,202.1401242952812,201.94153382455136,32.80183,295.21647
1,2,3,import_of_bauxite,bauxite,3280.183,,,,2022,3754.1555027582126,3758.499564463749,656.0366,5904.3294000000005
2,3,85,bauxite,export_bauxite,6.0,,,,2022,7.0805612369560755,7.078792304877375,1.2000000000000002,10.8
3,3,86,bauxite,bauxite_non_aluminum_use,164.00915,,,,2022,196.80047603066234,196.28859694350402,32.80183,295.21647
4,3,5,bauxite,bauxite_refining_to_alumina,3280.183,,,,2022,3735.8067703037336,3739.7183508444477,656.0366,5904.3294000000005
5,4,6,import_alumina,primary_smelting_hall_hauroult_to_aluminum,,,,,2022,1311.1709453858102,1312.0796545072458,0.0,14410.098
6,5,87,bauxite_refining_to_alumina,waste_bauxite,1804.10065,,,,2022,2111.0032296030085,2114.7955129741495,360.82013000000006,3247.38117
7,5,88,bauxite_refining_to_alumina,export_alumina,174.0,,,,2022,221.78867091688127,222.18261247832717,34.800000000000004,313.2
8,5,89,bauxite_refining_to_alumina,alumina_non_aluminum_use,744.628,,,,2022,746.2306140139166,747.3715464761881,148.9256,1340.3304
9,5,6,bauxite_refining_to_alumina,primary_smelting_hall_hauroult_to_aluminum,557.45435,,,,2022,646.1818137837421,645.201467931541,111.49087,1003.41783
10,6,90,primary_smelting_hall_hauroult_to_aluminum,waste_alumina,1352.934,,,,2022,1006.4364532384802,1004.8450751727919,270.5868,2435.2812
11,6,8,primary_smelting_hall_hauroult_to_aluminum,remelting,528.7105257,,,,2022,670.6130403690012,675.8068923748582,105.74210513999999,951.67894626
12,6,9,primary_smelting_hall_hauroult_to_aluminum,refining,332.2894743,,,,2022,277.52182172659775,274.3866860299629,66.45789486,598.12105374
13,7,8,import_unwrought_aluminum_ingot,remelting,2829.794168,,,,2022,2958.1817706749025,2968.018363063887,565.9588335999999,5093.629502399999
14,7,9,import_unwrought_aluminum_ingot,refining,1320.205832,,,,2022,1384.217350658195,1384.6996488445272,264.0411664,2376.3704976000004
15,8,91,remelting,loss_remelting,,,,,2022,71.47258098811899,94.71779284490472,0.0,14410.098
16,8,24,remelting,wrought_aluminum_ingot,8005.61,,,,2022,8383.800053373356,8445.328310726656,1601.122,14410.098
17,9,92,refining,loss_refining,,,,,2022,101.9977364905695,103.93335092001064,0.0,14410.098
18,9,25,refining,cast_aluminum_ingot,2490.138,,,,2022,2465.0188621109214,2442.574420953724,498.0276,4482.2484
19,10,8,alloying_element_si,remelting,,,,,2022,356.62599559591314,366.66202231874274,0.0,14410.098
20,10,9,alloying_element_si,refining,,,,,2022,181.90752699955704,183.55546749191362,0.0,14410.098
21,12,8,alloying_element_mg,remelting,,,,,2022,105.4143713425368,108.39785682585848,0.0,14410.098
22,12,9,alloying_element_mg,refining,,,,,2022,0.384454710211916,0.4554051249794414,0.0,14410.098
23,16,8,alloying_element_other,remelting,,,,,2022,19.535070557071123,19.595019679255696,0.0,14410.098
24,16,9,alloying_element_other,refining,,,,,2022,27.814918511832044,28.25676801564451,0.0,14410.098
25,17,18,import_scrap,eol_scrap_generated,685.0,,,,2022,710.3467991823163,709.4807201923529,137.0,1233.0
26,18,93,eol_scrap_generated,export_eol_scrap,2000.0,,,,2022,1763.5993628318665,1765.9663466732363,400.0,3600.0
27,18,94,eol_scrap_generated,loss_eol_scrap,,,,,2022,1547.9316809220245,1690.7199691916933,0.0,14410.098
28,18,19,eol_scrap_generated,eol_scrap_recycled,1590.0,,,,2022,1842.6916171783278,1859.4474968139652,318.0,2862.0
29,19,8,eol_scrap_recycled,remelting,,,,,2022,1177.5832689148713,1213.8989351653483,0.0,14410.098
30,19,9,eol_scrap_recycled,refining,,,,,2022,668.4297116571803,648.2721577069103,0.0,14410.098
31,20,95,forming_scrap_generated,loss_forming_scrap,,,,,2022,57.42849869122603,59.683663129440816,0.0,14410.098
32,20,21,forming_scrap_generated,forming_scrap_recycled,2083.0,,,,2022,2169.8066060872616,2188.456868779743,416.6,3749.4
33,21,8,forming_scrap_recycled,remelting,,,,,2022,2176.6272092459512,2195.604584043944,0.0,14410.098
34,21,9,forming_scrap_recycled,refining,,,,,2022,0.40575389075207935,0.47920688113064436,0.0,14410.098
35,22,96,fabrication_scrap_generated,loss_fabrication_scrap,,,,,2022,34.15550519699604,36.254884590898584,0.0,14410.098
36,22,23,fabrication_scrap_generated,fabrication_scrap_recycled,,,,,2022,911.9638569811905,910.3538529260226,0.0,14410.098
37,23,8,fabrication_scrap_recycled,remelting,,,,,2022,916.0586765969703,914.4885247481487,0.0,14410.098
38,23,9,fabrication_scrap_recycled,refining,,,,,2022,0.6055232419211737,0.6456154064405532,0.0,14410.098
39,24,42,wrought_aluminum_ingot,1xxx,,,,,2022,1386.990648294507,1440.4852355248897,0.0,14410.098
40,24,43,wrought_aluminum_ingot,2xxx,,,,,2022,145.0696056473802,148.98461592393966,0.0,14410.098
41,24,44,wrought_aluminum_ingot,3xxx,,,,,2022,1523.2168343982607,1518.0949922142456,0.0,14410.098
42,24,45,wrought_aluminum_ingot,4xxx,,,,,2022,94.67419366808794,96.55947270056127,0.0,14410.098
43,24,46,wrought_aluminum_ingot,5xxx,,,,,2022,1835.0823681916042,1844.2710443114058,0.0,14410.098
44,24,47,wrought_aluminum_ingot,6xxx,,,,,2022,2859.3779901423295,2833.810140809452,0.0,14410.098
45,24,48,wrought_aluminum_ingot,7xxx,,,,,2022,496.97171478057066,501.36259113162595,0.0,14410.098
46,24,49,wrought_aluminum_ingot,8xxx,,,,,2022,75.15099416332251,78.42305373529071,0.0,14410.098
47,25,26,cast_aluminum_ingot,36x,,,,,2022,133.65174154056845,133.7512863995804,0.0,14410.098
48,25,27,cast_aluminum_ingot,38x,,,,,2022,1167.5543047249348,1162.5456366466474,0.0,14410.098
49,25,28,cast_aluminum_ingot,2xx,,,,,2022,5.934915885496587,5.940641577642586,0.0,14410.098
50,25,29,cast_aluminum_ingot,3xx,,,,,2022,563.3430091400086,561.3486922601421,0.0,14410.098
51,25,30,cast_aluminum_ingot,4xx,,,,,2022,7.903482616643667,7.907960676322723,0.0,14410.098
52,25,31,cast_aluminum_ingot,5xx,,,,,2022,44.75390456055473,44.64568872381716,0.0,14410.098
53,25,32,cast_aluminum_ingot,7xx,,,,,2022,8.177012660565012,8.182607931526029,0.0,14410.098
54,25,33,cast_aluminum_ingot,other,,,,,2022,269.06122989552136,267.7029716982257,0.0,14410.098
55,26,34,36x,die_cast,,,,,2022,133.5309874566739,133.65858254046006,0.0,14410.098
56,27,34,38x,die_cast,,,,,2022,1172.6709721245961,1167.98890269967,0.0,14410.098
57,28,36,2xx,sand_cast,,,,,2022,1.8202456124781892,1.825662295261176,0.0,14410.098
58,29,36,3xx,sand_cast,,,,,2022,197.11267656034644,196.89627180547356,0.0,14410.098
59,30,36,4xx,sand_cast,,,,,2022,2.8178402509039553,2.8261490678069765,0.0,14410.098
60,31,36,5xx,sand_cast,,,,,2022,15.10279071306406,15.095899071735435,0.0,14410.098
61,32,36,7xx,sand_cast,,,,,2022,2.3715941841003527,2.363971756791416,0.0,14410.098
62,33,36,other,sand_cast,,,,,2022,85.74869602102991,85.25946861121454,0.0,14410.098
63,28,38,2xx,permanent_semi_permanent_mold_cast,,,,,2022,4.118757202996364,4.120809999309972,0.0,14410.098
