flow_idx,flow_label,total_precision,share_observations,share_prior,share_mass_balance,share_allocation,share_aggregate_observations,n_observations,sources,obs_min,obs_max,obs_spread_pct,determined_by,posterior_mean,posterior_sd,prior_mean,prior_sd,contraction,shift_in_prior_sd
0,bauxite_mining -> bauxite,0.001549028870469321,0.22793057798060978,0.3653938167114672,0.40667560530792307,0.0,0.0,1,observation_2022,164.00915,164.00915,0.0,structure-determined,195.89475380356322,38.57015892053082,229.89165605096335,63.19658473332025,0.6275091243170845,-0.5379547390236634
1,import_of_bauxite -> bauxite,0.0010120001186381797,0.03673527378307474,0.3407823352214888,0.6224823909954365,0.0,0.0,1,observation_2022,3280.183,3280.183,0.0,structure-determined,3701.8372942451297,108.69171849485815,4353.45381563838,181.6023479782521,0.6417798659983192,-3.588150311092259
2,bauxite -> export_bauxite,3.081029241726907,0.9554193944947175,0.0442801802265518,0.00020446162762949736,9.596365110140843e-05,0.0,1,observation_2022,6.0,6.0,0.0,observation-driven,7.088963019009475,0.5690073592355694,32.82196449108579,2.757666018073857,0.9574252181057383,-9.33144235140193
3,bauxite -> bauxite_non_aluminum_use,0.0018334303220052246,0.1925740190489319,0.3099042425376206,0.3435921430865069,0.15392959532694064,0.0,1,observation_2022,164.00915,164.00915,0.0,structure-determined,199.36352237273434,32.46546981377003,228.35278509822302,63.80389905484051,0.7410899279906772,-0.45434939172873956
4,bauxite -> bauxite_refining_to_alumina,0.0020143956438151717,0.000339947936923499,0.33995530926554207,0.659252060538821,0.0004526822587133566,0.0,1,observation_2022,3280.183,3280.183,0.0,structure-determined,3671.00168964345,111.77053678256793,4323.083475070617,204.95452383237895,0.7026008958492069,-3.1815925466493686
5,import_alumina -> primary_smelting_hall_hauroult_to_aluminum,0.004534705159555016,0.0,0.43205662011341056,0.5679433798865894,0.0,0.0,0,,,,,structure-determined,1281.2544314980485,50.17868338761516,1316.6145607598844,56.47715628035028,0.21060770781297444,-0.6260961349808356
6,bauxite_refining_to_alumina -> waste_bauxite,0.0011138026147363771,0.0020324673203250703,0.3257820911799059,0.6267198659371392,0.04546557556262974,0.0,1,observation_2022,1804.10065,1804.10065,0.0,structure-determined,2037.800831992207,95.80043569910808,2320.9555161767867,236.55698831640098,0.8359926151593108,-1.196982960426657
7,bauxite_refining_to_alumina -> export_alumina,0.005401303284732082,0.648030301419192,0.18567047273904252,0.12923588782010823,0.03706333802165711,0.0,1,observation_2022,174.0,174.0,0.0,observation-driven,226.6256818337483,14.610502208914186,464.77139522715703,39.384366033577514,0.8623796777697504,-6.0467067869107085
8,bauxite_refining_to_alumina -> alumina_non_aluminum_use,0.0015412930950584537,0.12400192166327868,0.3097238356894658,0.45289388995903085,0.11338035268822454,0.0,1,observation_2022,744.628,744.628,0.0,structure-determined,744.5370198187303,44.38505205804099,779.4436423141839,91.43173699477364,0.7643434440687463,-0.3817779651003336
9,bauxite_refining_to_alumina -> primary_smelting_hall_hauroult_to_aluminum,0.006087411590040175,0.056019740097294685,0.3772406447688337,0.5377487544707397,0.02899086066313191,0.0,1,observation_2022,557.45435,557.45435,0.0,structure-determined,649.3166464731376,33.7346005926405,758.0083207957487,61.8228600429095,0.7022491840713504,-1.758114623735804
