flow_idx,from_node,to_node,from_node_name,to_node_name,value_1,value_2,value_3,value_4,year,map_estimate,posterior_mean,lower_bound,upper_bound
0,1,3,bauxite_mining,bauxite,164.00915,,,,2022,197.37861558036644,195.89475380356322,32.80183,295.21647
1,2,3,import_of_bauxite,bauxite,3280.183,,,,2022,3699.2948276128036,3701.8372942451297,656.0366,5904.3294000000005
2,3,85,bauxite,export_bauxite,6.0,,,,2022,7.089583339464306,7.088963019009475,1.2000000000000002,10.8
3,3,86,bauxite,bauxite_non_aluminum_use,164.00915,,,,2022,199.87320557799214,199.36352237273434,32.80183,295.21647
4,3,5,bauxite,bauxite_refining_to_alumina,3280.183,,,,2022,3669.747989798437,3671.00168964345,656.0366,5904.3294000000005
5,4,6,import_alumina,primary_smelting_hall_hauroult_to_aluminum,,,,,2022,1279.6404448536002,1281.2544314980485,0.0,14410.098
6,5,87,bauxite_refining_to_alumina,waste_bauxite,1804.10065,,,,2022,2036.484337659037,2037.800831992207,360.82013000000006,3247.38117
7,5,88,bauxite_refining_to_alumina,export_alumina,174.0,,,,2022,226.87448062184635,226.6256818337483,34.800000000000004,313.2
8,5,89,bauxite_refining_to_alumina,alumina_non_aluminum_use,744.628,,,,2022,743.876127684449,744.5370198187303,148.9256,1340.3304
9,5,6,bauxite_refining_to_alumina,primary_smelting_hall_hauroult_to_aluminum,557.45435,,,,2022,648.8444838717757,649.3166464731376,111.49087,1003.41783
10,6,90,primary_smelting_hall_hauroult_to_aluminum,waste_alumina,1352.934,,,,2022,937.925944856308,939.927954720556,270.5868,2435.2812
11,6,8,primary_smelting_hall_hauroult_to_aluminum,remelting,528.7105257,,,,2022,701.9402023722597,703.9946740785731,105.74210513999999,951.67894626
12,6,9,primary_smelting_hall_hauroult_to_aluminum,refining,332.2894743,,,,2022,283.78690308154944,281.7997001324662,66.45789486,598.12105374
13,7,8,import_unwrought_aluminum_ingot,remelting,2829.794168,,,,2022,2985.2972744313543,2986.638465111644,565.9588335999999,5093.629502399999
14,7,9,import_unwrought_aluminum_ingot,refining,1320.205832,,,,2022,1387.2627613874624,1385.6043590548884,264.0411664,2376.3704976000004
15,8,91,remelting,loss_remelting,,,,,2022,86.21402014219497,100.88237125997215,0.0,14410.098
16,8,24,remelting,wrought_aluminum_ingot,8005.61,,,,2022,8749.484877522968,8736.184852953304,1601.122,14410.098
17,9,92,refining,loss_refining,,,,,2022,84.9751702458394,86.08850748825937,0.0,14410.098
18,9,25,refining,cast_aluminum_ingot,2490.138,,,,2022,2447.0185492113756,2438.5632273233646,498.0276,4482.2484
19,10,8,alloying_element_si,remelting,,,,,2022,394.1135079225307,393.41639318741676,0.0,14410.098
20,10,9,alloying_element_si,refining,,,,,2022,171.22122439435768,170.25515467042763,0.0,14410.098
21,12,8,alloying_element_mg,remelting,,,,,2022,109.43076235425835,110.38419153417877,0.0,14410.098
22,12,9,alloying_element_mg,refining,,,,,2022,0.39733770382787115,0.4675875367802624,0.0,14410.098
23,16,8,alloying_element_other,remelting,,,,,2022,24.122265770789948,24.127457065967263,0.0,14410.098
24,16,9,alloying_element_other,refining,,,,,2022,25.225272751593312,25.21298609837261,0.0,14410.098
25,17,18,import_scrap,eol_scrap_generated,685.0,,,,2022,711.3747149423273,711.2108596707003,137.0,1233.0
26,18,93,eol_scrap_generated,export_eol_scrap,2000.0,,,,2022,1709.2797589308157,1712.6490196051222,400.0,3600.0
27,18,94,eol_scrap_generated,loss_eol_scrap,,,,,2022,1742.1058963562975,1755.2587227640702,0.0,14410.098
28,18,19,eol_scrap_generated,eol_scrap_recycled,1590.0,,,,2022,1974.2193346889878,1976.858948932079,318.0,2862.0
29,19,8,eol_scrap_recycled,remelting,,,,,2022,1342.648615562073,1347.3961075404839,0.0,14410.098
30,19,9,eol_scrap_recycled,refining,,,,,2022,634.7190271380601,632.2869980712617,0.0,14410.098
31,20,95,forming_scrap_generated,loss_forming_scrap,,,,,2022,63.02546048474074,63.625223390140256,0.0,14410.098
32,20,21,forming_scrap_generated,forming_scrap_recycled,2083.0,,,,2022,2309.5024740511917,2301.0306102300624,416.6,3749.4
33,21,8,forming_scrap_recycled,remelting,,,,,2022,2316.7273016522063,2308.237303966711,0.0,14410.098
34,21,9,forming_scrap_recycled,refining,,,,,2022,0.41097647758030353,0.4931857766195175,0.0,14410.098
35,22,96,fabrication_scrap_generated,loss_fabrication_scrap,,,,,2022,38.48405549971023,38.50745326513251,0.0,14410.098
36,22,23,fabrication_scrap_generated,fabrication_scrap_recycled,,,,,2022,885.5612761955115,884.255354549808,0.0,14410.098
37,23,8,fabrication_scrap_recycled,remelting,,,,,2022,890.2804073278894,888.8836211369542,0.0,14410.098
38,23,9,fabrication_scrap_recycled,refining,,,,,2022,0.6150179375713769,0.6494481047566175,0.0,14410.098
39,24,42,wrought_aluminum_ingot,1xxx,,,,,2022,1379.4766580636422,1376.8527826919503,0.0,14410.098
40,24,43,wrought_aluminum_ingot,2xxx,,,,,2022,155.95447981191487,156.71771728286757,0.0,14410.098
41,24,44,wrought_aluminum_ingot,3xxx,,,,,2022,1660.1895616120892,1660.0090681659517,0.0,14410.098
42,24,45,wrought_aluminum_ingot,4xxx,,,,,2022,89.90428390025313,90.75482941100334,0.0,14410.098
43,24,46,wrought_aluminum_ingot,5xxx,,,,,2022,2148.22200192587,2135.873808052957,0.0,14410.098
44,24,47,wrought_aluminum_ingot,6xxx,,,,,2022,2810.60628357164,2794.8826733131677,0.0,14410.098
