case,overrides,rhat_max,ess_min,n_flagged,mb_residual_pct_max,domestic_retention_rate,domestic_retention_rate_lo,domestic_retention_rate_hi,eol_collection_rate,eol_collection_rate_lo,eol_collection_rate_hi,eol_scrap_collected_total,eol_scrap_collected_total_lo,eol_scrap_collected_total_hi,eol_scrap_recycled,eol_scrap_recycled_lo,eol_scrap_recycled_hi,eol_scrap_exported,eol_scrap_exported_lo,eol_scrap_exported_hi,semis_ingot_total,semis_ingot_total_lo,semis_ingot_total_hi,secondary_metal_total,secondary_metal_total_lo,secondary_metal_total_hi,domestic_consumption,domestic_consumption_lo,domestic_consumption_hi,exercised
baseline,{},1.003447936450601,2190.459353010193,0,1.0695160138587476,0.5265571826133255,0.4956626309082659,0.5562141024684377,0.6767751602609594,0.6238738623831354,0.7405661084385012,3671.700414903652,3414.703358132853,3922.220965796327,1934.7751977819423,1723.1180389374288,2136.336419792749,1737.0442931216953,1606.3050355394093,1860.3280091436634,10894.747945540841,10149.929293340178,11622.118364475162,11118.34792347745,10407.844481284556,11843.279925284083,9645.322291265256,9096.873256196235,10241.365884186347,True
prior_inflation_2x,{'prior': {'strength': 0.25}},1.0026258384202886,2737.5040395555466,0,0.47832199299653233,0.5066245563704317,0.4691032482695325,0.5415723444233759,0.6601273566890029,0.6032855409907644,0.7262256098043018,3746.8657051415526,3448.2623187416634,4056.7971717517603,1896.6346076349873,1664.29494923206,2135.0913419254675,1847.3841983567145,1685.7207843397948,2012.513775308283,10616.582445414024,9725.95740243043,11518.121481589335,10857.620923319446,9953.087813533579,11748.354339871079,9493.910199357299,8773.408682106174,10213.836389564567,True
prior_inflation_4x,{'prior': {'strength': 0.0625}},1.0016770707383562,2583.1987163060207,0,0.21668756136708928,0.49132727604203186,0.4490181286338456,0.5290020550731838,0.6514787002461454,0.5877998077411499,0.7221825402997613,3743.047952603408,3413.448823124908,4081.5490467857817,1839.9947431608534,1579.895836116899,2102.848653125061,1903.5810920130727,1730.0790593344327,2081.4004923940347,10652.951951014229,9488.732660067526,11815.506762939856,10906.822486150912,9745.567831351093,12102.582930242499,9536.030963635418,8581.249146403148,10464.702087476087,True
prior_inflation_10x,{'prior': {'strength': 0.01}},1.001895704322259,2621.7654751557666,0,0.12369409902708327,0.4828415623597154,0.44019690542558004,0.5224852768982047,0.6465154138206861,0.5792997094706293,0.7248178434581344,3727.2062058550778,3399.3410546261935,4052.698113654391,1800.6408640122238,1535.5895464255857,2069.8404984726126,1925.1857967636229,1748.1800873494074,2105.581250365956,11867.393271954596,10904.163464240186,12852.866735696534,12145.793550820432,11180.518973436987,13127.705484941283,10173.999136039638,8875.513692168557,11467.0879196017,True
prior_inflation_20x,{'prior': {'strength': 0.0025}},1.002587931274017,2304.7589981684846,0,0.12413624995809304,0.4790722612352266,0.4353578244474619,0.5188880513994968,0.6439588640222046,0.5764828736486349,0.7273975533533822,3716.1701208836184,3365.910244225578,4056.47652747587,1779.046054523796,1507.3901538357393,2037.136790125806,1936.4239949937737,1752.0097954457888,2106.4845113819233,12449.936733076867,10455.14615178814,14519.397587971524,12729.786631300529,10737.31824821729,14810.02464564579,10456.348523614259,8640.250498705205,12220.338750643194,True
prior_disabled,{'prior': {'strength': 0.0}},1.0021786579039083,2121.1962667478447,0,0.3807591316340259,0.47655703135644134,0.4326876984012387,0.5180893855018626,0.6424167242658136,0.575341306991968,0.7211904555304993,3697.343420370447,3360.7399123386,4043.956544721397,1761.4212969112218,1497.141248522265,2029.7860768474761,1934.0169727334528,1756.2394824130288,2124.2585749474556,12787.566929254175,10662.347016570318,14965.553730720501,13062.365227404473,10928.305167303679,15228.374533199565,10696.291085795987,8929.141461392795,12624.110335680376,True
pedigree_sigma_halved,{'observation_sigma': {'pedigree_mapping': {'global_multiplier': 0.5}}},1.0026144265541266,2455.70729011876,0,1.1439820235660625,0.5002284331998259,0.4747921929370279,0.5259318432924711,0.6546856188865045,0.6012307352934396,0.716772370362526,3485.1550244175824,3300.829226343307,3670.057560801632,1743.0722729592771,1609.155630699163,1871.504676262226,1740.6194977864825,1618.3314087712333,1864.5812017759172,10700.849009726584,10031.853436835256,11386.771640393546,10929.283971622157,10254.47303494964,11598.133551511093,9500.146808805941,8985.883311213163,10037.361507876394,True
pedigree_sigma_doubled,{'observation_sigma': {'pedigree_mapping': {'global_multiplier': 2.0}}},1.0017855862456422,2275.148913369158,0,1.0324948150646838,0.54573048911237,0.511424509789251,0.5770323488335277,0.6857421265314285,0.6345644612861897,0.7480816823253079,3835.297091810362,3549.6236674088273,4130.516033658059,2092.602960965053,1848.1604587740119,2344.5056003906407,1742.5857370552337,1614.7100076798522,1870.2996974156742,11030.210384199756,10281.674558150837,11802.688214965061,11261.879350167743,10505.856358601946,12026.728889178601,9763.402147888473,9173.120838188033,10353.518301930162,True
pedigree_direction_inverted,{'observation_sigma': {'pedigree_mapping': {'direction': 'lower_is_better'}}},1.00232241570673,2446.2989083856446,0,1.0205020009474945,0.5595807678738824,0.5264660191546776,0.5930819544178129,0.6657044177398879,0.618274226626515,0.7227650445878988,4049.567786736635,3752.2308586418244,4345.849412478663,2268.0389349455863,2008.7178376061422,2534.8665776318003,1782.025679340889,1653.5635014119157,1909.5586026063206,10946.874691652658,10410.748517856786,11482.886860786124,11175.252745955273,10646.25334354222,11711.306652219417,9700.637048560602,9166.2000570576,10201.92993024898,True
pedigree_combiner_max,{'observation_sigma': {'pedigree_mapping': {'combiner': 'max'}}},1.002134408021165,2451.6741416807417,0,1.0071038425767238,0.5529220130522554,0.5188466445383078,0.5853733847040488,0.6882516687249328,0.6339647090141436,0.7472004608289724,3906.013809594388,3606.2787102385664,4218.332774171364,2160.1932568273864,1899.4681341619228,2418.7287148310775,1747.149477182376,1617.5523744524519,1872.0825415444244,11073.65163709944,10335.865812802833,11803.952748643278,11302.21671367869,10579.368284512231,12032.232723195268,9805.312172564045,9201.59083950522,10380.867616540076,True
mass_balance_tight_0.5pct,{'mass_balance': {'rel_sigma': 0.005}},1.0021043131579506,2468.5452938186595,0,0.39700490868099175,0.5296372261586895,0.49788263424253704,0.5571173074754895,0.6762784376022299,0.627090660848493,0.7382270323816308,3691.7769119122067,3440.3225062662364,3933.725421370309,1956.2314403223304,1748.7247097483264,2148.880738568278,1738.6915665518927,1608.2121792333667,1865.5309450533236,10832.10654419005,10138.113261551705,11550.6932521034,11080.23484230569,10386.429906173511,11796.34717363751,9530.714773558935,9004.033679220784,10096.237760826205,True
mass_balance_loose_2pct,{'mass_balance': {'rel_sigma': 0.02}},1.0016410943387175,2334.688155414908,0,1.9609786802973324,0.5238513870607904,0.49121747529386695,0.5529475787023618,0.6758005042386988,0.6203883078989473,0.7368137816983028,3644.629949599105,3388.658744923344,3894.5834663833966,1909.156203267614,1705.0535101656146,2114.7889455658337,1733.0075822806807,1610.4892369758322,1861.124450942646,10988.087710901013,10242.49438619359,11707.322901754935,11179.50533292232,10455.961110987646,11894.451817032494,9823.330587947727,9226.995065261042,10399.023185676695,True
mass_balance_loose_5pct,{'mass_balance': {'rel_sigma': 0.05}},1.001728062704892,2402.535323359603,0,2.5642499603886764,0.5228790636556938,0.4896051413490444,0.5526173509725714,0.6770645223326185,0.6227304539571873,0.7431077982983179,3628.030403254271,3387.440575757713,3873.3274283201044,1896.2951641544248,1695.2313685814652,2095.2988760099797,1733.449643959008,1610.9434828257004,1858.866205211901,11023.572912645865,10295.091105994385,11768.784663224349,11206.618518401589,10495.030860202023,11939.593260688143,9919.432708436512,9334.276666611413,10507.898765585709,True
mass_balance_hard,{'mass_balance': {'mode': 'hard'}},1.0027490077804067,2587.390868141934,0,9.563786830543938e-14,0.5297497900241149,0.4990977184699625,0.5586194284575967,0.6765886774921144,0.6257926280212837,0.7381164941142511,3703.354058558931,3450.546682415673,3939.7641662037336,1963.1667389414151,1765.720533653669,2158.2525958049405,1741.0688699095156,1610.5369334575573,1862.3200627584142,10800.611560600399,10094.039496588835,11487.737113343896,11072.866129369893,10367.737195972099,11761.09306947668,9469.384696825127,8913.478695744272,10026.358992128928,True
allocation_tight,{'allocation_constraints': {'relaxation': 0.5}},1.001603875335827,2580.518899256303,0,1.1016158474276492,0.5356104284905437,0.509546935009311,0.5610179128767323,0.6792144193197784,0.6443465315380885,0.7173655903631412,3685.272920104476,3458.170896802168,3933.025273803031,1975.010403857736,1799.372886676807,2162.9614186271488,1712.2985598288465,1593.6247920723226,1833.6466325034942,10945.26805176156,10417.171172518661,11504.037206727517,11169.450877420397,10638.078637950812,11717.782902164781,9839.170726668057,9425.600059768378,10260.007714336703,True
allocation_loose,{'allocation_constraints': {'relaxation': 3.0}},1.0031241813399934,2386.0913753183504,0,1.01139511908944,0.5128657387503313,0.47746487853967307,0.5471648759662853,0.6838525103648895,0.595000441330666,0.7921854045365534,3625.8983634220704,3360.83841476296,3881.341824638374,1861.6811676537914,1642.0235658394665,2075.803925391464,1767.326519577621,1631.1087861817548,1896.8465501891255,10655.769169808093,9608.578304924904,11696.30150228029,10888.616627136642,9865.866881454678,11926.899681809113,9189.822404021364,8383.960456815112,10047.190147971181,True
allocation_disabled,{'allocation_constraints': {'enabled': False}},1.0031599196560301,2398.8673261293015,0,0.9813213984066326,0.5091018428637445,0.47096341992437735,0.543943842313627,0.6839683522397554,0.5831942503922154,0.8069120823238926,3605.3437801913988,3347.4288806373584,3862.0030134241215,1834.60332486177,1613.9441588823797,2056.776722739188,1769.1674736138548,1634.269851695207,1904.5937570849403,10341.760136195975,9253.096285745738,11546.399735270525,10582.967903355719,9473.655875317352,11759.36685099275,8996.14307701597,8053.581386756313,9903.581296603952,True
observations_trusted_more,{'observation_sigma': {'observed_rel_sigma': 0.05}},1.003447936450601,2190.459353010193,0,1.0695160138587476,0.5265571826133255,0.4956626309082659,0.5562141024684377,0.6767751602609594,0.6238738623831354,0.7405661084385012,3671.700414903652,3414.703358132853,3922.220965796327,1934.7751977819423,1723.1180389374288,2136.336419792749,1737.0442931216953,1606.3050355394093,1860.3280091436634,10894.747945540841,10149.929293340178,11622.118364475162,11118.34792347745,10407.844481284556,11843.279925284083,9645.322291265256,9096.873256196235,10241.365884186347,False
observations_trusted_less,{'observation_sigma': {'observed_rel_sigma': 0.2}},1.003447936450601,2190.459353010193,0,1.0695160138587476,0.5265571826133255,0.4956626309082659,0.5562141024684377,0.6767751602609594,0.6238738623831354,0.7405661084385012,3671.700414903652,3414.703358132853,3922.220965796327,1934.7751977819423,1723.1180389374288,2136.336419792749,1737.0442931216953,1606.3050355394093,1860.3280091436634,10894.747945540841,10149.929293340178,11622.118364475162,11118.34792347745,10407.844481284556,11843.279925284083,9645.322291265256,9096.873256196235,10241.365884186347,False
zero_flows_hard,{'bounds': {'zero_flow_upper': 0.0}},1.003447936450601,2190.459353010193,0,1.0695160138587476,0.5265571826133255,0.4956626309082659,0.5562141024684377,0.6767751602609594,0.6238738623831354,0.7405661084385012,3671.700414903652,3414.703358132853,3922.220965796327,1934.7751977819423,1723.1180389374288,2136.336419792749,1737.0442931216953,1606.3050355394093,1860.3280091436634,10894.747945540841,10149.929293340178,11622.118364475162,11118.34792347745,10407.844481284556,11843.279925284083,9645.322291265256,9096.873256196235,10241.365884186347,False
