flow_idx,flow_label,total_precision,share_observations,share_prior,share_allocation,share_aggregate_observations,n_observations,sources,obs_min,obs_max,obs_spread_pct,determined_by,posterior_mean,posterior_sd,prior_mean,prior_sd,contraction,shift_in_prior_sd
0,bauxite_mining -> bauxite,0.0009190766169317615,0.38415844691317813,0.615841553086822,0.0,0.0,1,observation_2022,164.00915,164.00915,0.0,prior-informed,199.83478843698865,38.66800426332698,229.89165605096335,63.19658473332025,0.6256168465850453,-0.4756090497739712
1,import_of_bauxite -> bauxite,0.00038204786510062026,0.09730744449229299,0.902692555507707,0.0,0.0,1,observation_2022,3280.183,3280.183,0.0,prior-informed,3712.3838667082186,106.9551351149562,4353.45381563838,181.6023479782521,0.6531350937059124,-3.5300752224136036
2,bauxite -> export_bauxite,3.0803992894733696,0.9556147810482373,0.04428923567576453,9.598327599824423e-05,0.0,1,observation_2022,6.0,6.0,0.0,observation-driven,7.091986020169615,0.5780820263111828,32.82196449108579,2.757666018073857,0.956056403511131,-9.330346134115166
3,bauxite -> bauxite_non_aluminum_use,0.0012034780684676651,0.2933755545743123,0.4721214703230805,0.2345029751026072,0.0,1,observation_2022,164.00915,164.00915,0.0,prior-informed,198.47834164512741,32.35561293853358,228.35278509822302,63.80389905484051,0.7428391667201066,-0.46822284994555
4,bauxite -> bauxite_refining_to_alumina,0.0006864011648895946,0.0009976522160663834,0.997673851830505,0.0013284959534287375,0.0,1,observation_2022,3280.183,3280.183,0.0,prior-informed,3706.6483274799284,110.30792170329671,4323.083475070617,204.95452383237895,0.7103334231760805,-3.007667925860652
5,import_alumina -> primary_smelting_hall_hauroult_to_aluminum,0.0019592493844481844,0.0,1.0,0.0,0.0,0,,,,,prior-informed,1299.1379835062244,53.468727353447676,1316.6145607598844,56.47715628035028,0.1036986464410301,-0.30944506424698537
6,bauxite_refining_to_alumina -> waste_bauxite,0.00039714275900928794,0.0057001351891483405,0.9136687922893186,0.08063107252153302,0.0,1,observation_2022,1804.10065,1804.10065,0.0,prior-informed,2088.953243518201,102.24513410548379,2320.9555161767867,236.55698831640098,0.813184144538049,-0.9807457996052809
7,bauxite_refining_to_alumina -> export_alumina,0.004678385354390981,0.7481658586281742,0.21436082287276625,0.037473318499059556,0.0,1,observation_2022,174.0,174.0,0.0,observation-driven,226.2104892124069,15.075091706593106,464.77139522715703,39.384366033577514,0.8534883337891227,-6.057248853805664
8,bauxite_refining_to_alumina -> alumina_non_aluminum_use,0.0008183751647173529,0.2335399629332595,0.5833207432291357,0.18313929383760477,0.0,1,observation_2022,744.628,744.628,0.0,prior-informed,738.5917221091502,43.27981322751833,779.4436423141839,91.43173699477364,0.7759335595582484,-0.44680240743286825
9,bauxite_refining_to_alumina -> primary_smelting_hall_hauroult_to_aluminum,0.002789037884592242,0.1222698397261701,0.823373209050462,0.054356951223367936,0.0,1,observation_2022,557.45435,557.45435,0.0,prior-informed,652.8928726401563,34.335672888580376,758.0083207957487,61.8228600429095,0.6915442000886242,-1.7002682839751304
10,primary_smelting_hall_hauroult_to_aluminum -> waste_alumina,0.0016765337226188344,0.0024009759784981853,0.9761375622503397,0.021461461771162132,0.0,1,observation_2022,1352.934,1352.934,0.0,prior-informed,983.0448374980082,67.66841426714058,971.9884845900453,174.8128400313935,0.8501608358080543,0.06324680101288495
11,primary_smelting_hall_hauroult_to_aluminum -> remelting,0.0023115346374117983,0.0030209907424841934,0.7634153181013679,0.023675556071282314,0.20988813508486556,1,observation_2022,528.7105257,528.7105257,0.0,prior-informed,689.6544420172135,52.15516919302019,790.3914932944954,127.59996216017461,0.8329318644370692,-0.7894755576089276
