node,throughput_mean,residual_mean,residual_q2.5,residual_q97.5,residual_pct_mean,residual_pct_q2.5,residual_pct_q97.5,imbalance_pct_mean,imbalance_pct_median,n_inflows,n_outflows
3,3912.2186551452123,-2.589217729109805e-13,-9.094947017729282e-13,0.0,-6.599394779628541e-15,-2.2710584187808206e-14,0.0,7.181263171544683e-15,1.1291960525498748e-14,2,3
5,3706.6483274799157,-8.000711204658728e-14,-4.547473508864641e-13,4.547473508864641e-13,-2.236363201788126e-15,-1.3122488127980467e-14,1.2447949363957472e-14,6.178899483192127e-15,0.0,1,4
6,1952.0308561463835,5.6559201766503975e-14,-2.2737367544323206e-13,4.547473508864641e-13,2.8997152313349276e-15,-1.2153547626870885e-14,2.3434971853475343e-14,6.308888534138025e-15,0.0,2,3
8,8719.825004248632,8.952838470577262e-13,-1.8189894035458565e-12,3.637978807091713e-12,1.0265534032721068e-14,-2.0471179628034286e-14,4.024471579894688e-14,1.1956770852410078e-14,1.952783404118918e-14,8,2
9,2520.83723889235,5.982769835100044e-14,-4.547473508864641e-13,9.094947017729282e-13,2.403091451856295e-15,-1.887697990505747e-14,3.517088527468647e-14,9.330533815964749e-15,0.0,8,2
18,5465.463847857134,5.826450433232821e-14,-9.094947017729282e-13,9.094947017729282e-13,9.682322047369582e-16,-1.811870595531129e-14,1.8213495902668162e-14,8.199116784785453e-15,0.0,9,3
19,1961.3787877400046,1.1119993814645568e-13,-2.2737367544323206e-13,4.547473508864641e-13,5.628050019864059e-15,-1.3148453174952781e-14,2.4641996535674628e-14,9.288062036198439e-15,1.1390244339606471e-14,1,2
20,2329.1729539550142,1.41895384331292e-13,-4.547473508864641e-13,9.094947017729282e-13,6.104671849824778e-15,-2.0098174827044968e-14,3.3651292859117585e-14,1.0104814197149612e-14,1.140826278494767e-14,4,2
21,2269.149647370064,4.1438852349529043e-13,0.0,9.094947017729282e-13,1.8590622744790936e-14,0.0,4.256304960627404e-14,1.885929790870301e-14,1.9458985957811807e-14,1,2
22,915.9722737726789,1.6946444247878388e-14,-1.1368683772161603e-13,2.2737367544323206e-13,1.85393634436317e-15,-1.3559890747382263e-14,2.2229042490943526e-14,6.4819038471246335e-15,0.0,3,2
23,878.6950918150802,-2.582822844487964e-14,-2.2737367544323206e-13,2.2737367544323206e-13,-3.034197523736013e-15,-2.898960228036984e-14,2.6878808406882264e-14,1.1930913366847692e-14,1.2719202849764915e-14,1,2
24,8633.989371302929,-7.298694981727749e-13,-3.637978807091713e-12,1.8189894035458565e-12,-8.571918729764023e-15,-4.018090329921456e-14,2.099407782772637e-14,1.1992148073457875e-14,1.9464964629796402e-14,1,9
25,2434.257293684074,1.3017142919125036e-13,-4.547473508864641e-13,9.094947017729282e-13,5.336312946379113e-15,-1.9324636271495396e-14,3.697013643726051e-14,1.04406131309675e-14,1.743958532107011e-14,1,9
