flow_idx,from_node,to_node,from_node_name,to_node_name,value_1,value_2,value_3,value_4,year,map_estimate,posterior_mean,lower_bound,upper_bound
0,1,3,bauxite_mining,bauxite,164.00915,,,,2022,199.4564215661883,197.99994729867805,32.80183,295.21647
1,2,3,import_of_bauxite,bauxite,3280.183,,,,2022,3729.0604257830482,3734.075821415498,656.0366,5904.3294000000005
2,3,85,bauxite,export_bauxite,6.0,,,,2022,7.085555465519996,7.080601215393614,1.2000000000000002,10.8
3,3,86,bauxite,bauxite_non_aluminum_use,164.00915,,,,2022,198.44279579128712,199.31753596035728,32.80183,295.21647
4,3,5,bauxite,bauxite_refining_to_alumina,3280.183,,,,2022,3687.3557721042953,3689.1488858126604,656.0366,5904.3294000000005
5,4,6,import_alumina,primary_smelting_hall_hauroult_to_aluminum,,,,,2022,1298.3866708399112,1299.2142769504462,0.0,14410.098
6,5,87,bauxite_refining_to_alumina,waste_bauxite,1804.10065,,,,2022,2054.524572595289,2056.8001782998094,360.82013000000006,3247.38117
7,5,88,bauxite_refining_to_alumina,export_alumina,174.0,,,,2022,225.75396242237701,225.85196812694042,34.800000000000004,313.2
8,5,89,bauxite_refining_to_alumina,alumina_non_aluminum_use,744.628,,,,2022,732.9111040455247,732.1450941739239,148.9256,1340.3304
9,5,6,bauxite_refining_to_alumina,primary_smelting_hall_hauroult_to_aluminum,557.45435,,,,2022,649.1726837601004,648.8804670200249,111.49087,1003.41783
10,6,90,primary_smelting_hall_hauroult_to_aluminum,waste_alumina,1352.934,,,,2022,977.528223725555,978.9107656385385,270.5868,2435.2812
11,6,8,primary_smelting_hall_hauroult_to_aluminum,remelting,528.7105257,,,,2022,680.4557038691157,685.4206272440504,105.74210513999999,951.67894626
12,6,9,primary_smelting_hall_hauroult_to_aluminum,refining,332.2894743,,,,2022,283.42180297517166,278.1869717860731,66.45789486,598.12105374
13,7,8,import_unwrought_aluminum_ingot,remelting,2829.794168,,,,2022,2975.7126230627564,2977.6410356431697,565.9588335999999,5093.629502399999
14,7,9,import_unwrought_aluminum_ingot,refining,1320.205832,,,,2022,1380.1068373440712,1379.1028196771176,264.0411664,2376.3704976000004
15,8,91,remelting,loss_remelting,,,,,2022,91.092854888365,106.001928912567,0.0,14410.098
16,8,24,remelting,wrought_aluminum_ingot,8005.61,,,,2022,8705.219332841565,8716.921960582295,1601.122,14410.098
17,9,92,refining,loss_refining,,,,,2022,88.46787226560646,89.33534471812622,0.0,14410.098
18,9,25,refining,cast_aluminum_ingot,2490.138,,,,2022,2473.7713138174336,2459.569078234531,498.0276,4482.2484
19,10,8,alloying_element_si,remelting,,,,,2022,374.14968467568656,373.26259961898586,0.0,14410.098
20,10,9,alloying_element_si,refining,,,,,2022,173.38542032353473,172.28193522602672,0.0,14410.098
21,12,8,alloying_element_mg,remelting,,,,,2022,106.0537518042378,106.56247397982737,0.0,14410.098
22,12,9,alloying_element_mg,refining,,,,,2022,0.39879945367760106,0.4733889414821213,0.0,14410.098
23,16,8,alloying_element_other,remelting,,,,,2022,22.586915920882447,22.518230290682386,0.0,14410.098
24,16,9,alloying_element_other,refining,,,,,2022,26.140497215170353,26.302773306250803,0.0,14410.098
25,17,18,import_scrap,eol_scrap_generated,685.0,,,,2022,710.5839471154894,710.2636872220975,137.0,1233.0
26,18,93,eol_scrap_generated,export_eol_scrap,2000.0,,,,2022,1730.842757767591,1734.2165288503747,400.0,3600.0
27,18,94,eol_scrap_generated,loss_eol_scrap,,,,,2022,1732.9089253234724,1771.6861055900015,0.0,14410.098
28,18,19,eol_scrap_generated,eol_scrap_recycled,1590.0,,,,2022,1903.439188998449,1909.1072439828974,318.0,2862.0
29,19,8,eol_scrap_recycled,remelting,,,,,2022,1262.1114253578119,1273.7340222775072,0.0,14410.098
30,19,9,eol_scrap_recycled,refining,,,,,2022,647.252751525778,641.3616548270198,0.0,14410.098
31,20,95,forming_scrap_generated,loss_forming_scrap,,,,,2022,63.480863657159716,63.67233258250756,0.0,14410.098
32,20,21,forming_scrap_generated,forming_scrap_recycled,2083.0,,,,2022,2323.87488434775,2327.098883898682,416.6,3749.4
33,21,8,forming_scrap_recycled,remelting,,,,,2022,2340.039760586732,2342.420064204192,0.0,14410.098
34,21,9,forming_scrap_recycled,refining,,,,,2022,0.40498910665221777,0.48108639349334603,0.0,14410.098
35,22,96,fabrication_scrap_generated,loss_fabrication_scrap,,,,,2022,38.46903930186067,38.33860987466385,0.0,14410.098
36,22,23,fabrication_scrap_generated,fabrication_scrap_recycled,,,,,2022,885.0274414441553,885.6471214336851,0.0,14410.098
37,23,8,fabrication_scrap_recycled,remelting,,,,,2022,893.7817878628408,894.6437438158398,0.0,14410.098
38,23,9,fabrication_scrap_recycled,refining,,,,,2022,0.6129346582433618,0.6518545477759126,0.0,14410.098
39,24,42,wrought_aluminum_ingot,1xxx,,,,,2022,1419.0097313395197,1431.0292895501498,0.0,14410.098
40,24,43,wrought_aluminum_ingot,2xxx,,,,,2022,156.4270524376478,156.5416363772718,0.0,14410.098
41,24,44,wrought_aluminum_ingot,3xxx,,,,,2022,1632.5407367075122,1624.3391001014843,0.0,14410.098
42,24,45,wrought_aluminum_ingot,4xxx,,,,,2022,91.92773746915465,92.92442144343255,0.0,14410.098
