flow_idx,flow_label,total_precision,share_observations,share_prior,share_mass_balance,share_allocation,share_aggregate_observations,n_observations,sources,obs_min,obs_max,obs_spread_pct,determined_by,posterior_mean,posterior_sd,prior_mean,prior_sd,contraction,shift_in_prior_sd
0,bauxite_mining -> bauxite,0.001549028870469321,0.22793057798060978,0.3653938167114672,0.40667560530792307,0.0,0.0,1,observation_2022,164.00915,164.00915,0.0,structure-determined,198.75348949382723,40.01250265078249,229.89165605096335,63.19658473332025,0.5991293924704724,-0.49271913487942953
1,import_of_bauxite -> bauxite,0.0010120001186381797,0.03673527378307474,0.3407823352214888,0.6224823909954365,0.0,0.0,1,observation_2022,3280.183,3280.183,0.0,structure-determined,3719.2744073903027,109.03977198308046,4353.45381563838,181.6023479782521,0.6394820020176457,-3.4921322070352496
2,bauxite -> export_bauxite,3.081029241726907,0.9554193944947175,0.0442801802265518,0.00020446162762949736,9.596365110140843e-05,0.0,1,observation_2022,6.0,6.0,0.0,observation-driven,7.0841966248293975,0.5694595010125235,32.82196449108579,2.757666018073857,0.9573575301037072,-9.333170767442466
3,bauxite -> bauxite_non_aluminum_use,0.0018334303220052246,0.1925740190489319,0.3099042425376206,0.3435921430865069,0.15392959532694064,0.0,1,observation_2022,164.00915,164.00915,0.0,structure-determined,199.6242218753992,33.59141917841901,228.35278509822302,63.80389905484051,0.7228197601093744,-0.45026344233494486
4,bauxite -> bauxite_refining_to_alumina,0.0020143956438151717,0.000339947936923499,0.33995530926554207,0.659252060538821,0.0004526822587133566,0.0,1,observation_2022,3280.183,3280.183,0.0,structure-determined,3692.97836432521,114.49734956398605,4323.083475070617,204.95452383237895,0.6879128769173635,-3.0743654688038777
5,import_alumina -> primary_smelting_hall_hauroult_to_aluminum,0.004534705159555016,0.0,0.43205662011341056,0.5679433798865894,0.0,0.0,0,,,,,structure-determined,1300.6976655225124,54.508914613695495,1316.6145607598844,56.47715628035028,0.068485913968106,-0.2818289072197834
6,bauxite_refining_to_alumina -> waste_bauxite,0.0010951849843973053,0.0020670183101442743,0.33132023371389535,0.63737380929502,0.02923893868094052,0.0,1,observation_2022,1804.10065,1804.10065,0.0,structure-determined,2068.8732938549865,105.8205790310886,2320.9555161767867,236.55698831640098,0.7998900412934654,-1.0656299951901391
7,bauxite_refining_to_alumina -> export_alumina,0.005376427579778999,0.65102861402353,0.1865295346030444,0.12983383762359,0.03260801374983559,0.0,1,observation_2022,174.0,174.0,0.0,observation-driven,226.06045401715986,15.0410515161937,464.77139522715703,39.384366033577514,0.8541492457571517,-6.061058365303682
8,bauxite_refining_to_alumina -> alumina_non_aluminum_use,0.0015164173901053705,0.12603608141180064,0.3148046259809917,0.460323279027757,0.09883601357945064,0.0,1,observation_2022,744.628,744.628,0.0,structure-determined,735.9345033295862,45.17013920475189,779.4436423141839,91.43173699477364,0.7559330820123672,-0.4758647315984465
9,bauxite_refining_to_alumina -> primary_smelting_hall_hauroult_to_aluminum,0.006062535885087091,0.05624959944206765,0.37878853283967606,0.5399552369738796,0.025006630744376687,0.0,1,observation_2022,557.45435,557.45435,0.0,structure-determined,649.9652461909487,34.919649471828336,758.0083207957487,61.8228600429095,0.6809626229334875,-1.7476233634259284
