node,flow_idx,n_out,target_share,source_share_sd,share_sigma,node_total_ref,tau_flow_units,share_dev_mean,share_dev_sd,share_dev_abs_mean,z_vs_tolerance
3,2,3,0.00716833702289624,0.0005501146091863423,0.02,4053.361961077249,81.06723922154498,-0.004763182510053278,0.00033540781952289927,0.004763182510053278,-0.23815912550266388
3,3,3,0.049862454186204,0.011465192595054085,0.02,4053.361961077249,81.06723922154498,0.002883134155442123,0.009517386067229346,0.008105136879715773,0.14415670777210615
3,4,3,0.9429692087908997,0.011495558918200798,0.02,4053.361961077249,81.06723922154498,0.0018800483546111797,0.009522417426450297,0.007817955378774784,0.09400241773055898
5,6,4,0.5361595903246611,0.02816810263254595,0.02816810263254595,3825.089645770848,107.74551772076208,0.010139921352262249,0.01750298410150974,0.016319622508393312,0.3599788556772154
5,7,4,0.10767361335032928,0.008549699041773662,0.02,3825.089645770848,76.50179291541697,-0.03070504173314967,0.00559926706635904,0.03070504173314967,-1.5352520866574835
5,8,4,0.18055738387501136,0.01854654414803578,0.02,3825.089645770848,76.50179291541697,0.01037340120868,0.013612624719294602,0.013909886206559337,0.518670060434
5,9,4,0.1756094124499982,0.013572642845201155,0.02,3825.089645770848,76.50179291541697,0.010191719172207523,0.011542797305272898,0.012523843669931983,0.5095859586103761
6,10,3,0.46778889314325955,0.06327385151113493,0.06327385151113493,2052.9961009209424,129.90097044261069,0.043379665943380455,0.024182775133212157,0.044052603072968474,0.6855859870604921
6,11,3,0.38122385291310307,0.051698958154239395,0.051698958154239395,2052.9961009209424,106.13775951232844,-0.028750129687371256,0.02807944784067658,0.033343626214754604,-0.5561065583100866
6,12,3,0.1509872539436374,0.039537810454176495,0.039537810454176495,2052.9961009209424,81.17097070137562,-0.014629536256009195,0.024763049280517768,0.023080724900748976,-0.370013819378403
7,13,2,0.6931672175033361,0.013996507466370298,0.02,4555.9153475326075,91.11830695065215,-0.008079489137546546,0.008418512456792837,0.009642622644803209,-0.4039744568773273
7,14,2,0.30683278249666385,0.013996507466370298,0.02,4555.9153475326075,91.11830695065215,0.008079489137546579,0.00841851245679284,0.009642622644803233,0.4039744568773289
8,15,2,0.016121393038384304,0.008025771017085966,0.02,8320.449156619237,166.40898313238475,-0.004975840389036682,0.007340638575362134,0.007465054276557894,-0.24879201945183407
8,16,2,0.9838786069616158,0.008025771017085966,0.02,8320.449156619237,166.40898313238475,0.0049758403890365925,0.007340638575362134,0.007465054276557852,0.24879201945182963
9,17,2,0.03287371383037022,0.01532020046595039,0.02,2688.3311535331413,53.76662307066283,0.0033816827822170455,0.011165997288042845,0.009348932072564726,0.16908413911085227
9,18,2,0.9671262861696298,0.01532020046595039,0.02,2688.3311535331413,53.76662307066283,-0.003381682782217077,0.011165997288042845,0.009348932072564731,-0.16908413911085385
10,19,2,0.7048061740245867,0.10126825273558145,0.10126825273558145,448.4131969439196,45.41002095808691,-0.02035592186566486,0.05936030923989663,0.05008788810736978,-0.20100990503722432
10,20,2,0.29519382597541327,0.10126825273558145,0.10126825273558145,448.4131969439196,45.41002095808691,0.020355921865664938,0.05936030923989663,0.050087888107369805,0.2010099050372251
12,21,2,0.9935650586125245,0.006208984891317458,0.02,99.94671074446666,1.9989342148893332,0.0023353736944109814,0.003434237484901781,0.0033988216607863564,0.11676868472054906
12,22,2,0.006434941387475459,0.006208984891317458,0.02,99.94671074446666,1.9989342148893332,-0.002335373694410973,0.00343423748490178,0.003398821660786349,-0.11676868472054866
16,23,2,0.5014784576000925,0.16001384462035226,0.16001384462035226,43.72820259393836,6.997117815393738,-0.03681287884749527,0.09316715916254838,0.07993799210126414,-0.23006058591265807
16,24,2,0.4985215423999075,0.16001384462035226,0.16001384462035226,43.72820259393836,6.997117815393738,0.036812878847495394,0.09316715916254838,0.07993799210126416,0.23006058591265885
18,26,3,0.2933167207606753,0.02732448672705284,0.02732448672705284,4982.66622153692,136.1487970357201,0.015322965460231007,0.017569981278624906,0.01907010774198857,0.5607777966076257
18,27,3,0.32769192345699244,0.05808024133360509,0.05808024133360509,4982.66622153692,289.3944566316665,-0.015933527872532088,0.03209405472030488,0.028832980618751777,-0.274336461190167
18,28,3,0.37899135578233234,0.03801075307876972,0.03801075307876972,4982.66622153692,189.39489542076637,0.0006105624123010471,0.02396814652615142,0.019076990660004064,0.01606288649519198
19,29,2,0.6885046138796663,0.0755679232688576,0.0755679232688576,1900.0257856858773,143.58100278156124,-0.01131978545345645,0.04185009677777231,0.034590366551427304,-0.1497961696417488
19,30,2,0.3114953861203337,0.07556792326885758,0.07556792326885758,1900.0257856858773,143.5810027815612,0.01131978545345645,0.04185009677777231,0.034590366551427304,0.14979616964174883
20,31,2,0.027692702904310522,0.015407818593208972,0.02,1860.1496368953112,37.20299273790623,-0.001059936529095021,0.01203346415827956,0.009667114852077559,-0.05299682645475105
20,32,2,0.9723072970956895,0.015407818593208972,0.02,1860.1496368953112,37.20299273790623,0.001059936529094961,0.012033464158279559,0.009667114852077541,0.05299682645474805
21,33,2,0.9998191336830294,0.00012223119672259456,0.02,1789.4211340566067,35.78842268113213,-3.6072796945750816e-05,0.0001632097273643983,0.00013294482238703802,-0.0018036398472875408
21,34,2,0.0001808663169705188,0.00012223119672259534,0.02,1789.4211340566067,35.78842268113213,3.607279694580788e-05,0.00016320972736439676,0.00013294482238704265,0.001803639847290394
22,35,2,0.044097157067939936,0.02081468514978585,0.02081468514978585,964.9197072603023,20.084499901446723,-0.002247578612641474,0.012699908211466701,0.010267541091565796,-0.10798042807121673
22,36,2,0.9559028429320601,0.02081468514978585,0.02081468514978585,964.9197072603023,20.084499901446723,0.0022475786126414676,0.012699908211466701,0.010267541091565796,0.10798042807121642
23,37,2,0.9994949551243176,0.00031170676511717093,0.02,927.1829016893707,18.543658033787416,-0.00023320674823656788,0.000339621403689381,0.0003287280840552108,-0.011660337411828394
23,38,2,0.0005050448756824789,0.0003117067651171707,0.02,927.1829016893707,18.543658033787416,0.00023320674823646271,0.00033962140368938164,0.0003287280840551633,0.011660337411823136
24,39,9,0.15297061975109505,0.046184253582349705,0.046184253582349705,8223.181512715126,379.7815002369254,0.010334674636709758,0.030634679829887084,0.025787859922621715,0.22377052426066216
24,40,9,0.015822787998753425,0.00353158513861497,0.02,8223.181512715126,164.46363025430253,0.0018694512188378945,0.004381287904658375,0.0037915076609537097,0.09347256094189473
24,41,9,0.18664970495394834,0.054332828693589866,0.054332828693589866,8223.181512715126,446.7887124466461,-0.000874943478346296,0.037690556407384036,0.030085968230260315,-0.016103403768659683
24,42,9,0.008493692414802786,0.002255515603922307,0.02,8223.181512715126,164.46363025430253,0.002089640527230955,0.0029147117735692086,0.0029130757727243305,0.10448202636154774
24,43,9,0.24015753742857857,0.07131160866637057,0.07131160866637057,8223.181512715126,586.4083020272742,-0.001816778050215742,0.041909128585080425,0.033500374389076916,-0.025476610108677942
24,44,9,0.3193603112965978,0.05206412686374125,0.05206412686374125,8223.181512715126,428.13276550157195,-0.00012202442943401311,0.03476208318200591,0.027792375659955716,-0.0023437333301174396
24,45,9,0.05157819362806544,0.008389255450399879,0.02,8223.181512715126,164.46363025430253,0.0035246970263466933,0.009195750304452268,0.007920603296119058,0.17623485131733466
24,46,9,0.007932849242688727,0.0022143505810460844,0.02,8223.181512715126,164.46363025430253,7.604653837267666e-06,0.0025650765037073184,0.002055855541729657,0.0003802326918633833
24,71,9,0.017034303285469895,0.015127131404802674,0.02,8223.181512715126,164.46363025430253,-0.015012322104966547,0.0024863718068371047,0.015012322104966547,-0.7506161052483273
25,47,9,0.054647715501922815,0.00431280672321315,0.02,2560.296319776839,51.20592639553678,-0.0007870095112207402,0.004715832073729476,0.0038342303348531796,-0.03935047556103701
25,48,9,0.4978707619010817,0.02085962268302507,0.02085962268302507,2560.296319776839,53.406815187282554,-0.008259144965954325,0.013900799087095204,0.013008247429687947,-0.39593932696948386
25,49,9,0.0022150984384863687,0.00015988412495568653,0.02,2560.296319776839,51.20592639553678,0.0001786221230028664,0.00017868867993361883,0.0002086501982799438,0.00893110615014332
25,50,9,0.21236959686262816,0.013256759914508198,0.02,2560.296319776839,51.20592639553678,0.011146681989578033,0.010720894472796609,0.012757563647598481,0.5573340994789017
25,51,9,0.0030102479327053146,0.00021760398972715656,0.02,2560.296319776839,51.20592639553678,0.0002107370687195059,0.0002409623068219309,0.0002602562568776435,0.010536853435975295
25,52,9,0.01711800243607825,0.00122058608947545,0.02,2560.296319776839,51.20592639553678,0.000990559193843654,0.0013166332930582148,0.001325973321574534,0.0495279596921827
25,53,9,0.0030634405594884575,0.00022083852561889477,0.02,2560.296319776839,51.20592639553678,0.00020316122901374106,0.00024359593744738305,0.0002578534466547716,0.010158061450687053
25,54,9,0.10727045000045504,0.006940536554464573,0.02,2560.296319776839,51.20592639553678,0.0013039737876645672,0.006834339294850818,0.005560102328374621,0.06519868938322836
25,70,9,0.10243468636715386,0.010141422741033449,0.02,2560.296319776839,51.20592639553678,-0.004987580914647249,0.007396226244445761,0.007042591543745234,-0.24937904573236244
28,57,2,0.33383096326098893,0.0314680556993295,0.0314680556993295,5.949709317366767,0.1872257841937171,-0.01020088399899886,0.019260127831137477,0.017513388952803414,-0.3241663258914409
28,63,2,0.6661690367390111,0.0314680556993295,0.0314680556993295,5.949709317366767,0.1872257841937171,0.01020088399899886,0.019260127831137477,0.017513388952803414,0.3241663258914409
29,58,2,0.3364778645568485,0.03153443592242925,0.03153443592242925,577.3854771245944,18.207525330926764,0.006223043720049329,0.018802689964199506,0.016020928839777307,0.19734120931660978
