flow_idx,flow_label,total_precision,share_observations,share_prior,share_mass_balance,share_allocation,share_aggregate_observations,n_observations,sources,obs_min,obs_max,obs_spread_pct,determined_by,posterior_mean,posterior_sd,prior_mean,prior_sd,contraction,shift_in_prior_sd
0,bauxite_mining -> bauxite,0.0012118339129870764,0.03067755492585733,0.46706530087269005,0.5022571442014525,0.0,0.0,1,observation_2022,164.00915,164.00915,0.0,structure-determined,230.5609390839462,42.730832612524374,229.89165605096335,63.19658473332025,0.5428112947429984,0.010590493707961137
1,import_of_bauxite -> bauxite,0.0009907001054839807,0.03752508071907011,0.3481091419743662,0.6143657773065637,0.0,0.0,1,observation_2022,3280.183,3280.183,0.0,structure-determined,3787.971688883699,110.69677252721237,4353.45381563838,181.6023479782521,0.6284416728242703,-3.113848103012415
2,bauxite -> export_bauxite,0.34393442229238413,0.6007295485890333,0.39667018264011855,0.0017696752663678877,0.0008305935044802494,0.0,1,observation_2022,6.0,6.0,0.0,observation-driven,9.401714001779926,1.040298737055003,32.82196449108579,2.757666018073857,0.8576908556011261,-8.492779885529492
3,bauxite -> bauxite_non_aluminum_use,0.0014866929390884762,0.025005904345971487,0.38218237286773105,0.40940010164879,0.1834116211375073,0.0,1,observation_2022,164.00915,164.00915,0.0,structure-determined,211.3815297558089,38.92958734569154,228.35278509822302,63.80389905484051,0.6277238945513237,-0.26599088133825544
4,bauxite -> bauxite_refining_to_alumina,0.001977896486370716,4.698944267666512e-05,0.34622868223650555,0.6532788810731263,0.00044544724769161946,0.0,1,observation_2022,3280.183,3280.183,0.0,structure-determined,3784.1368248721033,119.44530106682495,4323.083475070617,204.95452383237895,0.6603566455071141,-2.629591385059101
5,import_alumina -> primary_smelting_hall_hauroult_to_aluminum,0.004331845149598455,0.0,0.4522898018711031,0.5477101981288969,0.0,0.0,0,,,,,structure-determined,1288.8873474424952,54.06373952319777,1316.6145607598844,56.47715628035028,0.08363915976897951,-0.4909456343685661
6,bauxite_refining_to_alumina -> waste_bauxite,0.0010779833133802202,0.0002850141591664182,0.33660720021041657,0.6340225814518715,0.02908520417854536,0.0,1,observation_2022,1804.10065,1804.10065,0.0,structure-determined,2063.5021656569324,109.02109389217532,2320.9555161767867,236.55698831640098,0.7876024485507611,-1.0883354254388116
7,bauxite_refining_to_alumina -> export_alumina,0.0021036557021684313,0.11678417058911324,0.4767237021007793,0.32489430775523676,0.08159781955487067,0.0,1,observation_2022,174.0,174.0,0.0,prior-informed,289.1616618689528,18.195362379094167,464.77139522715703,39.384366033577514,0.7865610377321786,-4.458869115945308
8,bauxite_refining_to_alumina -> alumina_non_aluminum_use,0.0013210025311007013,0.010154879252116668,0.36137342517082727,0.5173841434973508,0.11108755207970519,0.0,1,observation_2022,744.628,744.628,0.0,structure-determined,721.5236273415902,55.12199960470219,779.4436423141839,91.43173699477364,0.6365405321550596,-0.63347823060503
9,bauxite_refining_to_alumina -> primary_smelting_hall_hauroult_to_aluminum,0.005524853703978331,0.004332292182765558,0.41565246724024985,0.553147955041965,0.026867285535019603,0.0,1,observation_2022,557.45435,557.45435,0.0,structure-determined,702.1434996109045,45.1419567927877,758.0083207957487,61.8228600429095,0.46683384055975374,-0.9036272528652011
