flow_idx,from_node,to_node,from_node_name,to_node_name,value_1,value_2,value_3,value_4,year,map_estimate,posterior_mean,lower_bound,upper_bound
0,1,3,bauxite_mining,bauxite,164.00915,,,,2022,256.2551394814695,230.5609390839462,32.80183,295.21647
1,2,3,import_of_bauxite,bauxite,3280.183,,,,2022,3793.772797729823,3787.971688883699,656.0366,5904.3294000000005
2,3,85,bauxite,export_bauxite,6.0,,,,2022,10.799999819690983,9.401714001779926,1.2000000000000002,10.8
3,3,86,bauxite,bauxite_non_aluminum_use,164.00915,,,,2022,211.78342742385848,211.3815297558089,32.80183,295.21647
4,3,5,bauxite,bauxite_refining_to_alumina,3280.183,,,,2022,3813.1434091300152,3784.1368248721033,656.0365999999999,5904.3294
5,4,6,import_alumina,primary_smelting_hall_hauroult_to_aluminum,,,,,2022,1290.4908398728987,1288.8873474424952,0.0,14410.098000000002
6,5,87,bauxite_refining_to_alumina,waste_bauxite,1804.10065,,,,2022,2067.223912021038,2063.5021656569324,360.82013,3247.3811699999997
7,5,88,bauxite_refining_to_alumina,export_alumina,174.0,,,,2022,313.1999956938433,289.1616618689528,34.800000000000004,313.2
8,5,89,bauxite_refining_to_alumina,alumina_non_aluminum_use,744.628,,,,2022,721.5316278487832,721.5236273415902,148.9256,1340.3304
9,5,6,bauxite_refining_to_alumina,primary_smelting_hall_hauroult_to_aluminum,557.45435,,,,2022,703.8914012274311,702.1434996109045,111.49087,1003.41783
10,6,90,primary_smelting_hall_hauroult_to_aluminum,waste_alumina,1352.934,,,,2022,1021.9653197030568,1018.5937250568278,270.5868,2435.2812
11,6,8,primary_smelting_hall_hauroult_to_aluminum,remelting,528.7105257,,,,2022,693.8938115880153,698.4996006972677,105.74210513999999,951.67894626
12,6,9,primary_smelting_hall_hauroult_to_aluminum,refining,332.2894743,,,,2022,274.6432790172838,269.98985138142126,66.45789486,598.12105374
13,7,8,import_unwrought_aluminum_ingot,remelting,2829.794168,,,,2022,2977.6978592648406,2980.990572350021,565.9588335999999,5093.629502399999
