node,flow_idx,n_out,target_share,source_share_sd,share_sigma,node_total_ref,tau_flow_units,share_dev_mean,share_dev_sd,share_dev_abs_mean,z_vs_tolerance
3,2,3,0.00716833702289624,0.0005501146091863423,0.02,3941.3596754854893,78.82719350970979,-0.004885302944297679,0.0004120173196772637,0.004885302944297679,-0.24426514721488396
3,3,3,0.049862454186204,0.011465192595054085,0.02,3941.3596754854893,78.82719350970979,-0.0009258062639047268,0.0074717103643755145,0.006015704197258975,-0.04629031319523634
3,4,3,0.9429692087908997,0.011495558918200798,0.02,3941.3596754854893,78.82719350970979,0.0058111092082024285,0.007476229038760231,0.007679221620817477,0.2905554604101214
5,6,4,0.5361595903246611,0.02816810263254595,0.02816810263254595,3742.7110241068854,105.4250682510039,0.0006264067887735195,0.016355050188866307,0.013049962223576453,0.022238160551494066
5,7,4,0.10767361335032928,0.008549699041773662,0.02,3742.7110241068854,74.8542204821377,-0.03008495340574115,0.005949038949794092,0.03008495340574115,-1.5042476702870575
5,8,4,0.18055738387501136,0.01854654414803578,0.02,3742.7110241068854,74.8542204821377,0.011882695136568769,0.013586387241581413,0.014649339676684003,0.5941347568284384
5,9,4,0.1756094124499982,0.013572642845201155,0.02,3742.7110241068854,74.8542204821377,0.017575851480398905,0.011346642029842693,0.018207068764083293,0.8787925740199453
6,10,3,0.46778889314325955,0.06327385151113493,0.06327385151113493,2100.2776223297133,132.8926544074498,0.06454859589652406,0.02106360172037413,0.06455717310939714,1.0201464642177631
6,11,3,0.38122385291310307,0.051698958154239395,0.051698958154239395,2100.2776223297133,108.58216490910925,-0.07277681882645877,0.019925676705974015,0.07277681882645877,-1.4077037802064674
6,12,3,0.1509872539436374,0.039537810454176495,0.039537810454176495,2100.2776223297133,83.04037853282068,0.008228222929934543,0.014446076846098362,0.013352485407442626,0.20811023259547676
7,13,2,0.6931672175033361,0.013996507466370298,0.02,4616.305801464554,92.32611602929109,-0.007298656689234881,0.008423950054617482,0.00910982998818204,-0.364932834461744
