flow_idx,flow_label,total_precision,share_observations,share_prior,share_mass_balance,share_allocation,share_aggregate_observations,n_observations,sources,obs_min,obs_max,obs_spread_pct,determined_by,posterior_mean,posterior_sd,prior_mean,prior_sd,contraction,shift_in_prior_sd
0,bauxite_mining -> bauxite,0.0017444326844774732,0.3065128403770125,0.32446397973022345,0.369023179892764,0.0,0.0,1,observation_2022,164.00915,164.00915,0.0,structure-determined,193.47685089267648,34.911878752164704,229.89165605096335,63.19658473332025,0.6948177829903974,-0.5762147640090312
1,import_of_bauxite -> bauxite,0.0010257839614353681,0.03624164816796077,0.33620311550920273,0.6275552363228365,0.0,0.0,1,observation_2022,3280.183,3280.183,0.0,structure-determined,3742.548053023945,104.68575093527414,4353.45381563838,181.6023479782521,0.6676985573314455,-3.3639750224352487
2,bauxite -> export_bauxite,0.1731792994053047,0.20675044356383734,0.7877877470080855,0.003717165380304278,0.001744644047772862,0.0,1,observation_2022,6.0,6.0,0.0,prior-informed,8.833449838529683,1.4652397657054816,32.82196449108579,2.757666018073857,0.7176849320086922,-8.698846958019713
3,bauxite -> bauxite_non_aluminum_use,0.002035009310232326,0.26274622640652406,0.2792065040339634,0.31633078684109606,0.1417164827184165,0.0,1,observation_2022,164.00915,164.00915,0.0,structure-determined,191.73053349013597,29.749051450861078,228.35278509822302,63.80389905484051,0.7826038708027295,-0.5739814047509796
4,bauxite -> bauxite_refining_to_alumina,0.0020484016010182504,0.0024631757898141223,0.3343116377842775,0.6627702786406471,0.00045490778526128975,0.0,1,observation_2022,3280.183,3280.183,0.0,structure-determined,3717.804499626197,107.61153214057785,4323.083475070617,204.95452383237895,0.724321680789211,-2.9532354989121616
5,import_alumina -> primary_smelting_hall_hauroult_to_aluminum,0.004226223647947924,0.0,0.46359339865970256,0.5364066013402974,0.0,0.0,0,,,,,structure-determined,1303.1782276301471,53.016346740674834,1316.6145607598844,56.47715628035028,0.11880108507291953,-0.23790739503667369
6,bauxite_refining_to_alumina -> waste_bauxite,0.00112616888475152,0.01481090550115467,0.3222047331475736,0.6339045708029647,0.02907979054830708,0.0,1,observation_2022,1804.10065,1804.10065,0.0,structure-determined,1990.866976686787,94.59295168215864,2320.9555161767867,236.55698831640098,0.8401009107812275,-1.3953869713986122
7,bauxite_refining_to_alumina -> export_alumina,0.0019386135481171702,0.021961155600262933,0.517309153883276,0.36824441066833935,0.0924852798481217,0.0,1,observation_2022,174.0,174.0,0.0,prior-informed,286.74338751374177,19.749180587675816,464.77139522715703,39.384366033577514,0.7485506924633427,-4.520271001991902
8,bauxite_refining_to_alumina -> alumina_non_aluminum_use,0.0013468614611953794,0.0017260098792601798,0.3544352727262001,0.5300349175530443,0.1138037998414954,0.0,1,observation_2022,744.628,744.628,0.0,structure-determined,714.1293762911766,55.25219405532657,779.4436423141839,91.43173699477364,0.6348215709458971,-0.714350051413118
9,bauxite_refining_to_alumina -> primary_smelting_hall_hauroult_to_aluminum,0.0054364689114423555,0.0007629734098433335,0.42241004420473377,0.5483077187778768,0.02851926360754612,0.0,1,observation_2022,557.45435,557.45435,0.0,structure-determined,717.0860512632408,43.83493286979708,758.0083207957487,61.8228600429095,0.49726108139116143,-0.661927796677553
10,primary_smelting_hall_hauroult_to_aluminum -> waste_alumina,0.003964831763606891,0.007480466371900037,0.412760903514063,0.5717706068409382,0.007988023273098773,0.0,1,observation_2022,1352.934,1352.934,0.0,structure-determined,1079.2210002952945,67.57677629243175,971.9884845900453,174.8128400313935,0.8505663916442006,0.6134132692197666
11,primary_smelting_hall_hauroult_to_aluminum -> remelting,0.004948532892970829,0.05058703385927516,0.35660285355053023,0.4850336201852282,0.009734566702181554,0.09804192570278492,1,observation_2022,528.7105257,528.7105257,0.0,structure-determined,616.1754586148791,37.179001058911744,790.3914932944954,127.59996216017461,0.9151026093266906,-1.3653298302778893
12,primary_smelting_hall_hauroult_to_aluminum -> refining,0.007647396168269704,0.08287142973952359,0.3478989687990462,0.48888680779917953,0.016901109256850542,0.0634416844054002,1,observation_2022,332.2894743,332.2894743,0.0,structure-determined,321.8618441680679,29.356221869115487,313.1389931216936,99.9526745216045,0.9137395967798972,0.08726981131944452
13,import_unwrought_aluminum_ingot -> remelting,0.0003306068035913308,0.15109097029221394,0.28824048048492573,0.40298795649792934,0.06681478784401214,0.09086580488091879,1,observation_2022,2829.794168,2829.794168,0.0,structure-determined,2977.8148210311933,83.32674755135298,3592.2142315800734,193.3548994249822,0.8142800753274855,-3.177573531242505
14,import_unwrought_aluminum_ingot -> refining,0.0028632695382952793,0.08015201863619395,0.35597783848439923,0.5140056908709857,0.03937265132195128,0.01049180068646967,1,observation_2022,1320.205832,1320.205832,0.0,structure-determined,1366.746745361858,43.76456846215051,1589.0230093686755,92.16070924774019,0.7744962936220356,-2.4118332619306284
15,remelting -> loss_remelting,0.0003724882496678437,0.0,0.46920395075065613,0.357677216133361,0.17311883311598295,0.0,0,,,,,structure-determined,103.9372101712394,61.07618647917636,159.91037255540172,97.58075228309573,0.6082441404222396,-0.573608637713472
16,remelting -> wrought_aluminum_ingot,0.00041672742524816246,0.0020326645805932653,0.35349642297991407,0.6444293666603684,4.154577912415473e-05,0.0,1,observation_2022,8005.61,8005.61,0.0,structure-determined,8687.290319629232,262.83584491249394,9778.56276562939,777.4528101134325,0.885706610979614,-1.4036510406862348
17,refining -> loss_refining,0.0034424034198620454,0.0,0.37252588503912765,0.4275317729147194,0.19994234204615297,0.0,0,,,,,structure-determined,97.03115658957299,29.9019593066231,89.07317259744157,52.077583598075535,0.6703161730934679,0.15281016211407888
18,refining -> cast_aluminum_ingot,0.004972383789107501,0.0017607398253909358,0.37680425097999226,0.6212750780434652,0.00015993115115164335,0.0,1,observation_2022,2490.138,2490.138,0.0,structure-determined,2486.6046065447554,81.424888655305,2607.210044408985,131.399744943028,0.616005236240661,-0.9178513848449371
19,alloying_element_si -> remelting,0.0003891909129585888,0.0,0.4725162209213686,0.3423270064832137,0.1851567725954176,0.0,0,,,,,structure-determined,362.3924232315639,79.15428616442549,319.23877033415454,92.99206685655929,0.27546883278975187,0.4640573583978306
20,alloying_element_si -> refining,0.003105117159609184,0.0,0.3937318186412861,0.473971435385887,0.1322967459728269,0.0,0,,,,,structure-determined,160.3217522329991,39.00879241871117,131.39093922059712,53.7558867456049,0.47340958250073173,0.5381887410641102
21,alloying_element_mg -> remelting,0.0010529757538644089,0.0,0.8551730546498922,0.12652766190923964,0.018299283440868053,0.0,0,,,,,prior-informed,107.27348052160667,34.728615618217425,80.73564793856336,35.185223418934285,0.02578611118582419,0.7542323169891387
22,alloying_element_mg -> refining,9.689242140243351,0.0,0.9524385297136946,0.00015189390623943574,0.04740957638006604,0.0,0,,,,,prior-informed,0.4630267417901158,0.2706121343136584,0.42571222774303297,0.33398663547138563,0.3434975433900985,0.11172457243511406
23,alloying_element_other -> remelting,0.019293485652089465,0.0,0.49267368609331497,0.006905468642943425,0.5004208452637415,0.0,0,,,,,structure-determined,21.748971064141152,8.203638813596449,20.86220822101034,10.410000763705632,0.3789714878329111,0.08518374429159513
24,alloying_element_other -> refining,0.021771429847618054,0.0,0.48365945253933695,0.06759945706286864,0.4487410903977944,0.0,0,,,,,structure-determined,25.11663936611519,8.154766378246144,20.7178737267433,10.345596927301678,0.37868485574641264,0.42518239114494194
25,import_scrap -> eol_scrap_generated,0.0018914637750254135,0.45069300762280584,0.40762529965366173,0.14168169272353245,0.0,0.0,1,observation_2022,685.0,685.0,0.0,prior-informed,709.6002406847605,26.240490262188143,719.2217609663195,44.30134096525404,0.6491591573274413,-0.21718349991042626
26,eol_scrap_generated -> export_eol_scrap,0.0007608828159169171,0.13142628261290537,0.48818934666672453,0.3522037609009499,0.028180609819420194,0.0,1,observation_2022,2000.0,2000.0,0.0,prior-informed,1781.8435770292087,65.19859334816567,1572.6152036440599,95.28251039432442,0.5317798819497532,2.195873854700744
