flow_idx,from_node,to_node,from_node_name,to_node_name,value_1,value_2,value_3,value_4,year,map_estimate,posterior_mean,lower_bound,upper_bound
0,1,3,bauxite_mining,bauxite,164.00915,,,,2022,194.7024589936032,193.47685089267648,32.80183,295.21647
1,2,3,import_of_bauxite,bauxite,3280.183,,,,2022,3754.0218800715024,3742.548053023945,656.0366,5904.3294000000005
2,3,85,bauxite,export_bauxite,6.0,,,,2022,10.799999675844512,8.833449838529683,1.2000000000000002,10.8
3,3,86,bauxite,bauxite_non_aluminum_use,164.00915,,,,2022,190.954685662944,191.73053349013597,32.80183,295.21647
4,3,5,bauxite,bauxite_refining_to_alumina,3280.183,,,,2022,3730.238448132999,3717.804499626197,656.0366,5904.3294000000005
5,4,6,import_alumina,primary_smelting_hall_hauroult_to_aluminum,,,,,2022,1304.4807545331123,1303.1782276301471,0.0,14410.097999999998
6,5,87,bauxite_refining_to_alumina,waste_bauxite,1804.10065,,,,2022,1984.3624143773873,1990.866976686787,360.82013000000006,3247.38117
7,5,88,bauxite_refining_to_alumina,export_alumina,174.0,,,,2022,313.19999173599655,286.74338751374177,34.800000000000004,313.2
8,5,89,bauxite_refining_to_alumina,alumina_non_aluminum_use,744.628,,,,2022,709.6544394150263,714.1293762911766,148.9256,1340.3304
9,5,6,bauxite_refining_to_alumina,primary_smelting_hall_hauroult_to_aluminum,557.45435,,,,2022,715.4305778963002,717.0860512632408,111.49087,1003.41783
10,6,90,primary_smelting_hall_hauroult_to_aluminum,waste_alumina,1352.934,,,,2022,1079.3797382056914,1079.2210002952945,270.5868,2435.2812
11,6,8,primary_smelting_hall_hauroult_to_aluminum,remelting,528.7105257,,,,2022,615.1643799957822,616.1754586148791,105.74210513999999,951.67894626
12,6,9,primary_smelting_hall_hauroult_to_aluminum,refining,332.2894743,,,,2022,322.585375580365,321.8618441680679,66.45789486,598.12105374
13,7,8,import_unwrought_aluminum_ingot,remelting,2829.794168,,,,2022,2972.8923364590214,2977.8148210311933,565.9588335999999,5093.629502399999
14,7,9,import_unwrought_aluminum_ingot,refining,1320.205832,,,,2022,1366.499072789143,1366.746745361858,264.0411664,2376.3704976000004
15,8,91,remelting,loss_remelting,,,,,2022,88.08962876635181,103.9372101712394,0.0,14410.097999999998
16,8,24,remelting,wrought_aluminum_ingot,8005.61,,,,2022,8676.053261324141,8687.290319629232,1601.1219999999998,14410.097999999998
17,9,92,refining,loss_refining,,,,,2022,95.05836922048974,97.03115658957299,0.0,14410.097999999998
18,9,25,refining,cast_aluminum_ingot,2490.138,,,,2022,2503.2723400552263,2486.6046065447554,498.0276,4482.2484
19,10,8,alloying_element_si,remelting,,,,,2022,360.3782595863736,362.3924232315639,0.0,14410.097999999998
20,10,9,alloying_element_si,refining,,,,,2022,161.00677908253556,160.3217522329991,0.0,14410.097999999998
21,12,8,alloying_element_mg,remelting,,,,,2022,106.81981058552476,107.27348052160667,0.0,14410.097999999998
22,12,9,alloying_element_mg,refining,,,,,2022,0.3844852833830126,0.4630267417901158,0.0,14410.097999999998
23,16,8,alloying_element_other,remelting,,,,,2022,21.697187621713706,21.748971064141152,0.0,14410.097999999998
24,16,9,alloying_element_other,refining,,,,,2022,25.138304213338035,25.11663936611519,0.0,14410.097999999998
25,17,18,import_scrap,eol_scrap_generated,685.0,,,,2022,709.5490516813435,709.6002406847605,137.0,1233.0
26,18,93,eol_scrap_generated,export_eol_scrap,2000.0,,,,2022,1782.3837899069945,1781.8435770292087,400.0,3600.0
27,18,94,eol_scrap_generated,loss_eol_scrap,,,,,2022,2043.1270768981913,2037.2002507902625,0.0,14410.097999999998
28,18,19,eol_scrap_generated,eol_scrap_recycled,1590.0,,,,2022,2266.2135080089415,2265.692468933388,318.0,2862.0
29,19,8,eol_scrap_recycled,remelting,,,,,2022,1570.7898863297312,1583.5688276952194,0.0,14410.097999999998
30,19,9,eol_scrap_recycled,refining,,,,,2022,698.8625685514497,685.871597417746,0.0,14410.097999999998
31,20,95,forming_scrap_generated,loss_forming_scrap,,,,,2022,61.071629526240855,61.886861964833244,0.0,14410.097999999998
32,20,21,forming_scrap_generated,forming_scrap_recycled,2083.0,,,,2022,2149.5231638260534,2151.728703763363,416.6,3749.4
33,21,8,forming_scrap_recycled,remelting,,,,,2022,2158.3047494059015,2160.0251956793877,0.0,14410.097999999998
34,21,9,forming_scrap_recycled,refining,,,,,2022,0.39726401434212516,0.4802940296314952,0.0,14410.097999999998
35,22,96,fabrication_scrap_generated,loss_fabrication_scrap,,,,,2022,38.32792693468803,38.34791277560166,0.0,14410.097999999998
36,22,23,fabrication_scrap_generated,fabrication_scrap_recycled,,,,,2022,881.7052680494622,880.871983371434,0.0,14410.097999999998
37,23,8,fabrication_scrap_recycled,remelting,,,,,2022,886.2048880638449,885.447071401239,0.0,14410.097999999998
38,23,9,fabrication_scrap_recycled,refining,,,,,2022,0.6329240520762396,0.673096271589698,0.0,14410.097999999998
39,24,42,wrought_aluminum_ingot,1xxx,,,,,2022,1413.561189519209,1426.5436513521418,0.0,14410.097999999998
40,24,43,wrought_aluminum_ingot,2xxx,,,,,2022,155.95192556041872,155.90382501839989,0.0,14410.097999999998
41,24,44,wrought_aluminum_ingot,3xxx,,,,,2022,1618.8611540015354,1619.9014586131916,0.0,14410.097999999998
42,24,45,wrought_aluminum_ingot,4xxx,,,,,2022,91.54307746212561,91.8972432827544,0.0,14410.097999999998
43,24,46,wrought_aluminum_ingot,5xxx,,,,,2022,2036.971717456935,2021.53966755929,0.0,14410.097999999998
44,24,47,wrought_aluminum_ingot,6xxx,,,,,2022,2826.4513621439523,2822.451228806173,0.0,14410.097999999998
45,24,48,wrought_aluminum_ingot,7xxx,,,,,2022,489.99263693122793,487.32664653453816,0.0,14410.097999999998
46,24,49,wrought_aluminum_ingot,8xxx,,,,,2022,68.54927905259018,70.67336356474898,0.0,14410.097999999998
