flow_idx,flow_label,source,value,coverage,frequency,spatial,sigma,relative_sigma
0,bauxite_mining -> bauxite,observation_2022,164.00915,1.0,2.0,4.0,43.24626010787728,0.2636819964488401
1,import_of_bauxite -> bauxite,observation_2022,3280.183,4.0,3.0,4.0,164.00915,0.05
2,bauxite -> export_bauxite,observation_2022,6.0,4.0,3.0,4.0,5.284802792494708,0.8808004654157847
3,bauxite -> bauxite_non_aluminum_use,observation_2022,164.00915,1.0,2.0,4.0,43.24626010787728,0.2636819964488401
4,bauxite -> bauxite_refining_to_alumina,observation_2022,3280.183,1.0,1.0,4.0,445.1893260427566,0.13572088082974534
6,bauxite_refining_to_alumina -> waste_bauxite,observation_2022,1804.10065,1.0,1.0,4.0,244.85412932351613,0.13572088082974534
7,bauxite_refining_to_alumina -> export_alumina,observation_2022,174.0,4.0,3.0,4.0,153.25928098234655,0.8808004654157848
8,bauxite_refining_to_alumina -> alumina_non_aluminum_use,observation_2022,744.628,4.0,3.0,4.0,655.868688961625,0.8808004654157848
9,bauxite_refining_to_alumina -> primary_smelting_hall_hauroult_to_aluminum,observation_2022,557.45435,4.0,3.0,4.0,491.00605092805375,0.8808004654157847
10,primary_smelting_hall_hauroult_to_aluminum -> waste_alumina,observation_2022,1352.934,1.0,1.0,4.0,183.62139418451068,0.13572088082974534
11,primary_smelting_hall_hauroult_to_aluminum -> remelting,observation_2022,528.7105257,1.0,1.0,3.0,63.20365030519546,0.11954301500147999
12,primary_smelting_hall_hauroult_to_aluminum -> refining,observation_2022,332.2894743,1.0,1.0,3.0,39.722885611078794,0.11954301500147997
13,import_unwrought_aluminum_ingot -> remelting,observation_2022,2829.794168,1.0,1.0,3.0,141.4897084,0.05
14,import_unwrought_aluminum_ingot -> refining,observation_2022,1320.205832,1.0,1.0,3.0,66.0102916,0.049999999999999996
16,remelting -> wrought_aluminum_ingot,observation_2022,8005.61,1.0,1.0,4.0,1086.5284407794177,0.13572088082974534
18,refining -> cast_aluminum_ingot,observation_2022,2490.138,1.0,1.0,4.0,337.9637227476204,0.13572088082974534
25,import_scrap -> eol_scrap_generated,observation_2022,685.0,4.0,3.0,4.0,34.25,0.05
26,eol_scrap_generated -> export_eol_scrap,observation_2022,2000.0,4.0,3.0,4.0,100.0,0.05
28,eol_scrap_generated -> eol_scrap_recycled,observation_2022,1590.0,4.0,3.0,4.0,1400.4727400110978,0.8808004654157848
32,forming_scrap_generated -> forming_scrap_recycled,observation_2022,2083.0,1.0,1.0,3.0,249.0081002480828,0.11954301500147999
70,cast_aluminum_ingot -> export_cast_aluminum_ingot,observation_2022,300.0,4.0,3.0,4.0,264.24013962473543,0.8808004654157848
131,import_mill_semifinished_products -> rolling,observation_2022,1460.0,1.0,1.0,3.0,73.0,0.05
