flow_idx,flow_label,total_precision,share_observations,share_prior,share_mass_balance,share_allocation,share_aggregate_observations,n_observations,sources,obs_min,obs_max,obs_spread_pct,determined_by,posterior_mean,posterior_sd,prior_mean,prior_sd,contraction,shift_in_prior_sd
0,bauxite_mining -> bauxite,0.0012681663822470372,0.06960266623870054,0.44631806922223,0.4840792645390696,0.0,0.0,1,observation_2022,164.00915,164.00915,0.0,structure-determined,222.88946025142556,43.07652369352433,229.89165605096335,63.19658473332025,0.5353840885858785,-0.110800224871106
1,import_of_bauxite -> bauxite,0.0009959409147319387,0.037327617408592695,0.3462773328945585,0.6163950496968488,0.0,0.0,1,observation_2022,3280.183,3280.183,0.0,structure-determined,3778.3011354206274,111.1393160533208,4353.45381563838,181.6023479782521,0.6254649028775148,-3.1670993608883844
2,bauxite -> export_bauxite,0.8732493257547214,0.8427361481233083,0.15623090231307407,0.0007029985956195847,0.00032995096799809127,0.0,1,observation_2022,6.0,6.0,0.0,observation-driven,9.495168275268224,0.8057218371858161,32.82196449108579,2.757666018073857,0.9146336065603204,-8.45889098351025
3,bauxite -> bauxite_non_aluminum_use,0.001545373295699635,0.05711743672826927,0.36767028184559125,0.39724579901802387,0.17796648240811574,0.0,1,observation_2022,164.00915,164.00915,0.0,structure-determined,206.47580518281524,37.45737539847026,228.35278509822302,63.80389905484051,0.6553484400541925,-0.3428784171419393
4,bauxite -> bauxite_refining_to_alumina,0.00198650727549209,8.618010763300851e-05,0.34472790637361767,0.6547385782188686,0.0004473352998809055,0.0,1,observation_2022,3280.183,3280.183,0.0,structure-determined,3769.1267258947814,120.04052756541182,4323.083475070617,204.95452383237895,0.6569631517132324,-2.702827626429395
5,import_alumina -> primary_smelting_hall_hauroult_to_aluminum,0.0044008049837558,0.0,0.4452025008334027,0.5547974991665973,0.0,0.0,0,,,,,structure-determined,1293.3707581011458,53.91227899276809,1316.6145607598844,56.47715628035028,0.08876637018092104,-0.41156113709686937
6,bauxite_refining_to_alumina -> waste_bauxite,0.0010816768079065198,0.0005232079025817339,0.33545782098512245,0.634893800556701,0.029125170555594874,0.0,1,observation_2022,1804.10065,1804.10065,0.0,structure-determined,2058.31850366979,110.01182298665584,2320.9555161767867,236.55698831640098,0.7837245830776903,-1.1102483776793477
7,bauxite_refining_to_alumina -> export_alumina,0.002737143018209084,0.31969540615670805,0.3663902571445913,0.2509002616878793,0.06301407501082147,0.0,1,observation_2022,174.0,174.0,0.0,prior-informed,290.18219796174844,16.30879506582769,464.77139522715703,39.384366033577514,0.8285268867960949,-4.432956902659317
8,bauxite_refining_to_alumina -> alumina_non_aluminum_use,0.001359358009699002,0.03514955300037378,0.35117695700259,0.5052016427209456,0.10847184727609076,0.0,1,observation_2022,744.628,744.628,0.0,structure-determined,724.0061743472669,53.00418280364588,779.4436423141839,91.43173699477364,0.663932631502375,-0.6063263128216175
9,bauxite_refining_to_alumina -> primary_smelting_hall_hauroult_to_aluminum,0.005659129459699423,0.015064826558916649,0.40579016429180564,0.5527891738704953,0.026355835278782342,0.0,1,observation_2022,557.45435,557.45435,0.0,structure-determined,688.4495437733755,41.51392327694151,758.0083207957487,61.8228600429095,0.549090514116257,-1.125130363980159
