flow_idx,flow_label,source,value,coverage,frequency,spatial,sigma,relative_sigma
0,bauxite_mining -> bauxite,observation_2022,164.00915,1.0,2.0,4.0,106.43854856325598,0.6489793317217727
1,import_of_bauxite -> bauxite,observation_2022,3280.183,4.0,3.0,4.0,164.00915,0.05
2,bauxite -> export_bauxite,observation_2022,6.0,4.0,3.0,4.0,1.1656953366502913,0.19428255610838188
3,bauxite -> bauxite_non_aluminum_use,observation_2022,164.00915,1.0,2.0,4.0,106.43854856325598,0.6489793317217727
4,bauxite -> bauxite_refining_to_alumina,observation_2022,3280.183,1.0,1.0,4.0,2416.859498660944,0.7368062997280774
6,bauxite_refining_to_alumina -> waste_bauxite,observation_2022,1804.10065,1.0,1.0,4.0,1329.2727242635194,0.7368062997280774
7,bauxite_refining_to_alumina -> export_alumina,observation_2022,174.0,4.0,3.0,4.0,33.805164762858446,0.19428255610838188
8,bauxite_refining_to_alumina -> alumina_non_aluminum_use,observation_2022,744.628,4.0,3.0,4.0,144.6682311898722,0.19428255610838188
9,bauxite_refining_to_alumina -> primary_smelting_hall_hauroult_to_aluminum,observation_2022,557.45435,4.0,3.0,4.0,108.30365603173655,0.19428255610838188
10,primary_smelting_hall_hauroult_to_aluminum -> waste_alumina,observation_2022,1352.934,1.0,1.0,4.0,996.8502943163066,0.7368062997280774
11,primary_smelting_hall_hauroult_to_aluminum -> remelting,observation_2022,528.7105257,1.0,1.0,3.0,756.841775166919,1.4314861126792942
12,primary_smelting_hall_hauroult_to_aluminum -> refining,observation_2022,332.2894743,1.0,1.0,3.0,475.66776784995324,1.4314861126792942
13,import_unwrought_aluminum_ingot -> remelting,observation_2022,2829.794168,1.0,1.0,3.0,141.4897084,0.05
14,import_unwrought_aluminum_ingot -> refining,observation_2022,1320.205832,1.0,1.0,3.0,66.0102916,0.049999999999999996
16,remelting -> wrought_aluminum_ingot,observation_2022,8005.61,1.0,1.0,4.0,5898.583881166093,0.7368062997280774
18,refining -> cast_aluminum_ingot,observation_2022,2490.138,1.0,1.0,4.0,1834.7493655922751,0.7368062997280774
25,import_scrap -> eol_scrap_generated,observation_2022,685.0,4.0,3.0,4.0,34.25,0.05
26,eol_scrap_generated -> export_eol_scrap,observation_2022,2000.0,4.0,3.0,4.0,100.0,0.05
28,eol_scrap_generated -> eol_scrap_recycled,observation_2022,1590.0,4.0,3.0,4.0,308.9092642123272,0.19428255610838188
32,forming_scrap_generated -> forming_scrap_recycled,observation_2022,2083.0,1.0,1.0,3.0,2981.7855727109695,1.4314861126792942
70,cast_aluminum_ingot -> export_cast_aluminum_ingot,observation_2022,300.0,4.0,3.0,4.0,58.28476683251456,0.19428255610838188
131,import_mill_semifinished_products -> rolling,observation_2022,1460.0,1.0,1.0,3.0,73.0,0.05
132,import_mill_semifinished_products -> extrusion,observation_2022,44.39,1.0,1.0,3.0,2.2195,0.05
136,import_mill_semifinished_products -> foil,observation_2022,148.0,1.0,1.0,3.0,7.4,0.05
138,import_mill_semifinished_products -> wire,observation_2022,7.16,1.0,1.0,3.0,0.35800000000000004,0.05
140,import_mill_semifinished_products -> powerder_paste,observation_2022,18.6,1.0,1.0,3.0,0.9300000000000002,0.05
142,rolling -> sheet_plate,observation_2022,4002.691813,1.0,1.0,3.0,5729.797743644606,1.4314861126792942
144,rolling -> export_milling_semifinished_products,observation_2022,826.6,1.0,1.0,3.0,1183.2664207407047,1.4314861126792944
147,extrusion -> extruded_products,observation_2022,2873.886133,1.0,1.0,3.0,4113.928088811099,1.4314861126792942
148,extrusion -> export_milling_semifinished_products,observation_2022,51.1,1.0,1.0,3.0,73.14894035791194,1.4314861126792944
152,drawing -> export_milling_semifinished_products,observation_2022,8.36,1.0,1.0,3.0,11.967223901998898,1.4314861126792942
155,other_milling_processes -> forging_impacts,observation_2022,149.1596564,1.0,1.0,3.0,213.5199767086152,1.4314861126792942
157,other_milling_processes -> export_milling_semifinished_products,observation_2022,65.8,1.0,1.0,3.0,94.19178621429755,1.4314861126792942
211,building_construction -> consumption_building_construction,observation_2022,1405.574107,1.0,3.0,2.0,1772.2232210666552,1.2608536342841548
213,transportation_auto -> consumption_transportation_auto,observation_2022,1737.166733,1.0,3.0,2.0,2190.312988660582,1.2608536342841548
215,transportation_other -> consumption_transportation_other,observation_2022,918.4631329,1.0,3.0,2.0,1158.0475790729756,1.2608536342841548
217,machine_industry -> consumption_machine_industry,observation_2022,736.4747668,1.0,3.0,2.0,928.5868862783553,1.2608536342841548
219,electrical_equipment -> consumption_electrical_equipment,observation_2022,957.242923,1.0,3.0,2.0,1206.9432183573374,1.2608536342841548
221,consumer_durables -> consumption_consumer_durables,observation_2022,1465.714087,1.0,3.0,2.0,1848.050933415432,1.2608536342841548
223,container_packages -> consumption_container_packages,observation_2022,1699.839931,1.0,3.0,2.0,2143.249354702677,1.2608536342841548
