flow_idx,flow_label,total_precision,share_observations,share_prior,share_mass_balance,share_allocation,share_aggregate_observations,n_observations,sources,obs_min,obs_max,obs_spread_pct,determined_by,posterior_mean,posterior_sd,prior_mean,prior_sd,contraction,shift_in_prior_sd
0,bauxite_mining -> bauxite,0.0026347110749570996,0.5360300020911741,0.2148264288091833,0.24914356909964255,0.0,0.0,1,observation_2022,164.00915,164.00915,0.0,observation-driven,173.55006102760456,24.38824563688133,229.89165605096335,63.19658473332025,0.8510728414343129,-0.8915291112820661
1,import_of_bauxite -> bauxite,0.001038469185861788,0.03579894515197054,0.3320962897784454,0.632104765069584,0.0,0.0,1,observation_2022,3280.183,3280.183,0.0,structure-determined,3647.4756832037147,98.95523569844384,4353.45381563838,181.6023479782521,0.7030832921699797,-3.8874945191744423
2,bauxite -> export_bauxite,11.912093411650979,0.9884660876390007,0.011452943273052718,5.510545443835549e-05,2.5863633508236812e-05,0.0,1,observation_2022,6.0,6.0,0.0,observation-driven,6.282930868492067,0.29352548591660044,32.82196449108579,2.757666018073857,0.988670563843533,-9.623730157552002
3,bauxite -> bauxite_non_aluminum_use,0.0029309706928928843,0.48184861979120014,0.19385653925653226,0.22396038362064827,0.10033445733161933,0.0,1,observation_2022,164.00915,164.00915,0.0,structure-determined,182.17534734028595,22.167815781046517,228.35278509822302,63.80389905484051,0.8792877433451785,-0.7237400604349712
4,bauxite -> bauxite_refining_to_alumina,0.0020673852380633227,0.0013249386338932087,0.33124184185326583,0.6669736069599279,0.0004596125529128884,0.0,1,observation_2022,3280.183,3280.183,0.0,structure-determined,3608.9969507116634,100.92286609615054,4323.083475070617,204.95452383237895,0.7575265824643365,-3.4841217993459166
5,import_alumina -> primary_smelting_hall_hauroult_to_aluminum,0.004628944393603616,0.0,0.4232605142450018,0.5767394857549982,0.0,0.0,0,,,,,structure-determined,1317.249389307221,52.05270259901469,1316.6145607598844,56.47715628035028,0.15054392989606158,0.011240448158992774
6,bauxite_refining_to_alumina -> waste_bauxite,0.0011275247345887294,0.00803092773506214,0.3218172815719364,0.6407576226779281,0.029394168015073385,0.0,1,observation_2022,1804.10065,1804.10065,0.0,structure-determined,2058.4924833566697,98.10177226819773,2320.9555161767867,236.55698831640098,0.8280183379631372,-1.1095129114049507
7,bauxite_refining_to_alumina -> export_alumina,0.015907615108781786,0.880133991607357,0.06304292173435347,0.04541661735622438,0.011406469302065118,0.0,1,observation_2022,174.0,174.0,0.0,observation-driven,189.5692149093744,8.260594710383755,464.77139522715703,39.384366033577514,0.9560078779408611,-6.987599599372919
8,bauxite_refining_to_alumina -> alumina_non_aluminum_use,0.0021194600523708066,0.36070187861253084,0.22523435097972508,0.340874586259594,0.07318918414815025,0.0,1,observation_2022,744.628,744.628,0.0,structure-determined,741.7231750305043,30.45132328271776,779.4436423141839,91.43173699477364,0.8890778193334952,-0.412553326924498
9,bauxite_refining_to_alumina -> primary_smelting_hall_hauroult_to_aluminum,0.007209553944052998,0.18920183844139535,0.31852443174994094,0.4705097019766653,0.021764027831998406,0.0,1,observation_2022,557.45435,557.45435,0.0,structure-determined,602.2723938688607,23.09661859893586,758.0083207957487,61.8228600429095,0.8604278975373514,-2.519067005615658
