flow_idx,from_node,to_node,from_node_name,to_node_name,value_1,value_2,value_3,value_4,year,map_estimate,posterior_mean,lower_bound,upper_bound
0,1,3,bauxite_mining,bauxite,164.00915,,,,2022,173.87539896646658,173.55006102760456,32.80183,295.21647
1,2,3,import_of_bauxite,bauxite,3280.183,,,,2022,3645.7085170335404,3647.4756832037147,656.0366,5904.3294000000005
2,3,85,bauxite,export_bauxite,6.0,,,,2022,6.281188288346029,6.282930868492067,1.2000000000000002,10.8
3,3,86,bauxite,bauxite_non_aluminum_use,164.00915,,,,2022,182.07159292738848,182.17534734028595,32.80183,295.21647
4,3,5,bauxite,bauxite_refining_to_alumina,3280.183,,,,2022,3608.3167165859873,3608.9969507116634,656.0366,5904.3294000000005
5,4,6,import_alumina,primary_smelting_hall_hauroult_to_aluminum,,,,,2022,1315.5488575087481,1317.249389307221,0.0,14410.098
6,5,87,bauxite_refining_to_alumina,waste_bauxite,1804.10065,,,,2022,2058.258658917255,2058.4924833566697,360.82013000000006,3247.38117
7,5,88,bauxite_refining_to_alumina,export_alumina,174.0,,,,2022,189.53213406694078,189.5692149093744,34.800000000000004,313.2
8,5,89,bauxite_refining_to_alumina,alumina_non_aluminum_use,744.628,,,,2022,742.0477816869029,741.7231750305043,148.9256,1340.3304
9,5,6,bauxite_refining_to_alumina,primary_smelting_hall_hauroult_to_aluminum,557.45435,,,,2022,602.038839214592,602.2723938688607,111.49087,1003.41783
10,6,90,primary_smelting_hall_hauroult_to_aluminum,waste_alumina,1352.934,,,,2022,957.0251480041369,958.8872632571881,270.5868,2435.2812
11,6,8,primary_smelting_hall_hauroult_to_aluminum,remelting,528.7105257,,,,2022,663.0351578840937,664.7383374869746,105.74210513999999,951.67894626
12,6,9,primary_smelting_hall_hauroult_to_aluminum,refining,332.2894743,,,,2022,295.1620678402239,293.6757854947554,66.45789486,598.12105374
13,7,8,import_unwrought_aluminum_ingot,remelting,2829.794168,,,,2022,3005.9407847164694,3008.2377310101424,565.9588335999999,5093.629502399999
14,7,9,import_unwrought_aluminum_ingot,refining,1320.205832,,,,2022,1390.6232730669155,1391.119318473906,264.0411664,2376.3704976000004
15,8,91,remelting,loss_remelting,,,,,2022,69.86609477390859,89.45702631365731,0.0,14410.098
16,8,24,remelting,wrought_aluminum_ingot,8005.61,,,,2022,8501.550160912897,8493.680704771023,1601.122,14410.098
17,9,92,refining,loss_refining,,,,,2022,83.61154158170353,84.57546548954468,0.0,14410.098
18,9,25,refining,cast_aluminum_ingot,2490.138,,,,2022,2444.398609498241,2436.192684253599,498.0276,4482.2484
19,10,8,alloying_element_si,remelting,,,,,2022,403.7770940275116,404.74126362066784,0.0,14410.098
20,10,9,alloying_element_si,refining,,,,,2022,186.7057804648752,186.33230097865325,0.0,14410.098
21,12,8,alloying_element_mg,remelting,,,,,2022,111.2546669909932,112.20914149318018,0.0,14410.098
22,12,9,alloying_element_mg,refining,,,,,2022,0.3998421552736618,0.4649352715949696,0.0,14410.098
23,16,8,alloying_element_other,remelting,,,,,2022,23.2660742126855,23.130821018455613,0.0,14410.098
24,16,9,alloying_element_other,refining,,,,,2022,27.054162486338605,27.28068023625674,0.0,14410.098
25,17,18,import_scrap,eol_scrap_generated,685.0,,,,2022,709.7337926759778,709.5594426941192,137.0,1233.0
26,18,93,eol_scrap_generated,export_eol_scrap,2000.0,,,,2022,1739.8069108455297,1741.271455302181,400.0,3600.0
27,18,94,eol_scrap_generated,loss_eol_scrap,,,,,2022,1830.9730876671988,1847.77118731435,0.0,14410.098
28,18,19,eol_scrap_generated,eol_scrap_recycled,1590.0,,,,2022,1740.8302109143249,1743.2296049577783,318.0,2862.0
29,19,8,eol_scrap_recycled,remelting,,,,,2022,1145.6944294315606,1154.6672528069153,0.0,14410.098
30,19,9,eol_scrap_recycled,refining,,,,,2022,598.5841830850082,591.893960699328,0.0,14410.098
31,20,95,forming_scrap_generated,loss_forming_scrap,,,,,2022,59.888535424414684,60.49458423504815,0.0,14410.098
32,20,21,forming_scrap_generated,forming_scrap_recycled,2083.0,,,,2022,2245.6266637448653,2239.0338119886023,416.6,3749.4
33,21,8,forming_scrap_recycled,remelting,,,,,2022,2254.163055558814,2247.54865716197,0.0,14410.098
34,21,9,forming_scrap_recycled,refining,,,,,2022,0.400948331981766,0.4828643315547636,0.0,14410.098
35,22,96,fabrication_scrap_generated,loss_fabrication_scrap,,,,,2022,37.3355193440269,37.11390500323321,0.0,14410.098
36,22,23,fabrication_scrap_generated,fabrication_scrap_recycled,,,,,2022,875.3282264376692,873.1111929378534,0.0,14410.098
37,23,8,fabrication_scrap_recycled,remelting,,,,,2022,879.8720580764989,877.6657652606187,0.0,14410.098
38,23,9,fabrication_scrap_recycled,refining,,,,,2022,0.6055245068623362,0.6505149700823135,0.0,14410.098
39,24,42,wrought_aluminum_ingot,1xxx,,,,,2022,1391.2419224434461,1383.617072609707,0.0,14410.098
40,24,43,wrought_aluminum_ingot,2xxx,,,,,2022,153.80403671665104,154.18045018361278,0.0,14410.098
41,24,44,wrought_aluminum_ingot,3xxx,,,,,2022,1591.521938712717,1588.0930952267058,0.0,14410.098
42,24,45,wrought_aluminum_ingot,4xxx,,,,,2022,93.30234537612182,93.25947044758477,0.0,14410.098
43,24,46,wrought_aluminum_ingot,5xxx,,,,,2022,2041.5071352401853,2033.5597850102174,0.0,14410.098
44,24,47,wrought_aluminum_ingot,6xxx,,,,,2022,2728.9672881690194,2723.5285273927766,0.0,14410.098
45,24,48,wrought_aluminum_ingot,7xxx,,,,,2022,481.69098589958554,481.62112124868605,0.0,14410.098
46,24,49,wrought_aluminum_ingot,8xxx,,,,,2022,68.19742521285463,69.4745504851229,0.0,14410.098
47,25,26,cast_aluminum_ingot,36x,,,,,2022,130.22318549904915,130.48471258876987,0.0,14410.098
