flow_idx,flow_label,source,value,coverage,frequency,spatial,sigma,relative_sigma
0,bauxite_mining -> bauxite,observation_2022,164.00915,1.0,2.0,4.0,26.609637140813994,0.16224483293044317
1,import_of_bauxite -> bauxite,observation_2022,3280.183,4.0,3.0,4.0,164.00915,0.05
2,bauxite -> export_bauxite,observation_2022,6.0,4.0,3.0,4.0,0.29142383416257284,0.04857063902709547
3,bauxite -> bauxite_non_aluminum_use,observation_2022,164.00915,1.0,2.0,4.0,26.609637140813994,0.16224483293044317
4,bauxite -> bauxite_refining_to_alumina,observation_2022,3280.183,1.0,1.0,4.0,604.214874665236,0.18420157493201936
6,bauxite_refining_to_alumina -> waste_bauxite,observation_2022,1804.10065,1.0,1.0,4.0,332.31818106587986,0.18420157493201936
7,bauxite_refining_to_alumina -> export_alumina,observation_2022,174.0,4.0,3.0,4.0,8.451291190714612,0.04857063902709547
8,bauxite_refining_to_alumina -> alumina_non_aluminum_use,observation_2022,744.628,4.0,3.0,4.0,36.16705779746805,0.04857063902709547
9,bauxite_refining_to_alumina -> primary_smelting_hall_hauroult_to_aluminum,observation_2022,557.45435,4.0,3.0,4.0,27.075914007934138,0.04857063902709547
10,primary_smelting_hall_hauroult_to_aluminum -> waste_alumina,observation_2022,1352.934,1.0,1.0,4.0,249.21257357907666,0.18420157493201936
11,primary_smelting_hall_hauroult_to_aluminum -> remelting,observation_2022,528.7105257,1.0,1.0,3.0,189.21044379172974,0.35787152816982354
12,primary_smelting_hall_hauroult_to_aluminum -> refining,observation_2022,332.2894743,1.0,1.0,3.0,118.91694196248831,0.35787152816982354
13,import_unwrought_aluminum_ingot -> remelting,observation_2022,2829.794168,1.0,1.0,3.0,141.4897084,0.05
14,import_unwrought_aluminum_ingot -> refining,observation_2022,1320.205832,1.0,1.0,3.0,66.0102916,0.049999999999999996
16,remelting -> wrought_aluminum_ingot,observation_2022,8005.61,1.0,1.0,4.0,1474.6459702915233,0.18420157493201936
18,refining -> cast_aluminum_ingot,observation_2022,2490.138,1.0,1.0,4.0,458.6873413980688,0.18420157493201936
25,import_scrap -> eol_scrap_generated,observation_2022,685.0,4.0,3.0,4.0,34.25,0.05
26,eol_scrap_generated -> export_eol_scrap,observation_2022,2000.0,4.0,3.0,4.0,100.0,0.05
28,eol_scrap_generated -> eol_scrap_recycled,observation_2022,1590.0,4.0,3.0,4.0,77.2273160530818,0.04857063902709547
32,forming_scrap_generated -> forming_scrap_recycled,observation_2022,2083.0,1.0,1.0,3.0,745.4463931777424,0.35787152816982354
70,cast_aluminum_ingot -> export_cast_aluminum_ingot,observation_2022,300.0,4.0,3.0,4.0,14.57119170812864,0.04857063902709547
131,import_mill_semifinished_products -> rolling,observation_2022,1460.0,1.0,1.0,3.0,73.0,0.05
132,import_mill_semifinished_products -> extrusion,observation_2022,44.39,1.0,1.0,3.0,2.2195,0.05
136,import_mill_semifinished_products -> foil,observation_2022,148.0,1.0,1.0,3.0,7.4,0.05
