flow_idx,flow_label,total_precision,share_observations,share_prior,share_mass_balance,share_allocation,share_aggregate_observations,n_observations,sources,obs_min,obs_max,obs_spread_pct,determined_by,posterior_mean,posterior_sd,prior_mean,prior_sd,contraction,shift_in_prior_sd
0,bauxite_mining -> bauxite,0.0011958347097563659,0.29525070887652743,0.0,0.7047492911234726,0.0,0.0,1,observation_2022,164.00915,164.00915,0.0,structure-determined,157.00894301628742,50.69918866070821,229.89165605096335,63.19658473332025,0.35640182912048657,-1.1532698063072495
1,import_of_bauxite -> bauxite,0.0008799397654283202,0.04224846164166905,0.0,0.9577515383583309,0.0,0.0,1,observation_2022,3280.183,3280.183,0.0,structure-determined,3213.3619254117116,132.27442303340686,4353.45381563838,181.6023479782521,0.46947136082781293,-6.277957872897108
2,bauxite -> export_bauxite,2.944913405635203,0.9995795078111317,0.0,0.00028617604252436843,0.00013431614634387435,0.0,1,observation_2022,6.0,6.0,0.0,observation-driven,5.981877499015253,0.5805840729037361,32.82196449108579,2.757666018073857,0.955675188179912,-9.732899784150616
3,bauxite -> bauxite_non_aluminum_use,0.0015733936044117689,0.22440096665241188,0.0,0.535634352166265,0.23996468118132314,0.0,1,observation_2022,164.00915,164.00915,0.0,structure-determined,173.74017350865157,36.29674539866104,228.35278509822302,63.80389905484051,0.6763758433192021,-0.8559447368981481
4,bauxite -> bauxite_refining_to_alumina,0.0017771847844800525,0.000385322702086378,0.0,0.9989282353260815,0.0006864419718320641,0.0,1,observation_2022,3280.183,3280.183,0.0,structure-determined,3186.628075572416,136.39065265039787,4323.083475070617,204.95452383237895,0.5571524995242565,-5.544914931605245
5,import_alumina -> primary_smelting_hall_hauroult_to_aluminum,0.0020401898378869378,0.0,0.0,1.0,0.0,0.0,0,,,,,structure-determined,1202.6421526909016,201.80515638562738,1316.6145607598844,56.47715628035028,-11.767882443684266,-2.018026677958579
6,bauxite_refining_to_alumina -> waste_bauxite,0.0009775584980898035,0.0023157360098324674,0.0,0.9539238812097294,0.04376038278043815,0.0,1,observation_2022,1804.10065,1804.10065,0.0,structure-determined,1760.593583863854,114.91382552543112,2320.9555161767867,236.55698831640098,0.764021193318683,-2.368824257956118
7,bauxite_refining_to_alumina -> export_alumina,0.004666927848053896,0.7500026376283033,0.0,0.1998137590655569,0.05018360330613984,0.0,1,observation_2022,174.0,174.0,0.0,observation-driven,186.09946528106272,16.29911932963512,464.77139522715703,39.384366033577514,0.8287302907182259,-7.075699268804021
8,bauxite_refining_to_alumina -> alumina_non_aluminum_use,0.0013238603024956657,0.14436818240814078,0.0,0.7043918416840904,0.1512399759077686,0.0,1,observation_2022,744.628,744.628,0.0,structure-determined,666.8039850268254,47.88700121982879,779.4436423141839,91.43173699477364,0.7256901882522253,-1.2319535971825304
9,bauxite_refining_to_alumina -> primary_smelting_hall_hauroult_to_aluminum,0.003516249082130207,0.09698266737483706,0.0,0.8454196972568842,0.05759763536827876,0.0,1,observation_2022,557.45435,557.45435,0.0,structure-determined,569.2655885870012,41.648151477550094,758.0083207957487,61.8228600429095,0.5461699220638401,-3.052960216944776
10,primary_smelting_hall_hauroult_to_aluminum -> waste_alumina,0.0020727179912048165,0.001942047694008846,0.0,0.9843065224232598,0.013751429882731358,0.0,1,observation_2022,1352.934,1352.934,0.0,structure-determined,860.3719942079675,182.69315793899634,971.9884845900453,174.8128400313935,-0.09218927798947796,-0.6384913737574044
