flow_idx,from_node,to_node,from_node_name,to_node_name,value_1,value_2,value_3,value_4,year,map_estimate,posterior_mean,lower_bound,upper_bound
0,1,3,bauxite_mining,bauxite,164.00915,,,,2022,156.73450257304174,157.00894301628742,32.80183,295.21647
1,2,3,import_of_bauxite,bauxite,3280.183,,,,2022,3211.0938394532973,3213.3619254117116,656.0366,5904.3294000000005
2,3,85,bauxite,export_bauxite,6.0,,,,2022,6.0029737431940795,5.981877499015253,1.2000000000000002,10.8
3,3,86,bauxite,bauxite_non_aluminum_use,164.00915,,,,2022,174.17366779892268,173.74017350865157,32.80183,295.21647
4,3,5,bauxite,bauxite_refining_to_alumina,3280.183,,,,2022,3184.6040436260505,3186.628075572416,656.0366,5904.3294000000005
5,4,6,import_alumina,primary_smelting_hall_hauroult_to_aluminum,,,,,2022,1209.185460204315,1202.6421526909016,0.0,14410.098
6,5,87,bauxite_refining_to_alumina,waste_bauxite,1804.10065,,,,2022,1760.6201274915043,1760.593583863854,360.82013000000006,3247.38117
7,5,88,bauxite_refining_to_alumina,export_alumina,174.0,,,,2022,186.2217101614771,186.09946528106272,34.800000000000004,313.2
8,5,89,bauxite_refining_to_alumina,alumina_non_aluminum_use,744.628,,,,2022,666.0482139968798,666.8039850268254,148.9256,1340.3304
9,5,6,bauxite_refining_to_alumina,primary_smelting_hall_hauroult_to_aluminum,557.45435,,,,2022,568.9977701779375,569.2655885870012,111.49087,1003.41783
10,6,90,primary_smelting_hall_hauroult_to_aluminum,waste_alumina,1352.934,,,,2022,867.1546220154191,860.3719942079675,270.5868,2435.2812
11,6,8,primary_smelting_hall_hauroult_to_aluminum,remelting,528.7105257,,,,2022,645.89179777502,645.7558335453033,105.74210513999999,951.67894626
12,6,9,primary_smelting_hall_hauroult_to_aluminum,refining,332.2894743,,,,2022,265.1368204297229,265.48437921228924,66.45789486,598.12105374
13,7,8,import_unwrought_aluminum_ingot,remelting,2829.794168,,,,2022,2707.452112411697,2698.491360546478,565.9588335999999,5093.629502399999
14,7,9,import_unwrought_aluminum_ingot,refining,1320.205832,,,,2022,1249.1398955444774,1248.0383090339458,264.0411664,2376.3704976000004
15,8,91,remelting,loss_remelting,,,,,2022,140.70372869646613,193.00524658668382,0.0,14410.098
16,8,24,remelting,wrought_aluminum_ingot,8005.61,,,,2022,8587.04786648696,10292.500221750794,1601.122,14410.098
17,9,92,refining,loss_refining,,,,,2022,86.61055616458277,97.10481919376005,0.0,14410.098
18,9,25,refining,cast_aluminum_ingot,2490.138,,,,2022,2548.035633361199,2786.203199910791,498.0276,4482.2484
